aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
976159.0439999996,91.30097869999999,120.0,1069165.8190000004,99.99998647800015,868.0,8386.730999999994,0.7844186230000001,59.0,24675.006999999987,2.307876496000001,121.0,1021.14,0.0955081,1.0,18356.226999999995,1.7168748399999998,62.0,17374.390000000003,1.6250414839999994,187.0,162.50300000000001,0.015199054,62.0,17802.626000000004,1.6650957980000014,186.0,160.82399999999998,0.015042013000000003,62.0,1077.6380000000001,0.10079239999999999,3.0,589.219,0.055110189999999996,3.0,80.88,0.00756478,1.0,3319.59,0.310484,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
977195.6239999998,91.31563509999995,120.0,1070130.2379999983,100.00005395299986,868.0,8421.182999999997,0.7869305119999997,59.0,24464.18899999999,2.286094532999999,121.0,1022.57,0.0955558,1.0,18466.315000000002,1.7256126600000004,62.0,17467.020999999986,1.6322329209999995,187.0,161.05799999999996,0.015050311000000002,62.0,17751.47800000001,1.6588138620000008,186.0,162.97299999999998,0.015229264000000001,62.0,1052.3799999999999,0.0983413,3.0,589.758,0.055110910000000006,3.0,81.349,0.00760178,1.0,3294.34,0.307845,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
978256.4820000002,91.29348229999997,120.0,1071551.2349999994,99.9999990309999,868.0,8370.536999999997,0.7811612539999997,59.0,24829.934000000012,2.3171955700000013,121.0,1018.83,0.0950799,1.0,18558.211000000014,1.7319020399999998,62.0,17464.681999999993,1.6298513389999996,187.0,167.58199999999997,0.015639203,62.0,17669.209,1.648937500000001,186.0,163.587,0.015266374999999999,62.0,1077.853,0.10058819999999999,3.0,593.706,0.05540627,3.0,78.492,0.00732508,1.0,3302.13,0.308164,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
980515.8629999998,91.34236980000001,120.0,1073450.518999999,99.99992978599987,868.0,8470.010000000004,0.7890445319999998,59.0,24696.83600000001,2.3006957359999993,121.0,1017.02,0.0947428,1.0,18485.47400000001,1.72206033,62.0,17428.395,1.6235859300000004,187.0,162.87999999999997,0.015173499000000002,62.0,17489.136999999995,1.6292440319999997,186.0,159.50700000000003,0.014859277000000002,62.0,1058.022,0.0985627,3.0,572.745,0.0533555,3.0,79.7,0.00742465,1.0,3314.93,0.308811,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
979492.0669999996,91.35033319999998,120.0,1072236.8820000004,99.99998685799999,868.0,8305.745,0.7746185930000002,59.0,24538.91700000001,2.2885713699999997,121.0,1022.93,0.0954012,1.0,18545.889,1.7296438199999995,62.0,17427.300000000003,1.6253198119999999,187.0,163.22699999999995,0.015223028999999997,62.0,17529.418999999998,1.6348459780000006,186.0,159.19899999999998,0.014847366000000004,62.0,1070.9019999999998,0.0998754,3.0,591.459,0.0551612,3.0,83.258,0.00776489,1.0,3306.57,0.308381,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
