aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
65360.382,79.47196000000001,56.0,82243.35400000004,100.00001017999999,211.0,3967.8869999999974,4.824565600000001,56.0,2924.2329999999997,3.5555819,37.0,385.233,0.468406,1.0,1906.331,2.3179133000000003,16.0,2921.0019999999995,3.5516549000000004,16.0,1410.7450000000001,1.7153286999999997,26.0,79.439,0.0965901,1.0,3284.5,3.99363,1.0,3.602,0.00437968,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65416.58899999998,79.45473700000002,56.0,82331.94899999989,100.00006130999998,211.0,4045.875000000002,4.9141014,56.0,2933.653999999999,3.5632011000000006,37.0,384.131,0.466564,1.0,1894.0069999999998,2.3004521,16.0,2926.7750000000005,3.5548474,16.0,1413.2830000000004,1.7165665000000003,26.0,80.996,0.0983773,1.0,3232.0,3.92558,1.0,4.639,0.00563451,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65386.767,79.43268399999998,56.0,82317.16799999999,99.99997385999998,211.0,4041.1980000000017,4.9093041999999985,56.0,2933.310000000001,3.563425299999999,37.0,380.716,0.462499,1.0,1919.1260000000002,2.3313824000000007,16.0,2921.835,3.5494864,16.0,1387.01,1.6849584000000002,26.0,80.893,0.09827,1.0,3262.63,3.96349,1.0,3.683,0.00447416,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65573.805,79.487254,56.0,82495.96599999991,99.99996983,211.0,4030.2100000000005,4.8853406999999995,56.0,2953.0020000000004,3.5795723,37.0,368.365,0.446525,1.0,1914.5280000000002,2.3207538000000003,16.0,2914.7520000000004,3.5332056000000005,16.0,1399.689,1.6966754999999993,26.0,82.151,0.0995818,1.0,3255.66,3.94645,1.0,3.804,0.00461113,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65780.169,79.70571699999999,56.0,82528.82500000003,100.00001728000008,211.0,4024.716999999999,4.876739000000001,56.0,2916.858,3.5343492999999997,37.0,385.514,0.467126,1.0,1873.583,2.2702155000000004,16.0,2924.177,3.5432184,16.0,1387.2939999999996,1.6809797999999996,26.0,79.51,0.096342,1.0,3152.67,3.82008,1.0,4.333,0.00525028,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65401.01199999999,79.51472899999999,56.0,82250.18700000002,99.99999955000006,211.0,4038.8209999999995,4.9104069,56.0,2891.859,3.5159296,37.0,385.094,0.468198,1.0,1903.301,2.3140384000000003,16.0,2928.5660000000007,3.5605593,16.0,1410.3079999999998,1.7146567000000004,26.0,80.769,0.0981992,1.0,3206.91,3.89897,1.0,3.547,0.00431245,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65417.850000000006,79.46777199999998,56.0,82319.96599999997,99.99999589000005,211.0,4050.2669999999994,4.9201523,56.0,2927.8440000000014,3.5566627999999993,37.0,385.092,0.467799,1.0,1913.3279999999997,2.3242572000000004,16.0,2920.0409999999997,3.5471852999999998,16.0,1382.0060000000003,1.6788227,26.0,81.134,0.0985593,1.0,3238.58,3.93414,1.0,3.824,0.00464529,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65496.624000000025,79.49216799999998,56.0,82393.841,100.00002551999995,211.0,4036.0120000000015,4.898435499999999,56.0,2925.4509999999987,3.5505695,37.0,383.806,0.465819,1.0,1905.2170000000003,2.3123294000000008,16.0,2924.6229999999996,3.5495638999999994,16.0,1390.1019999999999,1.6871422000000005,26.0,78.972,0.0958469,1.0,3249.21,3.94351,1.0,3.824,0.00464112,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65425.919,79.48762399999998,56.0,82309.57899999998,99.99999482000003,211.0,4045.1470000000004,4.914548899999999,56.0,2919.4010000000003,3.5468529,37.0,387.245,0.470474,1.0,1884.651,2.2897094999999994,16.0,2923.278,3.5515618,16.0,1397.4250000000002,1.6977659999999997,26.0,77.446,0.0940911,1.0,3245.3,3.94279,1.0,3.767,0.00457662,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65604.43900000001,79.55283100000003,56.0,82466.54999999997,100.00004521999993,211.0,4035.8190000000004,4.8938867,56.0,2924.9210000000003,3.546797299999998,37.0,383.199,0.464672,1.0,1876.13,2.27502,16.0,2923.842,3.5454900999999994,16.0,1399.5890000000002,1.6971600999999998,26.0,80.696,0.097853,1.0,3233.87,3.92143,1.0,4.045,0.00490502,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65308.698999999986,79.473593,56.0,82176.60199999997,100.00000070999997,211.0,4036.884000000001,4.912453,56.0,2940.276999999999,3.5779998999999996,37.0,386.028,0.469754,1.0,1907.8490000000004,2.3216475999999995,16.0,2917.888,3.5507546999999993,16.0,1396.2179999999998,1.6990454999999998,26.0,82.312,0.100165,1.0,3196.8,3.89015,1.0,3.647,0.00443801,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65652.79799999998,79.60688499999999,56.0,82471.24899999997,99.99999955999999,211.0,3952.452000000002,4.792524,56.0,2921.767000000001,3.5427715999999996,37.0,384.653,0.466409,1.0,1894.0309999999997,2.2965969999999998,16.0,2926.2269999999994,3.5481786000000004,16.0,1409.8589999999997,1.7095157999999997,26.0,80.251,0.0973079,1.0,3244.79,3.93445,1.0,4.421,0.00536066,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
