aggregated_duration_nnconv2dnnbiasaddmultiplyaddclipmultiply,aggregated_percentage_nnconv2dnnbiasaddmultiplyaddclipmultiply,aggregated_count_nnconv2dnnbiasaddmultiplyaddclipmultiply,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nnconv2dnnbiasaddmultiplyaddclip,aggregated_percentage_nnconv2dnnbiasaddmultiplyaddclip,aggregated_count_nnconv2dnnbiasaddmultiplyaddclip,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddadd,aggregated_percentage_nnconv2dnnbiasaddadd,aggregated_count_nnconv2dnnbiasaddadd,aggregated_duration_nndenseaddmultiplyaddclipmultiply,aggregated_percentage_nndenseaddmultiplyaddclipmultiply,aggregated_count_nndenseaddmultiplyaddclipmultiply,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
17815.496999999992,52.231110000000015,18.0,34108.95600000001,99.99994679999999,73.0,5281.385999999999,15.483852499999998,14.0,496.523,1.4556964000000001,10.0,705.992,2.0698143,9.0,395.38300000000004,1.1591766000000001,9.0,1556.773,4.5641169999999995,5.0,3283.7519999999995,9.62725,6.0,1186.78,3.47937,1.0,3386.87,9.92956,1.0,mobilenet_v3_small.onnx
17849.298,52.420671,18.0,34050.123,100.00000980000002,73.0,5254.689,15.4322149,14.0,496.46700000000004,1.4580467000000001,10.0,690.857,2.0289414,9.0,403.413,1.1847618,9.0,1567.641,4.603914,5.0,3300.928,9.694329999999999,6.0,1145.7,3.36474,1.0,3341.13,9.81239,1.0,mobilenet_v3_small.onnx
18035.965,52.75042300000001,18.0,34191.14000000001,100.00001340000001,73.0,5237.032000000001,15.316927999999997,14.0,488.539,1.4288471,10.0,701.4770000000001,2.0516343,9.0,409.56100000000004,1.197857,9.0,1555.237,4.548654,5.0,3296.569,9.641599999999999,6.0,1171.09,3.42512,1.0,3295.67,9.63895,1.0,mobilenet_v3_small.onnx
19100.233,53.98805900000001,18.0,35378.63500000001,100.00004179999999,73.0,5292.419,14.959392700000002,14.0,497.07999999999987,1.4050299000000002,10.0,701.244,1.9821109999999997,9.0,403.23,1.1397562,9.0,1567.431,4.430447,5.0,3292.5480000000002,9.306596,6.0,1154.33,3.26278,1.0,3370.12,9.52587,1.0,mobilenet_v3_small.onnx
17963.352,52.532705,18.0,34194.587999999996,99.99996949999996,73.0,5268.0,15.405955199999998,14.0,487.205,1.4248010000000004,10.0,702.0169999999999,2.0530056,9.0,404.78999999999996,1.1837837,9.0,1556.746,4.552609,5.0,3293.758,9.632399999999999,6.0,1161.09,3.39553,1.0,3357.63,9.81918,1.0,mobilenet_v3_small.onnx
18059.855000000003,52.680763000000006,18.0,34281.66499999998,99.9999806,73.0,5308.566,15.485158599999998,14.0,499.741,1.4577486,10.0,694.038,2.024516,9.0,397.10699999999997,1.1583654,9.0,1537.6100000000001,4.485219000000001,5.0,3280.0280000000002,9.56788,6.0,1162.56,3.39121,1.0,3342.16,9.74912,1.0,mobilenet_v3_small.onnx
18071.767999999996,52.522945,18.0,34407.371000000014,99.99999500000001,73.0,5323.828,15.472944799999997,14.0,482.443,1.4021499999999998,10.0,702.358,2.0413019,9.0,407.06399999999996,1.1830713000000002,9.0,1580.574,4.593702,5.0,3301.1059999999998,9.59418,6.0,1148.6,3.33823,1.0,3389.63,9.85147,1.0,mobilenet_v3_small.onnx
19342.9,54.328671,18.0,35603.49900000001,99.99998020000001,73.0,5317.4130000000005,14.935083299999999,14.0,477.35200000000003,1.3407429,10.0,701.253,1.9696168,9.0,399.12699999999995,1.1210332,9.0,1577.888,4.431827,5.0,3256.7560000000003,9.147276,6.0,1158.27,3.25324,1.0,3372.54,9.47249,1.0,mobilenet_v3_small.onnx
17838.391,52.30505,18.0,34104.51400000001,99.99996809999996,73.0,5274.975,15.467078899999999,14.0,496.48199999999997,1.4557666,10.0,695.836,2.0403043,9.0,406.61100000000005,1.1922492999999998,9.0,1554.723,4.558699,5.0,3291.806,9.65212,6.0,1168.39,3.42591,1.0,3377.3,9.90279,1.0,mobilenet_v3_small.onnx
17894.745,52.438633,18.0,34125.14200000001,100.00004699999998,73.0,5240.328,15.356208,14.0,492.4189999999999,1.4429785,10.0,698.935,2.0481517,9.0,402.88100000000003,1.1805987999999998,9.0,1565.2430000000002,4.586777,5.0,3280.721,9.613790000000002,6.0,1153.25,3.37948,1.0,3396.62,9.95343,1.0,mobilenet_v3_small.onnx
