aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasaddaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddaddnnrelu,aggregated_count_nnconv2dnnbiasaddaddnnrelu,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
511052.4,69.42432,9.0,736129.5669999999,100.00007353000001,23.0,1019.83,0.138539,1.0,217739.39999999997,29.578950000000003,8.0,4700.68,0.638567,3.0,46.807,0.00635853,1.0,1570.45,0.213339,1.0,resnet18.onnx
515388.7,69.53657000000001,9.0,741176.1579999997,99.99998175,23.0,1021.2,0.137782,1.0,218635.1,29.498410000000003,8.0,4523.35,0.610293,3.0,48.308,0.00651775,1.0,1559.5,0.210409,1.0,resnet18.onnx
515645.29999999993,69.56559000000001,9.0,741236.2660000001,100.00002375000001,23.0,1021.05,0.13775,1.0,218308.30000000002,29.451930000000004,8.0,4677.540000000001,0.631046,3.0,41.626,0.00561575,1.0,1542.45,0.208092,1.0,resnet18.onnx
462617.1,67.14591999999999,9.0,688971.9969999999,99.99993755999998,23.0,1019.95,0.148039,1.0,218976.5,31.78309,8.0,4761.09,0.6910419999999999,3.0,46.227,0.00670956,1.0,1551.13,0.225137,1.0,resnet18.onnx
513817.3,69.42492,9.0,740104.0139999999,99.99989704,23.0,1019.95,0.137812,1.0,218778.9,29.56055,8.0,4890.28,0.6607559999999999,3.0,45.154,0.00610104,1.0,1552.43,0.209758,1.0,resnet18.onnx
519435.1,69.6125,9.0,746180.2089999999,99.99994148,23.0,1018.91,0.136551,1.0,219521.99999999997,29.419430000000002,8.0,4610.29,0.6178509999999999,3.0,48.759,0.00653448,1.0,1545.15,0.207075,1.0,resnet18.onnx
518972.80000000005,69.64926,9.0,745122.9569999999,99.99996523000002,23.0,991.529,0.133069,1.0,218978.90000000002,29.388279999999995,8.0,4581.72,0.614894,3.0,47.548,0.00638123,1.0,1550.46,0.208081,1.0,resnet18.onnx
460744.30000000005,67.13276000000002,9.0,686318.121,99.99999062,23.0,1002.61,0.146085,1.0,218178.6,31.78971,8.0,4803.24,0.699857,3.0,44.361,0.00646362,1.0,1545.01,0.225115,1.0,resnet18.onnx
516134.5999999999,69.48665,9.0,742781.7069999998,99.99993928,23.0,1015.1,0.136662,1.0,219264.9,29.51943,8.0,4767.139999999999,0.641795,3.0,44.257,0.00595828,1.0,1555.71,0.209444,1.0,resnet18.onnx
515702.19999999995,69.56113,9.0,741365.5650000001,99.99999511000003,23.0,1012.93,0.13663,1.0,218429.0,29.46305,8.0,4636.75,0.6254329999999999,3.0,45.795,0.00617711,1.0,1538.89,0.207575,1.0,resnet18.onnx
515314.60000000003,69.49889,9.0,741471.5869999999,99.9999873,23.0,1016.92,0.137149,1.0,218734.80000000002,29.500089999999997,8.0,4818.02,0.649791,3.0,43.497,0.0058663,1.0,1543.75,0.208201,1.0,resnet18.onnx
462562.60000000003,67.10373,9.0,689325.6049999999,100.00006645000003,23.0,1013.75,0.147064,1.0,219176.3,31.79574,8.0,4982.92,0.722868,3.0,45.085,0.00654045,1.0,1544.95,0.224124,1.0,resnet18.onnx
514714.0,69.4693,9.0,740922.6859999999,99.99999183000001,23.0,1025.58,0.138419,1.0,218783.0,29.528470000000002,8.0,4822.07,0.65082,3.0,46.336,0.00625383,1.0,1531.7,0.206729,1.0,resnet18.onnx
