aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenateaddrsqrtmultiplyexpanddimsmultiplynegativemultiplyadd51edc2bb5499865d,aggregated_percentage_concatenateaddrsqrtmultiplyexpanddimsmultiplynegativemultiplyadd51edc2bb5499865d,aggregated_count_concatenateaddrsqrtmultiplyexpanddimsmultiplynegativemultiplyadd51edc2bb5499865d,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
1076589.8099999996,20.860198300000008,79.0,5160978.139,99.99999968000004,251.0,1530.0,0.0296455,1.0,52584.22499999999,1.01888102,82.0,4020306.0499999993,77.89813250000003,81.0,1709.0449999999998,0.03311474,3.0,922.9019999999999,0.01788231,3.0,162.277,0.00314431,1.0,7173.83,0.139001,1.0,densenet161.onnx
1080275.6300000004,20.423688899999995,79.0,5289327.745000001,100.00000025000001,251.0,1533.25,0.0289876,1.0,52707.05399999999,0.9964786899999998,82.0,4144848.029999999,78.36246969999999,81.0,1704.353,0.03222248,3.0,921.4929999999999,0.01742174,3.0,163.765,0.00309614,1.0,7174.17,0.135635,1.0,densenet161.onnx
1040220.1199999998,20.30661860000001,79.0,5122568.912999997,100.00000931000001,251.0,1530.47,0.029877,1.0,52679.292999999976,1.0283763299999997,82.0,4018060.120000001,78.43838229999994,81.0,1702.897,0.03324304,3.0,926.7239999999999,0.018091000000000003,3.0,148.249,0.00289404,1.0,7301.04,0.142527,1.0,densenet161.onnx
1080916.2799999998,20.450154299999998,79.0,5285617.196999999,100.00001038999991,251.0,1520.49,0.0287665,1.0,52572.35299999999,0.9946308899999997,82.0,4140505.340000001,78.33532189999994,81.0,1707.5629999999999,0.03230584,3.0,930.1740000000001,0.01759821,3.0,147.297,0.00278675,1.0,7317.7,0.138446,1.0,densenet161.onnx
1079112.8800000001,20.878547199999982,79.0,5168525.429000005,99.99998723999992,251.0,1525.52,0.0295155,1.0,52633.589000000014,1.0183480700000003,82.0,4025141.7100000023,77.87793639999995,81.0,1707.0620000000001,0.033028,3.0,930.5719999999999,0.01800459,3.0,160.146,0.00309848,1.0,7313.95,0.141509,1.0,densenet161.onnx
1077124.0300000003,20.4134752,79.0,5276535.597000003,100.00001164000004,251.0,1535.12,0.0290934,1.0,52624.62800000002,0.9973334600000004,82.0,4135276.880000001,78.37106590000002,81.0,1705.7830000000001,0.03232774,3.0,923.969,0.0175109,3.0,160.567,0.00304304,1.0,7184.62,0.136162,1.0,densenet161.onnx
1039891.17,20.336339,79.0,5113461.832000004,99.99998875999994,251.0,1519.08,0.0297075,1.0,52624.72099999998,1.02914071,82.0,4009453.8300000015,78.4097671,81.0,1707.143,0.03338526,3.0,924.34,0.0180766,3.0,162.178,0.00317159,1.0,7179.37,0.140401,1.0,densenet161.onnx
1079276.3199999994,20.42138769999999,79.0,5285026.681999997,99.99999659000012,251.0,1531.29,0.0289742,1.0,52677.97799999999,0.9967398000000004,82.0,4141586.059999998,78.36453170000001,81.0,1712.2350000000001,0.03239787,3.0,921.4390000000001,0.0174349,3.0,161.11,0.00304842,1.0,7160.25,0.135482,1.0,densenet161.onnx
1079707.6499999994,20.8885215,79.0,5168906.230000003,100.00001239000005,251.0,1524.95,0.0295025,1.0,52686.81199999998,1.0193029299999998,82.0,4025263.9799999995,77.87458250000003,81.0,1459.1390000000001,0.028229129999999998,3.0,922.3739999999999,0.01784467,3.0,165.155,0.00319516,1.0,7176.17,0.138834,1.0,densenet161.onnx
1079001.1300000004,20.39962019999999,79.0,5289320.903999998,100.00002129000009,251.0,1524.19,0.0288163,1.0,52596.38399999999,0.9943877600000004,82.0,4146224.729999999,78.38861960000001,81.0,1705.831,0.03225049,3.0,930.088,0.01758426,3.0,160.461,0.00303368,1.0,7178.09,0.135709,1.0,densenet161.onnx
