aggregated_duration_nnconv2dnnbiasaddclip,aggregated_percentage_nnconv2dnnbiasaddclip,aggregated_count_nnconv2dnnbiasaddclip,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddadd,aggregated_percentage_nnconv2dnnbiasaddadd,aggregated_count_nnconv2dnnbiasaddadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
54683.445999999996,56.86383700000001,35.0,96165.55099999999,99.99998829999998,54.0,14998.169,15.596178000000002,7.0,22833.906,23.744397,10.0,95.71,0.0995263,1.0,3554.32,3.69605,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54901.068000000014,56.41506400000001,35.0,97316.372,100.0000102,54.0,16108.194,16.552388,7.0,22659.226000000002,23.284077,10.0,97.084,0.0997612,1.0,3550.8,3.64872,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54833.00800000001,56.23769,35.0,97502.23200000002,99.99997800000001,54.0,16080.114000000001,16.492048999999998,7.0,22986.227,23.575062,10.0,98.933,0.101467,1.0,3503.95,3.59371,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54968.831999999995,56.997471,35.0,96440.84499999996,100.00002699999999,54.0,14863.919000000002,15.412465000000001,7.0,22956.449,23.803675999999996,10.0,97.265,0.100855,1.0,3554.38,3.68556,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54907.22100000001,56.91748500000001,35.0,96468.11899999996,100.00000100000003,54.0,14910.439000000002,15.456328,7.0,22998.991,23.841034,10.0,98.218,0.101814,1.0,3553.25,3.68334,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
