aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
303092.404,97.286758,24.0,311545.343,99.9999868,38.0,1662.005,0.5334717999999999,3.0,1959.1640000000002,0.6288537,8.0,4664.27,1.497139,2.0,167.5,0.0537643,1.0,squeezenet1_1.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_1.onnx
277745.324,97.03841,24.0,286222.18899999995,100.00004729999999,38.0,1657.6820000000002,0.5791596000000001,3.0,1973.79,0.6896005999999999,8.0,4677.99,1.63439,2.0,167.403,0.0584871,1.0,squeezenet1_1.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_1.onnx
301887.794,97.26806499999999,24.0,310366.84199999995,100.00000579999998,38.0,1668.329,0.537534,3.0,1962.383,0.6322779,8.0,4678.91,1.50754,2.0,169.426,0.0545889,1.0,squeezenet1_1.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_1.onnx
279646.72699999996,97.05896000000001,24.0,288120.719,100.0000839,38.0,1656.104,0.5747946,3.0,1956.263,0.6789726,8.0,4692.13,1.628529,2.0,169.495,0.0588277,1.0,squeezenet1_1.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_1.onnx
302437.917,97.266786,24.0,310936.53,100.00001439999998,38.0,1666.553,0.5359779,3.0,1975.185,0.6352368,8.0,4687.860000000001,1.507657,2.0,169.015,0.0543567,1.0,squeezenet1_1.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_1.onnx
277054.855,97.02940899999999,24.0,285537.032,100.0000192,38.0,1664.448,0.5829189,3.0,1963.9680000000005,0.6878164,8.0,4686.120000000001,1.6411639999999998,2.0,167.641,0.0587109,1.0,squeezenet1_1.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_1.onnx
302412.374,97.270248,24.0,310898.969,99.9999385,38.0,1671.1229999999998,0.5375124,3.0,1968.12,0.6330408,8.0,4680.51,1.505473,2.0,166.842,0.0536643,1.0,squeezenet1_1.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_1.onnx
278312.84400000004,97.043241,24.0,286792.398,99.99992599999999,38.0,1666.3229999999999,0.5810200000000001,3.0,1969.2410000000002,0.6866428,8.0,4676.1900000000005,1.630513,2.0,167.8,0.0585092,1.0,squeezenet1_1.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_1.onnx
