aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnconv2daddadd,aggregated_percentage_nnconv2daddadd,aggregated_count_nnconv2daddadd,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
53133.36600000001,64.632073,35.0,82209.02799999998,100.00002800000001,54.0,7344.823999999999,8.93433,7.0,18168.4,22.100239000000002,10.0,90.928,0.110606,1.0,3471.51,4.22278,1.0,mnasnet0_75.onnx
52480.559,64.52227,35.0,81337.151,100.000052,54.0,7386.661,9.081555999999999,7.0,17923.304,22.035826,10.0,90.447,0.1112,1.0,3456.18,4.2492,1.0,mnasnet0_75.onnx
52369.418000000005,64.07660900000002,35.0,81729.43000000001,100.00005500000002,54.0,7395.4800000000005,9.048744,7.0,18425.753,22.544826999999998,10.0,90.119,0.110265,1.0,3448.66,4.21961,1.0,mnasnet0_75.onnx
52389.75200000001,64.495449,35.0,81230.11099999999,99.99997399999997,54.0,7354.722,9.054181999999999,7.0,17924.537,22.066375,10.0,90.05,0.110858,1.0,3471.05,4.27311,1.0,mnasnet0_75.onnx
53229.899999999994,64.79776899999999,35.0,82147.70199999999,99.99998,54.0,7361.990999999999,8.961905999999999,7.0,18012.761,21.927280999999997,10.0,92.05,0.112054,1.0,3451.0,4.20097,1.0,mnasnet0_75.onnx
52406.19800000001,64.42046099999999,35.0,81350.247,100.00001599999997,54.0,7363.6900000000005,9.051839000000001,7.0,18026.401,22.159004,10.0,91.708,0.112732,1.0,3462.25,4.25598,1.0,mnasnet0_75.onnx
52315.186,64.259512,35.0,81412.346,99.99999400000002,54.0,7351.657,9.030153,7.0,18207.116,22.364068000000003,10.0,90.727,0.111441,1.0,3447.66,4.23482,1.0,mnasnet0_75.onnx
52425.023000000016,64.34389300000001,35.0,81476.32000000002,100.00000299999999,54.0,7362.192,9.035978,7.0,18148.737,22.274864,10.0,90.698,0.111318,1.0,3449.67,4.23395,1.0,mnasnet0_75.onnx
53254.664000000004,64.58405800000001,35.0,82457.91400000003,99.99998700000003,54.0,7371.521,8.939751,7.0,18276.492000000002,22.164606,10.0,92.767,0.112502,1.0,3462.47,4.19907,1.0,mnasnet0_75.onnx
52398.32000000001,64.486001,35.0,81255.30199999998,99.99995800000002,54.0,7342.407,9.036199,7.0,17970.742,22.116408999999997,10.0,89.583,0.110249,1.0,3454.25,4.2511,1.0,mnasnet0_75.onnx
52330.43799999999,64.031471,35.0,81726.10099999997,99.99999800000002,54.0,7394.181,9.047523,7.0,18448.493000000002,22.573577,10.0,93.149,0.113977,1.0,3459.84,4.23345,1.0,mnasnet0_75.onnx
52510.369999999995,64.518394,35.0,81388.193,99.999964,54.0,7360.031999999999,9.043119,7.0,17979.203,22.090664999999998,10.0,90.248,0.110886,1.0,3448.34,4.2369,1.0,mnasnet0_75.onnx
53209.96099999998,64.618829,35.0,82344.30200000001,99.999974,54.0,7357.218,8.934693,7.0,18227.807,22.136109,10.0,91.026,0.110543,1.0,3458.29,4.1998,1.0,mnasnet0_75.onnx
52467.39200000001,64.33941899999999,35.0,81547.85500000003,100.00005099999998,54.0,7346.352999999999,9.008645999999999,7.0,18173.630999999998,22.285861999999998,10.0,91.149,0.111774,1.0,3469.33,4.25435,1.0,mnasnet0_75.onnx
52348.217000000004,64.18056200000001,35.0,81563.958,99.99998100000002,54.0,7415.807,9.092017,7.0,18246.121,22.370314,10.0,90.983,0.111548,1.0,3462.83,4.24554,1.0,mnasnet0_75.onnx
52419.85500000002,64.358996,35.0,81449.08,99.99995899999999,54.0,7363.127,9.040151999999999,7.0,18110.713,22.235648,10.0,91.095,0.111843,1.0,3464.29,4.25332,1.0,mnasnet0_75.onnx
53235.537000000004,64.610658,35.0,82394.40200000003,100.000034,54.0,7358.251,8.930512,7.0,18256.475000000002,22.157422,10.0,92.819,0.112652,1.0,3451.32,4.18879,1.0,mnasnet0_75.onnx
