aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
79747.8,1.96002,1.0,4068724.0950000007,99.99994392699999,25.0,1691092.7000000002,41.563236,15.0,4448.714999999999,0.10933946,5.0,40.34,0.000991467,1.0,2287268.0,56.215779999999995,2.0,6126.54,0.150577,1.0,vgg19_bn.onnx
69217.6,1.71807,1.0,4028796.591,100.000050464,25.0,1664383.2999999998,41.312169,15.0,4448.856,0.11042648,5.0,39.965,0.000991984,1.0,2284587.0,56.70649,2.0,6119.87,0.151903,1.0,vgg19_bn.onnx
69188.2,1.71659,1.0,4030552.995,100.0000381,25.0,1665956.5,41.333155999999995,15.0,4427.985,0.10986038999999999,5.0,41.1,0.00101971,1.0,2284801.0,56.68712,2.0,6138.21,0.152292,1.0,vgg19_bn.onnx
69161.5,1.72425,1.0,4011118.562,100.00005256,25.0,1660470.4,41.396747999999995,15.0,4421.444,0.11022964,5.0,40.188,0.00100192,1.0,2270922.0,56.615669999999994,2.0,6103.03,0.152153,1.0,vgg19_bn.onnx
79856.0,1.96726,1.0,4059243.291,100.000000596,25.0,1692494.9,41.694803,15.0,4449.421,0.10961193000000001,5.0,39.97,0.000984666,1.0,2276280.0,56.076499999999996,2.0,6123.0,0.150841,1.0,vgg19_bn.onnx
69136.2,1.72318,1.0,4012136.245,100.00002948999999,25.0,1660023.9,41.375109,15.0,4442.53,0.11072718000000001,5.0,40.535,0.00101031,1.0,2272354.0,56.636990000000004,2.0,6139.08,0.153013,1.0,vgg19_bn.onnx
69224.9,1.71724,1.0,4031159.165,100.00003863,25.0,1667402.2000000002,41.362795999999996,15.0,4460.721,0.11065601,5.0,41.304,0.00102462,1.0,2283876.0,56.65566,2.0,6154.04,0.152662,1.0,vgg19_bn.onnx
69204.2,1.72371,1.0,4014842.2199999997,99.99996678,25.0,1659831.9999999998,41.34237100000001,15.0,4420.762000000001,0.11011060999999998,5.0,40.878,0.00101817,1.0,2275203.0,56.66979,2.0,6141.38,0.152967,1.0,vgg19_bn.onnx
79840.6,1.97054,1.0,4051713.9969999995,100.00003585999997,25.0,1675531.5999999999,41.35358900000001,15.0,4444.901000000001,0.10970405,5.0,41.806,0.00103181,1.0,2285726.0,56.413900000000005,2.0,6129.09,0.151271,1.0,vgg19_bn.onnx
69193.3,1.72214,1.0,4017881.7190000005,100.00001151000001,25.0,1663131.3,41.393253,15.0,4429.269,0.11023878000000001,5.0,40.65,0.00101173,1.0,2274952.0,56.62067,2.0,6135.2,0.152698,1.0,vgg19_bn.onnx
