aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnconv2daddaddnnrelu,aggregated_percentage_nnconv2daddaddnnrelu,aggregated_count_nnconv2daddaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
5854438.740000003,82.8905973,45.0,7062847.714000001,99.99997726000002,107.0,978.284,0.0138511,1.0,96350.63,1.36419,4.0,438644.2999999999,6.210591,33.0,670209.6999999998,9.48923,22.0,141.77,0.00200726,1.0,2084.29,0.0295106,1.0,wide_resnet101_2.onnx
5743373.290000001,82.76868759999998,45.0,6939061.525000001,99.99995921000003,107.0,981.957,0.0141512,1.0,96905.73,1.3965239999999999,4.0,441747.0,6.366094999999999,33.0,653830.7999999999,9.422469000000001,22.0,140.808,0.00202921,1.0,2081.94,0.0300032,1.0,wide_resnet101_2.onnx
6059174.220000001,83.36959519999999,45.0,7267841.565000003,99.999943,107.0,978.605,0.0134649,1.0,96515.98999999999,1.327986,4.0,439186.1999999999,6.042870999999999,33.0,669765.4999999999,9.215466,22.0,137.82,0.0018963,1.0,2083.23,0.0286636,1.0,wide_resnet101_2.onnx
6048424.79,83.53212810000002,45.0,7240838.558000003,100.00002474999998,107.0,977.921,0.0135056,1.0,94782.48999999999,1.3089979999999999,4.0,440275.5,6.080451000000001,33.0,654147.6000000001,9.034141,22.0,138.347,0.00191065,1.0,2091.91,0.0288904,1.0,wide_resnet101_2.onnx
5858988.16,82.9162287,45.0,7066158.421999997,100.00005809000001,107.0,975.061,0.013799,1.0,94546.89,1.3380239999999999,4.0,439782.29999999993,6.223784000000001,33.0,669627.7,9.476545999999999,22.0,139.761,0.00197789,1.0,2098.55,0.0296985,1.0,wide_resnet101_2.onnx
5753678.690000003,82.81271450000003,45.0,6947821.395000002,100.00000457999997,107.0,974.982,0.0140329,1.0,97329.6,1.4008639999999999,4.0,438804.69999999995,6.315711999999999,33.0,654811.5000000002,9.424701,22.0,141.123,0.00203118,1.0,2080.8,0.029949,1.0,wide_resnet101_2.onnx
6069060.13,83.41685060000003,45.0,7275576.055999999,99.99994629000003,107.0,982.405,0.0135028,1.0,94771.63,1.302601,4.0,439263.0999999999,6.037499,33.0,669267.6000000001,9.198826000000002,22.0,139.741,0.00192069,1.0,2091.45,0.0287462,1.0,wide_resnet101_2.onnx
6051188.65,83.53430749999998,45.0,7243955.696000003,99.99999238999996,107.0,983.796,0.0135809,1.0,94186.86,1.3002129999999998,4.0,440402.49999999994,6.079585000000002,33.0,654962.1,9.041497,22.0,141.8,0.00195749,1.0,2089.99,0.0288515,1.0,wide_resnet101_2.onnx
5849761.73,82.86104220000003,45.0,7059723.821,99.99998252000002,107.0,979.681,0.013877,1.0,96425.9,1.365859,4.0,440387.79999999993,6.2380309999999985,33.0,669940.5000000001,9.489611000000002,22.0,138.28,0.00195872,1.0,2089.93,0.0296036,1.0,wide_resnet101_2.onnx
5758771.02,82.84237510000003,45.0,6951478.694,99.99998197999999,107.0,970.146,0.013956,1.0,95616.98999999999,1.375492,4.0,439846.00000000006,6.3273719999999996,33.0,654046.6000000001,9.408737,22.0,140.488,0.00202098,1.0,2087.45,0.0300289,1.0,wide_resnet101_2.onnx
6079792.829999999,83.42970490000002,45.0,7287326.491999999,100.00003421000001,107.0,977.18,0.0134093,1.0,96029.4,1.31776,4.0,439385.50000000006,6.029451000000002,33.0,668910.9999999999,9.179099999999998,22.0,140.522,0.00192831,1.0,2090.06,0.0286807,1.0,wide_resnet101_2.onnx
6054485.599999998,83.5282226,45.0,7248430.459000001,99.99998832000004,107.0,978.577,0.0135005,1.0,95225.31,1.313737,4.0,440434.80000000005,6.076277000000001,33.0,655083.2000000001,9.037583,22.0,141.592,0.00195342,1.0,2081.38,0.0287148,1.0,wide_resnet101_2.onnx
5843277.790000001,82.88754139999999,45.0,7049647.672000001,100.00003003000003,107.0,979.438,0.0138934,1.0,95127.98,1.3494,4.0,438691.0,6.22288,33.0,669339.6000000001,9.494656,22.0,140.304,0.00199023,1.0,2091.56,0.029669,1.0,wide_resnet101_2.onnx
5766477.96,82.83956629999997,45.0,6961016.693,99.99997244999999,107.0,974.149,0.0139944,1.0,95583.66,1.373127,4.0,440602.9,6.329579000000002,33.0,655147.6000000001,9.411663999999998,22.0,139.934,0.00201025,1.0,2090.49,0.0300315,1.0,wide_resnet101_2.onnx
6083797.9799999995,83.4197945,45.0,7292990.569999998,99.99999560999994,107.0,982.592,0.0134731,1.0,95751.45,1.312925,4.0,440243.60000000003,6.03653,33.0,669982.2,9.186658000000001,22.0,140.128,0.00192141,1.0,2092.62,0.0286936,1.0,wide_resnet101_2.onnx
6051958.470000001,83.52633710000002,45.0,7245570.479999999,100.00001896000002,107.0,980.453,0.0135318,1.0,95270.45999999999,1.314879,4.0,440519.8,6.079853999999999,33.0,654593.5,9.034393999999999,22.0,141.887,0.00195826,1.0,2105.91,0.0290648,1.0,wide_resnet101_2.onnx
5853955.489999999,82.91909869999999,45.0,7059844.616,100.00006150999994,107.0,979.081,0.0138683,1.0,95564.79000000001,1.3536389999999998,4.0,437866.3,6.2022129999999995,33.0,669248.4999999999,9.479648999999998,22.0,143.245,0.00202901,1.0,2087.21,0.0295645,1.0,wide_resnet101_2.onnx
5762802.970000003,82.86410169999999,45.0,6954524.604000001,100.00001880999999,107.0,972.485,0.0139835,1.0,95791.37,1.377397,4.0,439001.9,6.312464,33.0,653724.2,9.399982999999999,22.0,142.499,0.00204901,1.0,2089.18,0.0300406,1.0,wide_resnet101_2.onnx
6095933.770000002,83.46046020000003,45.0,7303978.703000001,100.00000720000006,107.0,980.436,0.0134233,1.0,96339.91,1.319006,4.0,438889.69999999995,6.008911,33.0,669614.5000000001,9.167807,22.0,140.017,0.001917,1.0,2080.37,0.0284827,1.0,wide_resnet101_2.onnx
6046442.1899999995,83.50552010000001,45.0,7240769.427000001,100.00000652000001,107.0,978.769,0.0135175,1.0,96517.97,1.332981,4.0,439804.70000000007,6.074007,33.0,654793.4,9.04315,22.0,142.478,0.00196772,1.0,2089.92,0.0288632,1.0,wide_resnet101_2.onnx
5831827.379999998,82.8504674,45.0,7038981.837999995,100.00002777999995,107.0,970.939,0.0137937,1.0,94581.01000000001,1.343675,4.0,439289.89999999985,6.240810999999999,33.0,670087.4000000001,9.519668,22.0,141.109,0.00200468,1.0,2084.1,0.029608,1.0,wide_resnet101_2.onnx
5759433.2700000005,82.85769059999998,45.0,6950998.055000004,100.00004986999996,107.0,982.313,0.014132,1.0,94395.2,1.358011,4.0,439360.60000000015,6.320830000000001,33.0,654604.7,9.41742,22.0,139.852,0.00201197,1.0,2082.12,0.0299543,1.0,wide_resnet101_2.onnx
6088558.78,83.42740559999999,45.0,7298024.9240000015,99.99991868999999,107.0,971.968,0.0133182,1.0,97068.5,1.3300669999999999,4.0,439746.6,6.0255540000000005,33.0,669458.7999999999,9.173151,22.0,138.866,0.00190279,1.0,2081.41,0.0285201,1.0,wide_resnet101_2.onnx
6047846.180000002,83.51874930000001,45.0,7241300.501000004,99.99996768000007,107.0,978.636,0.0135146,1.0,96213.55,1.328678,4.0,438812.2,6.059857,33.0,655227.6,9.048479,22.0,141.935,0.00196008,1.0,2080.4,0.0287297,1.0,wide_resnet101_2.onnx
