aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddaddnnrelu,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
292460.67,61.05512,4.0,479010.49,99.99994719,23.0,970.256,0.202554,1.0,74269.37,15.50476,5.0,104964.35,21.912729999999996,8.0,5003.360000000001,1.044522,3.0,41.694,0.00870419,1.0,1300.79,0.271557,1.0,resnet18.onnx
291558.1,61.40119,4.0,474840.818,99.99993872000002,23.0,975.997,0.205542,1.0,72787.81999999999,15.32889,5.0,103128.31000000003,21.718479999999996,8.0,5060.15,1.0656510000000001,3.0,41.571,0.00875472,1.0,1288.87,0.271431,1.0,resnet18.onnx
276363.19999999995,59.59745,4.0,463717.1109999999,100.00005694999997,23.0,978.376,0.210985,1.0,74294.11,16.02141,5.0,105911.74000000002,22.83973,8.0,4832.42,1.042103,3.0,42.365,0.00913595,1.0,1294.9,0.279243,1.0,resnet18.onnx
271395.8,59.73388,4.0,454341.5970000001,99.99999839999998,23.0,981.6,0.216049,1.0,72504.79,15.95821,5.0,103201.66999999998,22.71454,8.0,4926.65,1.084349,3.0,41.197,0.0090674,1.0,1289.89,0.283903,1.0,resnet18.onnx
293203.2,61.02270000000001,4.0,480482.3180000001,100.00000353,23.0,981.171,0.204205,1.0,74226.77,15.44838,5.0,105800.02000000002,22.019540000000003,8.0,4928.78,1.025797,3.0,41.867,0.00871353,1.0,1300.51,0.270668,1.0,resnet18.onnx
292117.26,61.61477000000001,4.0,474103.361,100.00002706000001,23.0,976.083,0.20588,1.0,72207.48,15.230290000000002,5.0,102556.71,21.63169,8.0,4922.74,1.038327,3.0,42.608,0.00898706,1.0,1280.48,0.270083,1.0,resnet18.onnx
275804.3,59.53179,4.0,463289.4059999999,99.99999950000002,23.0,971.646,0.209728,1.0,74838.63999999998,16.153730000000003,5.0,105287.26000000001,22.726010000000002,8.0,5055.07,1.091126,3.0,41.93,0.0090505,1.0,1290.56,0.278565,1.0,resnet18.onnx
271208.5,59.776010000000014,4.0,453707.73400000005,100.00000980000003,23.0,978.505,0.215669,1.0,71820.26000000001,15.829640000000001,5.0,103292.26000000001,22.766279999999995,8.0,5060.41,1.115347,3.0,41.899,0.0092348,1.0,1305.9,0.287829,1.0,resnet18.onnx
304444.0,61.78920000000001,4.0,492714.393,100.00002697,23.0,983.183,0.199544,1.0,74530.78,15.12657,5.0,106540.48000000001,21.623139999999996,8.0,4860.37,0.986449,3.0,42.26,0.00857697,1.0,1313.32,0.266547,1.0,resnet18.onnx
292471.6,61.428200000000004,4.0,476119.0490000002,100.00000045999998,23.0,981.007,0.206043,1.0,72379.68000000001,15.202020000000001,5.0,104128.41999999998,21.870290000000004,8.0,4833.18,1.015121,3.0,42.172,0.00885746,1.0,1282.99,0.269469,1.0,resnet18.onnx
274297.15,59.51227,4.0,460909.08999999997,100.00004706000003,23.0,980.062,0.212637,1.0,74400.98999999999,16.14222,5.0,104995.76,22.78013,8.0,4895.889999999999,1.062225,3.0,41.118,0.00892106,1.0,1298.12,0.281644,1.0,resnet18.onnx
273093.39999999997,60.00772,4.0,455096.97599999997,99.99998755000001,23.0,979.579,0.215246,1.0,72038.56,15.82928,5.0,102506.22,22.52404,8.0,5136.82,1.1287310000000002,3.0,41.967,0.00922155,1.0,1300.43,0.285749,1.0,resnet18.onnx
292622.6,61.07794,4.0,479096.2469999999,99.99993001000001,23.0,980.899,0.204739,1.0,74029.57999999999,15.45193,5.0,104934.76,21.90267,8.0,5182.26,1.081674,3.0,40.958,0.00854901,1.0,1305.19,0.272428,1.0,resnet18.onnx
293213.0,61.69369999999999,4.0,475271.54600000003,99.99995211000002,23.0,980.009,0.2062,1.0,72255.11,15.20293,5.0,102432.76999999999,21.55249,8.0,5048.030000000001,1.062136,3.0,42.927,0.00903211,1.0,1299.7,0.273464,1.0,resnet18.onnx
277772.30000000005,59.78796,4.0,464595.5150000001,100.00000661999998,23.0,975.085,0.209878,1.0,74423.12000000001,16.01891,5.0,105217.80000000002,22.647210000000005,8.0,4871.280000000001,1.0485,3.0,40.72,0.00876462,1.0,1295.21,0.278784,1.0,resnet18.onnx
271387.4,59.91309,4.0,452968.80100000004,100.00004837,23.0,978.899,0.216107,1.0,71936.6,15.88113,5.0,102407.95,22.60818,8.0,4920.0599999999995,1.0861800000000001,3.0,42.232,0.00932337,1.0,1295.66,0.286038,1.0,resnet18.onnx
292340.5,60.928839999999994,4.0,479806.616,100.00000181,23.0,977.285,0.203683,1.0,74446.11,15.51586,5.0,105648.01000000001,22.01885,8.0,5048.58,1.052211,3.0,40.111,0.00835981,1.0,1306.02,0.272198,1.0,resnet18.onnx
292731.5,61.56469,4.0,475486.26499999996,100.00001755,23.0,977.173,0.20551,1.0,72784.65000000001,15.3074,5.0,102489.82,21.55474,8.0,5159.54,1.085108,3.0,41.912,0.00881455,1.0,1301.67,0.273755,1.0,resnet18.onnx
276774.5,59.59789000000001,4.0,464403.6120000001,100.00000983000004,23.0,971.991,0.209299,1.0,74509.45,16.0441,5.0,105894.1,22.80214,8.0,4910.5599999999995,1.05739,3.0,40.811,0.00878783,1.0,1302.2,0.280403,1.0,resnet18.onnx
