aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnconv2daddaddnnrelu,aggregated_percentage_nnconv2daddaddnnrelu,aggregated_count_nnconv2daddaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
5131990.159999999,91.3875093,28.0,5615631.490000001,99.99991975000003,56.0,975.592,0.0173728,1.0,97780.67000000001,1.741222,4.0,231571.9,4.123702,16.0,151114.5,2.690961,5.0,139.428,0.00248285,1.0,2059.24,0.0366698,1.0,wide_resnet50_2.onnx
0.0,nan,28.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
5342406.129999999,91.73416909999997,28.0,5823790.178,99.99998782999998,56.0,975.854,0.0167563,1.0,98134.17000000001,1.6850550000000002,4.0,230154.19999999998,3.951966,16.0,149897.5,2.573882,5.0,138.544,0.00237893,1.0,2083.78,0.0357805,1.0,wide_resnet50_2.onnx
0.0,nan,28.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
5138761.16,91.40127729999998,28.0,5622196.439,99.99996304999998,56.0,977.707,0.0173901,1.0,97492.26,1.7340590000000002,4.0,231114.20000000004,4.110742999999999,16.0,151628.0,2.696952,5.0,138.742,0.00246775,1.0,2084.37,0.0370739,1.0,wide_resnet50_2.onnx
0.0,nan,28.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
5350321.3500000015,91.71223040000001,28.0,5833812.717000001,99.99997291000004,56.0,980.755,0.0168116,1.0,98882.95,1.694997,4.0,231701.39999999997,3.971696,16.0,149704.4,2.5661519999999998,5.0,139.522,0.00239161,1.0,2082.34,0.0356943,1.0,wide_resnet50_2.onnx
0.0,nan,28.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
5142560.42,91.39498319999996,28.0,5626738.150000001,99.99992911999996,56.0,979.004,0.0173991,1.0,98150.64,1.7443620000000002,4.0,231405.09999999998,4.112597,16.0,151420.1,2.6910819999999998,5.0,139.516,0.00247952,1.0,2083.37,0.0370263,1.0,wide_resnet50_2.onnx
0.0,nan,28.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
5335379.569999999,91.68128510000001,28.0,5819485.355999999,99.99998681,56.0,976.771,0.0167845,1.0,98396.86,1.690817,4.0,232268.0,3.9912120000000004,16.0,150238.6,2.581645,5.0,139.895,0.00240391,1.0,2085.66,0.0358393,1.0,wide_resnet50_2.onnx
