aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnconv2daddadd,aggregated_percentage_nnconv2daddadd,aggregated_count_nnconv2daddadd,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
32939.306,69.63388400000001,35.0,47303.52199999998,99.99994500000001,54.0,4979.579,10.526869999999999,7.0,5850.429999999999,12.367846,10.0,92.287,0.195095,1.0,3441.92,7.27625,1.0,mnasnet0_5.onnx
32963.65899999999,69.68079499999999,35.0,47306.67500000001,99.99998700000002,54.0,5008.9259999999995,10.588187999999999,7.0,5805.368,12.271757,10.0,90.922,0.192197,1.0,3437.8,7.26705,1.0,mnasnet0_5.onnx
33060.613000000005,69.76970999999999,35.0,47385.289000000004,99.99993099999998,54.0,4947.164,10.440306,7.0,5842.691000000001,12.330172,10.0,91.441,0.192973,1.0,3443.38,7.26677,1.0,mnasnet0_5.onnx
33775.57000000001,70.168813,35.0,48134.737000000016,100.00002,54.0,4999.2029999999995,10.385850999999999,7.0,5823.340999999999,12.098008999999998,10.0,89.043,0.184987,1.0,3447.58,7.16236,1.0,mnasnet0_5.onnx
33025.33800000001,69.704568,35.0,47378.989000000016,99.99995799999999,54.0,5007.257,10.568508999999999,7.0,5819.323999999999,12.282495,10.0,91.16,0.192406,1.0,3435.91,7.25198,1.0,mnasnet0_5.onnx
32991.66000000001,69.64522600000001,35.0,47371.03700000001,100.00002200000002,54.0,5018.966,10.595008,7.0,5822.925,12.292178,10.0,90.526,0.1911,1.0,3446.96,7.27651,1.0,mnasnet0_5.onnx
33050.992,69.574086,35.0,47504.708999999995,99.999962,54.0,5083.526,10.701104,7.0,5830.847000000001,12.274253999999999,10.0,89.854,0.189148,1.0,3449.49,7.26137,1.0,mnasnet0_5.onnx
33671.566999999995,70.04535199999998,35.0,48071.105999999985,100.00000399999996,54.0,5036.104,10.476362,7.0,5835.479,12.139246,10.0,90.866,0.189024,1.0,3437.09,7.15002,1.0,mnasnet0_5.onnx
33000.935,69.694072,35.0,47351.14299999998,100.00001500000002,54.0,4996.656,10.552343,7.0,5814.196,12.278901000000003,10.0,93.016,0.196439,1.0,3446.34,7.27826,1.0,mnasnet0_5.onnx
32986.236999999994,69.70791599999998,35.0,47320.609999999986,99.99994699999999,54.0,4985.734,10.536078,7.0,5815.871000000001,12.290357,10.0,90.598,0.191456,1.0,3442.17,7.27414,1.0,mnasnet0_5.onnx
