aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
306340.897,94.741323,24.0,323344.73299999995,100.0000628,38.0,2565.281,0.793359,3.0,3640.571,1.1259101999999999,8.0,10630.26,3.287599,2.0,167.724,0.0518716,1.0,squeezenet1_0.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_0.onnx
308910.847,94.83469500000001,24.0,325735.83100000006,99.9999226,38.0,2565.9139999999998,0.7877290000000001,3.0,3647.284,1.1197070999999998,8.0,10443.060000000001,3.205993,2.0,168.726,0.0517985,1.0,squeezenet1_0.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_0.onnx
310195.779,94.798004,24.0,327217.683,100.00001209999999,38.0,2564.843,0.7838339999999999,3.0,3646.9020000000005,1.1145201999999998,8.0,10639.269999999999,3.251429,2.0,170.889,0.0522249,1.0,squeezenet1_0.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_0.onnx
308373.179,94.820306,24.0,325218.66000000003,100.00005019999999,38.0,2560.077,0.787186,3.0,3630.6690000000003,1.1163785000000002,8.0,10485.85,3.2242499999999996,2.0,168.885,0.0519297,1.0,squeezenet1_0.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_0.onnx
310749.698,94.815934,24.0,327739.91099999996,99.99997870000001,38.0,2560.233,0.781176,3.0,3643.26,1.1116313,8.0,10617.29,3.239541,2.0,169.43,0.0516964,1.0,squeezenet1_0.onnx
0.0,nan,24.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,2.0,0.0,nan,1.0,squeezenet1_0.onnx
