aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_concatenateaddnnrelu,aggregated_percentage_concatenateaddnnrelu,aggregated_count_concatenateaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
972017.2700000004,19.7374278,79.0,4924742.635000001,100.00000086000001,251.0,1460.1,0.0296483,1.0,43217.615,0.87756122,81.0,3898181.4699999997,79.15502440000002,81.0,1539.769,0.03126597,3.0,774.99,0.01573666,3.0,205.321,0.00416917,1.0,148.35,0.00301234,1.0,7197.75,0.146155,1.0,densenet161.onnx
972555.1599999998,20.433392199999997,79.0,4759634.071999997,99.99998301000004,251.0,1473.71,0.0309628,1.0,43124.481000000014,0.90604661,81.0,3732610.699999999,78.42221209999998,81.0,1537.216,0.03229697,3.0,784.034,0.016472570000000002,3.0,206.012,0.00432832,1.0,149.759,0.00314644,1.0,7193.0,0.151125,1.0,densenet161.onnx
972296.5800000001,19.77207820000001,79.0,4917526.712,100.00000677999995,251.0,1467.65,0.0298454,1.0,43104.756,0.8765539699999996,81.0,3890797.5500000007,79.12101879999996,81.0,1541.492,0.03134687,3.0,773.65,0.015732500000000003,3.0,204.058,0.00414961,1.0,150.596,0.00306243,1.0,7190.38,0.146219,1.0,densenet161.onnx
982096.9700000002,20.579279000000007,79.0,4772261.565999997,99.99998474999992,251.0,1470.12,0.0308055,1.0,43215.36699999999,0.9055531800000001,81.0,3735614.34,78.27763649999997,81.0,1542.0720000000001,0.03231328,3.0,770.183,0.01613874,3.0,204.165,0.00427816,1.0,151.729,0.00317939,1.0,7196.62,0.150801,1.0,densenet161.onnx
970676.3999999998,19.737270099999996,79.0,4917986.554999998,100.00000514000003,251.0,1469.69,0.0298841,1.0,43112.825999999994,0.8766357600000001,81.0,3892872.009999999,79.15581519999999,81.0,1535.947,0.03123126,3.0,780.732,0.01587503,3.0,204.43,0.00415678,1.0,149.65,0.00304291,1.0,7184.87,0.146094,1.0,densenet161.onnx
973855.66,20.474130199999994,79.0,4756517.484000004,99.99999683000016,251.0,1463.32,0.0307646,1.0,43163.091000000015,0.9074519599999997,81.0,3728177.6100000013,78.3804015,81.0,1539.231,0.032360469999999995,3.0,775.543,0.01630486,3.0,205.221,0.00431452,1.0,150.768,0.00316972,1.0,7187.04,0.151099,1.0,densenet161.onnx
974564.6099999999,19.838083199999996,79.0,4912598.073000002,99.99999737000006,251.0,1463.13,0.0297833,1.0,43136.59199999999,0.8780811700000002,81.0,3883578.600000001,79.05344050000004,81.0,1538.6670000000001,0.03132081,3.0,773.6569999999999,0.015748429999999997,3.0,204.838,0.00416965,1.0,151.569,0.00308531,1.0,7186.41,0.146285,1.0,densenet161.onnx
982418.7199999999,20.699274200000005,79.0,4746150.807000001,100.00000582000008,251.0,1455.58,0.0306687,1.0,43131.36900000001,0.90876521,81.0,3709441.9300000016,78.15685459999996,81.0,1539.594,0.03243876,3.0,768.35,0.01618891,3.0,205.039,0.00432011,1.0,151.845,0.00319933,1.0,7038.38,0.148296,1.0,densenet161.onnx
973410.7799999998,19.806616800000008,79.0,4914571.488,99.99999651000007,251.0,1469.54,0.0299018,1.0,43135.690000000024,0.8777097999999999,81.0,3886840.549999999,79.08809190000001,81.0,1537.233,0.03127905,3.0,779.169,0.01585427,3.0,200.415,0.00407797,1.0,146.401,0.00297892,1.0,7051.71,0.143486,1.0,densenet161.onnx
971978.6499999999,20.49351070000002,79.0,4742862.433,100.00000053999996,251.0,1467.98,0.0309513,1.0,43162.69900000001,0.9100562000000001,81.0,3716540.3999999985,78.36069630000001,81.0,1537.129,0.03240935,3.0,780.8,0.01646264,3.0,205.837,0.00433993,1.0,149.738,0.00315712,1.0,7039.2,0.148417,1.0,densenet161.onnx
972395.8700000001,19.780187099999992,79.0,4916008.732999995,99.99999391999998,251.0,1470.06,0.0299035,1.0,43169.488999999994,0.8781413900000001,81.0,3889131.589999999,79.11156429999996,81.0,1537.5459999999998,0.03127633,3.0,772.703,0.01571809,3.0,204.998,0.00417001,1.0,152.357,0.0030992,1.0,7174.12,0.145934,1.0,densenet161.onnx
983149.8800000001,20.624280200000005,79.0,4766953.301000002,99.99998103000001,251.0,1469.33,0.0308232,1.0,43121.34499999999,0.9045889199999999,81.0,3729379.490000001,78.23400929999995,81.0,1513.559,0.031751039999999994,3.0,778.988,0.01634143,3.0,203.479,0.00426853,1.0,149.94,0.00314541,1.0,7187.29,0.150773,1.0,densenet161.onnx
972759.8299999997,19.74956719999999,79.0,4925474.677000004,100.00000116999998,251.0,1467.07,0.0297853,1.0,43191.389,0.8768982500000001,81.0,3898338.2800000003,79.14644709999996,81.0,1539.167,0.03124908,3.0,777.9490000000001,0.0157944,3.0,206.165,0.00418569,1.0,151.367,0.00307315,1.0,7043.46,0.143001,1.0,densenet161.onnx
972723.05,20.496365699999995,79.0,4745832.170999996,100.00001066999994,251.0,1467.76,0.0309274,1.0,43134.501,0.9088925099999999,81.0,3718657.9899999984,78.35629879999996,81.0,1533.137,0.032304929999999996,3.0,775.938,0.01634989,3.0,205.801,0.00433646,1.0,151.154,0.00318498,1.0,7182.84,0.15135,1.0,densenet161.onnx
972374.7200000003,19.767511900000002,79.0,4919054.888999999,100.00001713999985,251.0,1467.14,0.0298256,1.0,43180.70799999999,0.87782541,81.0,3892169.82,79.12435809999997,81.0,1541.9750000000001,0.03134698,3.0,777.706,0.015810070000000002,3.0,206.789,0.00420384,1.0,150.781,0.00306524,1.0,7185.25,0.14607,1.0,densenet161.onnx
