aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddaddnnrelu,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
285017.0,42.01622,4.0,678350.7529999999,100.00005558999997,39.0,980.094,0.144482,1.0,176842.99,26.069550000000003,13.0,209227.67999999993,30.84359,16.0,4830.34,0.71207,3.0,42.869,0.00631959,1.0,1409.78,0.207824,1.0,resnet34.onnx
302922.31,43.44778,4.0,697209.525,99.99999616,39.0,979.307,0.140461,1.0,177237.83000000002,25.421039999999998,13.0,209819.62999999998,30.094219999999993,16.0,4795.66,0.687836,3.0,41.248,0.00591616,1.0,1413.54,0.202743,1.0,resnet34.onnx
307646.19999999995,43.94107,4.0,700133.8149999998,100.00004512999995,39.0,981.823,0.140234,1.0,174983.75000000003,24.99291,13.0,210257.37999999995,30.031049999999993,16.0,4810.51,0.687085,3.0,42.352,0.00604913,1.0,1411.8,0.201647,1.0,resnet34.onnx
284169.5,41.90016,4.0,678206.848,100.00002042000001,39.0,977.213,0.144088,1.0,178181.56,26.27243,13.0,208801.27999999997,30.787259999999996,16.0,4619.79,0.6811769999999999,3.0,41.855,0.00617142,1.0,1415.65,0.208734,1.0,resnet34.onnx
284289.8,41.961380000000005,4.0,677503.6410000001,100.00000269000003,39.0,981.105,0.144812,1.0,177008.05000000002,26.12651,13.0,209020.22999999998,30.851519999999997,16.0,4745.71,0.700469,3.0,41.766,0.00616469,1.0,1416.98,0.209147,1.0,resnet34.onnx
303238.58999999997,43.52542,4.0,696694.0050000002,100.00006741000001,39.0,983.423,0.141156,1.0,176384.17999999996,25.31731,13.0,210157.55,30.164979999999993,16.0,4461.34,0.6403589999999999,3.0,41.902,0.00601441,1.0,1427.02,0.204828,1.0,resnet34.onnx
305990.6,43.81071,4.0,698437.484,100.00000063999998,39.0,981.846,0.140578,1.0,175049.93,25.06308,13.0,210448.48,30.13135,16.0,4508.67,0.645537,3.0,40.898,0.00585564,1.0,1417.06,0.20289,1.0,resnet34.onnx
283457.5,41.90779,4.0,676384.4760000001,100.00002502000004,39.0,978.185,0.14462,1.0,177576.52999999997,26.25379000000001,13.0,208209.89,30.782750000000004,16.0,4699.02,0.694726,3.0,39.731,0.00587402,1.0,1423.62,0.210475,1.0,resnet34.onnx
282976.33999999997,41.88269,4.0,675639.6470000001,99.99992588,39.0,981.613,0.145286,1.0,176727.65,26.15708,13.0,208921.91999999998,30.922069999999998,16.0,4578.0,0.6775789999999999,3.0,41.524,0.00614588,1.0,1412.6,0.209075,1.0,resnet34.onnx
303327.69999999995,43.500460000000004,4.0,697297.926,100.00007416000001,39.0,980.21,0.140573,1.0,177084.24,25.39579,13.0,209812.92,30.089470000000002,16.0,4629.79,0.663961,3.0,41.316,0.00592516,1.0,1421.75,0.203895,1.0,resnet34.onnx
