aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
56484.5,2.0081,1.0,2812828.9809999997,100.00001455,17.0,4321.747,0.15364415999999997,5.0,548189.0,19.48887,7.0,41.894,0.00148939,1.0,2197668.0,78.1302,2.0,6123.84,0.217711,1.0,vgg11.onnx
56399.5,2.00899,1.0,2807355.092,99.99997559,17.0,4312.0830000000005,0.1535993,5.0,544507.9,19.39575,7.0,41.529,0.00147929,1.0,2195916.0,78.22009,2.0,6178.08,0.220067,1.0,vgg11.onnx
56575.5,1.98768,1.0,2846307.2070000004,99.99999331000001,17.0,4327.959000000001,0.15205524,5.0,565539.4,19.86926,7.0,41.188,0.00144707,1.0,2213670.0,77.77337,2.0,6153.16,0.216181,1.0,vgg11.onnx
62152.8,2.18963,1.0,2838496.808,99.99997086,17.0,4299.525000000001,0.15147161,5.0,550656.4999999999,19.39954,7.0,41.733,0.00147025,1.0,2215168.0,78.0402,2.0,6178.25,0.217659,1.0,vgg11.onnx
56487.9,2.011,1.0,2808949.2460000003,100.00005608,17.0,4315.164000000001,0.15362224,5.0,546293.3,19.44833,7.0,40.922,0.00145684,1.0,2195686.0,78.16756,2.0,6125.96,0.218087,1.0,vgg11.onnx
56438.5,2.03112,1.0,2778685.546,99.99997086000002,17.0,4314.547999999999,0.15527313,5.0,545485.6000000001,19.63107,7.0,40.478,0.00145673,1.0,2166268.0,77.96014000000001,2.0,6138.42,0.220911,1.0,vgg11.onnx
56496.6,1.98651,1.0,2844019.96,99.99996953,17.0,4294.463,0.15100025,5.0,564374.3,19.84426,7.0,40.137,0.00141128,1.0,2212676.0,77.80095,2.0,6138.46,0.215838,1.0,vgg11.onnx
62111.3,2.19746,1.0,2826503.1870000004,100.00005072,17.0,4309.405,0.15246388,5.0,551382.4,19.50759,7.0,40.132,0.00141984,1.0,2202481.0,77.92251,2.0,6178.95,0.218607,1.0,vgg11.onnx
56531.6,2.01411,1.0,2806781.62,100.00001284000001,17.0,4323.999,0.15405538,5.0,547774.7,19.51612,7.0,41.441,0.00147646,1.0,2191963.0,78.09525000000001,2.0,6146.88,0.219001,1.0,vgg11.onnx
56458.4,1.99679,1.0,2827464.338,100.00002336,17.0,4318.754,0.15274276999999997,5.0,544873.0,19.270709999999998,7.0,41.524,0.00146859,1.0,2215611.0,78.36039000000001,2.0,6161.66,0.217922,1.0,vgg11.onnx
