aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
56262.4,1.92492,1.0,2922841.256,99.99997361999999,17.0,4271.834,0.14615311999999997,5.0,579327.2,19.820674999999998,7.0,41.782,0.0014295,1.0,2276747.0,77.89498,2.0,6191.04,0.211816,1.0,vgg11_bn.onnx
88349.6,3.00756,1.0,2937590.754,99.99997852999999,17.0,4233.301,0.14410823,5.0,565557.4,19.252452,7.0,40.283,0.0013713,1.0,2273214.0,77.38356,2.0,6196.17,0.210927,1.0,vgg11_bn.onnx
88307.3,3.00109,1.0,2942506.632,100.00003505,17.0,4263.195,0.14488305999999998,5.0,569111.1,19.341041,7.0,41.077,0.00139599,1.0,2274586.0,77.30099,2.0,6197.96,0.210635,1.0,vgg11_bn.onnx
88295.2,3.04792,1.0,2896902.2169999997,100.00004271,17.0,4257.027999999999,0.14695092,5.0,552870.0,19.084850000000003,7.0,40.029,0.00138179,1.0,2245229.0,77.50454,2.0,6210.96,0.2144,1.0,vgg11_bn.onnx
56207.3,1.92471,1.0,2920308.732,100.00002791,17.0,4258.576,0.14582623,5.0,579346.3,19.838540000000002,7.0,40.466,0.00138568,1.0,2274311.0,77.87914,2.0,6145.09,0.210426,1.0,vgg11_bn.onnx
88380.8,2.99673,1.0,2949239.2890000003,99.99997569,17.0,4237.668,0.14368692,5.0,571554.0,19.379695999999996,7.0,41.371,0.00140277,1.0,2278835.0,77.26856,2.0,6190.45,0.2099,1.0,vgg11_bn.onnx
88306.2,3.01942,1.0,2924604.594,100.00003283,17.0,4262.981000000001,0.14576252,5.0,571996.6,19.558072999999997,7.0,39.813,0.00136131,1.0,2253813.0,77.0639,2.0,6186.0,0.211516,1.0,vgg11_bn.onnx
88337.8,3.01221,1.0,2932657.5540000005,99.99996893,17.0,4263.964,0.14539597,5.0,556319.5000000001,18.969832,7.0,40.88,0.00139396,1.0,2277490.0,77.65953999999999,2.0,6205.41,0.211597,1.0,vgg11_bn.onnx
56237.0,1.93113,1.0,2912121.2460000003,99.99996324,17.0,4257.274,0.14619119,5.0,578921.9,19.879709000000002,7.0,40.742,0.00139905,1.0,2266501.0,77.82988999999999,2.0,6163.33,0.211644,1.0,vgg11_bn.onnx
88353.6,3.02488,1.0,2920898.3510000003,100.00001757,17.0,4273.041,0.1462917,5.0,564102.5,19.312623999999996,7.0,41.21,0.00141087,1.0,2257957.0,77.30354,2.0,6171.0,0.211271,1.0,vgg11_bn.onnx
88376.8,3.03628,1.0,2910698.5330000003,100.00003079999999,17.0,4259.059,0.14632462000000002,5.0,566107.8,19.449199999999998,7.0,40.464,0.00139018,1.0,2245729.0,77.15432999999999,2.0,6185.41,0.212506,1.0,vgg11_bn.onnx
88284.3,3.01512,1.0,2928052.478,99.99997854,17.0,4277.24,0.14607768,5.0,555895.0000000001,18.985128,7.0,40.608,0.00138686,1.0,2273408.0,77.64232000000001,2.0,6147.33,0.209946,1.0,vgg11_bn.onnx
56298.8,1.95654,1.0,2877469.201,100.00000569,17.0,4257.649,0.14796519,5.0,576453.4,20.03337,7.0,39.522,0.0013735,1.0,2234200.0,77.6446,2.0,6219.83,0.216157,1.0,vgg11_bn.onnx
88223.8,3.00334,1.0,2937532.6569999997,100.00002568,17.0,4258.379,0.1449647,5.0,563406.2999999999,19.179576,7.0,40.508,0.00137898,1.0,2275425.0,77.46043,2.0,6178.67,0.210336,1.0,vgg11_bn.onnx
88310.6,3.00086,1.0,2942836.955,100.00003663999999,17.0,4285.406,0.14562165,5.0,577788.3,19.63373,7.0,41.229,0.00140099,1.0,2266367.0,77.01303,2.0,6044.42,0.205394,1.0,vgg11_bn.onnx
88264.9,3.01227,1.0,2930176.6070000003,100.00003944000001,17.0,4270.263999999999,0.14573364,5.0,554960.6,18.939447000000005,7.0,42.013,0.0014338,1.0,2276473.0,77.69073,2.0,6165.83,0.210425,1.0,vgg11_bn.onnx
56223.3,1.93901,1.0,2899587.352,100.00001467999998,17.0,4259.499000000001,0.14690051,5.0,575630.5,19.852159999999998,7.0,41.063,0.00141617,1.0,2257232.0,77.84666999999999,2.0,6200.99,0.213858,1.0,vgg11_bn.onnx
88337.4,3.02537,1.0,2919885.3540000003,99.99994719,17.0,4246.686,0.14544026000000002,5.0,567955.5000000001,19.451290999999998,7.0,40.818,0.00139793,1.0,2253135.0,77.16514000000001,2.0,6169.95,0.211308,1.0,vgg11_bn.onnx
88202.3,3.02794,1.0,2912947.653,100.00005426,17.0,4257.9180000000015,0.14617179000000002,5.0,569761.0999999999,19.559625999999998,7.0,40.125,0.00137747,1.0,2244514.0,77.05305,2.0,6172.21,0.211889,1.0,vgg11_bn.onnx
88474.8,3.03262,1.0,2917439.931,99.99999011,17.0,4269.875,0.14635705000000002,5.0,555999.6000000001,19.057788000000002,7.0,41.196,0.00141206,1.0,2262484.0,77.55031,2.0,6170.46,0.211503,1.0,vgg11_bn.onnx
56286.3,1.94653,1.0,2891618.9450000003,100.00001639,17.0,4261.816,0.14738519999999997,5.0,573365.8,19.82857,7.0,40.199,0.00139019,1.0,2251499.0,77.86291,2.0,6165.83,0.213231,1.0,vgg11_bn.onnx
