aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenateaddnnrelu,aggregated_percentage_concatenateaddnnrelu,aggregated_count_concatenateaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransform,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransform,aggregated_count_nncontribconv2dwinogradwithoutweighttransform,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
355576.51,42.288334400000004,59.0,840837.3469999997,99.99997864000002,191.0,975.587,0.116026,1.0,6414.8499999999985,0.7629120700000002,24.0,412841.63100000005,49.09889110000001,58.0,12739.403999999999,1.51508478,38.0,47806.6,5.6856,3.0,948.893,0.11285099999999999,3.0,487.933,0.058029449999999996,3.0,73.059,0.00868884,1.0,2972.88,0.353561,1.0,densenet121.onnx
354144.05000000005,43.31010970000001,59.0,817694.9229999995,100.00003465999991,191.0,977.121,0.119497,1.0,6423.796,0.78559779,24.0,389931.777,47.68668460000002,58.0,12747.842999999999,1.5589961299999997,38.0,48954.7,5.98691,3.0,952.925,0.1165379,3.0,485.681,0.05939633,3.0,74.69,0.00913421,1.0,3002.34,0.367171,1.0,densenet121.onnx
353785.81200000003,42.218931600000026,59.0,837979.9850000001,100.00003897999993,191.0,974.162,0.116251,1.0,6431.343000000001,0.76748191,24.0,412408.04699999996,49.214538200000014,58.0,12744.196999999996,1.5208240800000001,38.0,47126.4,5.623810000000001,3.0,961.5729999999999,0.1147489,3.0,487.548,0.05818132,3.0,74.823,0.00892897,1.0,2986.08,0.356343,1.0,densenet121.onnx
366109.2170000001,44.13258410000002,59.0,829566.3309999998,100.00001561000003,191.0,982.206,0.1184,1.0,6427.505,0.7748037899999999,24.0,389255.12600000005,46.922747300000026,58.0,12750.221999999998,1.5369759899999997,38.0,49557.8,5.97395,3.0,949.883,0.1145036,3.0,488.382,0.05887191,3.0,74.71,0.00900592,1.0,2971.28,0.358173,1.0,densenet121.onnx
354060.67299999995,42.19318459999999,59.0,839142.3520000003,100.00003326999997,191.0,975.421,0.11624,1.0,6430.632999999998,0.7663343199999999,24.0,411118.36899999995,48.9926915,58.0,12730.561999999996,1.5170923300000005,38.0,49343.399999999994,5.88022,3.0,951.0769999999999,0.11333919999999999,3.0,483.04499999999996,0.05756408,3.0,73.922,0.00880924,1.0,2975.25,0.354558,1.0,densenet121.onnx
354518.2610000002,43.2516186,59.0,819663.9609999995,99.99997876000003,191.0,978.875,0.119424,1.0,6435.478,0.7851362600000001,24.0,390004.2060000002,47.58101479999999,58.0,12739.525,1.55423779,38.0,50498.5,6.160869999999999,3.0,952.611,0.1162197,3.0,494.37399999999997,0.060314160000000006,3.0,75.421,0.00920145,1.0,2966.71,0.361942,1.0,densenet121.onnx
353673.1179999997,42.1422529,59.0,839236.6810000004,100.00003125000003,191.0,972.867,0.115923,1.0,6444.694000000001,0.7679234499999998,24.0,411836.80099999974,49.072806799999995,58.0,12736.713,1.5176549899999998,38.0,49086.600000000006,5.84895,3.0,949.899,0.11318610000000001,3.0,485.141,0.05780738,3.0,75.268,0.00896863,1.0,2975.58,0.354558,1.0,densenet121.onnx
366368.52799999976,44.18473919999999,59.0,829175.5970000001,100.00004875999994,191.0,977.823,0.117927,1.0,6418.712000000001,0.7741073300000001,24.0,389223.55900000024,46.94100309999999,58.0,12723.145999999997,1.5344338200000003,38.0,48977.5,5.90678,3.0,949.699,0.1145352,3.0,487.73699999999997,0.05882186,3.0,74.943,0.00903825,1.0,2973.95,0.358663,1.0,densenet121.onnx
354373.8529999999,42.25356130000002,59.0,838683.5159999998,99.99999298999995,191.0,977.134,0.116508,1.0,6438.724000000001,0.7677180300000004,24.0,411807.24000000017,49.10164410000002,58.0,12755.955000000002,1.5209493500000004,38.0,47840.7,5.70426,3.0,940.787,0.1121743,3.0,490.33400000000006,0.05846472,3.0,72.489,0.00864319,1.0,2986.3,0.35607,1.0,densenet121.onnx
355424.5370000002,43.2991229,59.0,820859.2729999997,100.00001417000001,191.0,979.21,0.119291,1.0,6435.714999999999,0.78402169,24.0,390138.371,47.52802740000003,58.0,12717.506,1.5492914199999999,38.0,50673.100000000006,6.17317,3.0,948.4480000000001,0.1155433,3.0,485.537,0.05914984,3.0,74.769,0.00910862,1.0,2982.08,0.363288,1.0,densenet121.onnx
