Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 88, 28, 28], float32[88], float32[1, 88, 28, 28]",1,"opencl0",88.755,"bf3969de9d3cc3e7","tvmgen_default_fused_nn_bias_add_7",0.237486,,,,
"float32[1, 88, 28, 28], float32[1, 88, 28, 28]",1,"opencl0",85.217,"88aa5b08cf6a8dbc","tvmgen_default_fused_nn_relu_4",0.228019,,,,
"float32[1, 88, 28, 28], float32[24, 88, 1, 1], float32[1, 24, 28, 28]",1,"opencl0",513.446,"2a4b69eca5f450d7","tvmgen_default_fused_nn_conv2d_10",1.37385,"NCHW","OIHW",,""
"float32[1, 24, 28, 28], float32[24], float32[1, 24, 28, 28]",1,"opencl0",22.897,"486406f1530b614d","tvmgen_default_fused_nn_bias_add_6",0.0612665,,,,
"float32[1, 24, 28, 28], float32[1, 24, 28, 28], float32[1, 24, 28, 28]",1,"opencl0",34.049,"4360946fbba38334","tvmgen_default_fused_add_2",0.0911064,,,,
"float32[1, 24, 28, 28], float32[96, 24, 1, 1], float32[1, 96, 28, 28]",1,"opencl0",393.671,"dcabbdd421a2389e","tvmgen_default_fused_nn_conv2d_11",1.05336,"NCHW","OIHW",,""
"float32[1, 96, 28, 28], float32[96], float32[1, 96, 28, 28]",1,"opencl0",97.003,"04f09fa7416b9c0e","tvmgen_default_fused_nn_bias_add_8",0.259555,,,,
"float32[1, 96, 28, 28], float32[], float32[1, 96, 28, 28]",1,"opencl0",95.889,"7bcd6c8265d25863","tvmgen_default_fused_multiply_4",0.256574,,,,
"float32[1, 96, 28, 28], float32[], float32[1, 96, 28, 28]",1,"opencl0",96.216,"d030f18b635f93a6","tvmgen_default_fused_add_3",0.257449,,,,
"float32[1, 96, 28, 28], float32[1, 96, 28, 28]",1,"opencl0",91.778,"c4dd23f754153b53","tvmgen_default_fused_clip_2",0.245574,,,,
"float32[1, 96, 28, 28], float32[1, 96, 28, 28], float32[1, 96, 28, 28]",1,"opencl0",144.06,"bd0fb6ef7fc9e00c","tvmgen_default_fused_multiply_5",0.385468,,,,
"float32[1, 96, 28, 28], float32[96, 1, 5, 5], float32[1, 96, 14, 14]",1,"opencl0",532.93,"c10127ee3100de5a","tvmgen_default_fused_nn_conv2d_12",1.42598,"NCHW","OIHW",,""
"float32[1, 96, 14, 14], float32[96], float32[1, 96, 14, 14]",1,"opencl0",23.692,"5046057975e69694","tvmgen_default_fused_nn_bias_add_9",0.0633937,,,,
"float32[1, 96, 14, 14], float32[], float32[1, 96, 14, 14]",1,"opencl0",23.542,"6e6a2f59fb501221","tvmgen_default_fused_multiply_6",0.0629924,,,,
"float32[1, 96, 14, 14], float32[], float32[1, 96, 14, 14]",1,"opencl0",23.065,"90f0df1945c18378","tvmgen_default_fused_add_4",0.061716,,,,
"float32[1, 96, 14, 14], float32[1, 96, 14, 14]",1,"opencl0",21.114,"9aa19e026162ec79","tvmgen_default_fused_clip_3",0.0564957,,,,
"float32[1, 96, 14, 14], float32[1, 96, 14, 14], float32[1, 96, 14, 14]",1,"opencl0",33.736,"666e61d3f5bc910f","tvmgen_default_fused_multiply_7",0.0902689,,,,
"float32[1, 96, 14, 14], float32[1, 96, 1, 1]",1,"opencl0",22.595,"dfabbb927b94d1d3","tvmgen_default_fused_nn_global_avg_pool2d_1",0.0604584,,,"NCHW",""
"float32[1, 96, 1, 1], float32[24, 96, 1, 1], float32[1, 24, 1, 1]",1,"opencl0",43.215,"d47d66b824248298","tvmgen_default_fused_nn_conv2d_13",0.115632,"NCHW","OIHW",,""
"float32[1, 24, 1, 1], float32[24], float32[1, 24, 1, 1]",1,"opencl0",1.582,"b53e1af9c4d456c2","tvmgen_default_fused_nn_bias_add_10",0.00423303,,,,
"float32[1, 24, 1, 1], float32[1, 24, 1, 1]",1,"opencl0",2.075,"e3a5b68bc75dfc9c","tvmgen_default_fused_nn_relu_5",0.00555217,,,,
"float32[1, 24, 1, 1], float32[96, 24, 1, 1], float32[1, 96, 1, 1]",1,"opencl0",18.732,"34051e8b468926f5","tvmgen_default_fused_nn_conv2d_14",0.050122,"NCHW","OIHW",,""
"float32[1, 96, 1, 1], float32[96], float32[1, 96, 1, 1]",1,"opencl0",1.868,"a76a2d544dd8050b","tvmgen_default_fused_nn_bias_add_11",0.00499829,,,,
"float32[1, 96, 1, 1], float32[], float32[1, 96, 1, 1]",1,"opencl0",1.735,"b6a68e3a8d960161","tvmgen_default_fused_multiply_8",0.00464242,,,,
"float32[1, 96, 1, 1], float32[], float32[1, 96, 1, 1]",1,"opencl0",1.733,"831292ad5964d7f9","tvmgen_default_fused_add_5",0.00463706,,,,
"float32[1, 96, 1, 1], float32[1, 96, 1, 1]",1,"opencl0",1.721,"bcc5d6d8f33b88c6","tvmgen_default_fused_clip_4",0.00460496,,,,
