Name                                       Duration (us)  Percent  Device  Count                                                               Argument Shapes              Hash  data_layout  kernel_layout  layout  out_layout  
tvmgen_default_fused_nn_relu_2                    731.62     0.16    cpu0      3                              float32[1, 256, 56, 56], float32[1, 256, 56, 56]  2920dd789f380081                                                  
tvmgen_default_fused_add_4                        694.09     0.15    cpu0     50                                         float32[256], float32[], float32[256]  b4b5144296909f79                                                  
tvmgen_default_fused_negative_1                   612.38     0.13    cpu0     50                                                    float32[256], float32[256]  860daf3f81d2cb63                                                  
tvmgen_default_fused_multiply_10                  575.15     0.12    cpu0     48                                   float32[1024], float32[1024], float32[1024]  b90f17027d27054c                                                  
tvmgen_default_fused_add_5                        564.20     0.12    cpu0     50                                      float32[256], float32[256], float32[256]  da3ff5444665d9ba                                                  
tvmgen_default_fused_nn_bias_add_4                515.91     0.11    cpu0     23                float32[1, 256, 14, 14], float32[256], float32[1, 256, 14, 14]  22af230e3c6b1f1a                                                  
tvmgen_default_fused_add_14                       509.35     0.11    cpu0      4     float32[1, 512, 28, 28], float32[1, 512, 28, 28], float32[1, 512, 28, 28]  fa0372908a2a8e22                                                  
tvmgen_default_fused_nn_bias_add_3                474.31     0.10    cpu0      4                float32[1, 512, 28, 28], float32[512], float32[1, 512, 28, 28]  2b44fee34eaf69ef                                                  
tvmgen_default_fused_multiply_8                   449.20     0.10    cpu0      5          float32[1, 512, 28, 28], float32[512, 1, 1], float32[1, 512, 28, 28]  10cea3495b492fcc                                                  
tvmgen_default_fused_nn_max_pool2d                372.35     0.08    cpu0      1                              float32[1, 64, 112, 112], float32[1, 64, 56, 56]  f9a2c55cab74f218                                NCHW              
tvmgen_default_fused_add_16                       367.20     0.08    cpu0     24                                       float32[1024], float32[], float32[1024]  07ecbb993e5b694d                                                  
tvmgen_default_fused_multiply_1                   352.99     0.08    cpu0      1         float32[1, 64, 112, 112], float32[64, 1, 1], float32[1, 64, 112, 112]  969fd370b1252d33                                                  
tvmgen_default_fused_negative_4                   339.79     0.07    cpu0     24                                                  float32[1024], float32[1024]  0766edcd014d1e6f                                                  
tvmgen_default_fused_add_13                       328.40     0.07    cpu0      5          float32[1, 512, 28, 28], float32[512, 1, 1], float32[1, 512, 28, 28]  f341be187455ec8f                                                  
tvmgen_default_fused_add_2                        310.66     0.07    cpu0      1         float32[1, 64, 112, 112], float32[64, 1, 1], float32[1, 64, 112, 112]  55a28da43b5e3863                                                  
tvmgen_default_fused_rsqrt_4                      292.67     0.06    cpu0     24                                                  float32[1024], float32[1024]  3850458e28a9372f                                                  
tvmgen_default_fused_add_17                       286.44     0.06    cpu0     24                                   float32[1024], float32[1024], float32[1024]  0de1516d0bc631fa                                                  
tvmgen_default_fused_multiply_7                   268.32     0.06    cpu0     22                                      float32[512], float32[512], float32[512]  26dd3c4dd7504e80                                                  
tvmgen_default_fused_nn_relu_4                    267.15     0.06    cpu0      4                              float32[1, 512, 28, 28], float32[1, 512, 28, 28]  a10fb7f10331e950                                                  
tvmgen_default_fused_nn_relu                      261.84     0.06    cpu0      1                            float32[1, 64, 112, 112], float32[1, 64, 112, 112]  ad0ba631890195c8                                                  
tvmgen_default_fused_nn_bias_add                  217.12     0.05    cpu0      3                   float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]  0af568e9467d38ce                                                  
