Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,out_layout
"float32[1, 32, 56, 56], float32[1, 32, 56, 56], float32[1, 32, 56, 56]",1,"opencl0",197.516,"825bf0ec852631cc","tvmgen_default_fused_add",0.10077,,,
"float32[1, 32, 56, 56], float32[96, 32, 1, 1], float32[1, 96, 56, 56]",1,"opencl0",1905.03,"9b3a99b99513584f","tvmgen_default_fused_nn_conv2d_6",0.971918,"NCHW","OIHW",""
"float32[1, 96, 56, 56], float32[96], float32[1, 96, 56, 56]",1,"opencl0",411.454,"ed732ee6422ed85f","tvmgen_default_fused_nn_bias_add_5",0.209918,,,
"float32[1, 96, 56, 56], float32[1, 96, 56, 56]",1,"opencl0",398.014,"156f41187a63fcb0","tvmgen_default_fused_nn_relu_3",0.203061,,,
"float32[1, 96, 56, 56], float32[96, 1, 5, 5], float32[1, 96, 28, 28]",1,"opencl0",4024.19,"fe74ece5f8314719","tvmgen_default_fused_nn_conv2d_9",2.05308,"NCHW","OIHW",""
"float32[1, 96, 28, 28], float32[96], float32[1, 96, 28, 28]",1,"opencl0",98.652,"04f09fa7416b9c0e","tvmgen_default_fused_nn_bias_add_6",0.0503308,,,
"float32[1, 96, 28, 28], float32[1, 96, 28, 28]",1,"opencl0",92.473,"7505b2d97fc235d6","tvmgen_default_fused_nn_relu_4",0.0471784,,,
"float32[1, 96, 28, 28], float32[56, 96, 1, 1], float32[1, 56, 28, 28]",1,"opencl0",808.793,"2419a7a46613463f","tvmgen_default_fused_nn_conv2d_10",0.412634,"NCHW","OIHW",""
"float32[1, 56, 28, 28], float32[56], float32[1, 56, 28, 28]",1,"opencl0",53.232,"e6e1e3fb224b9e04","tvmgen_default_fused_nn_bias_add_7",0.0271582,,,
"float32[1, 56, 28, 28], float32[168, 56, 1, 1], float32[1, 168, 28, 28]",1,"opencl0",1225.44,"81f19dda88913b8d","tvmgen_default_fused_nn_conv2d_11",0.6252,"NCHW","OIHW",""
"float32[1, 168, 28, 28], float32[168], float32[1, 168, 28, 28]",1,"opencl0",175.602,"d926c903d64a826b","tvmgen_default_fused_nn_bias_add_8",0.0895895,,,
"float32[1, 168, 28, 28], float32[1, 168, 28, 28]",1,"opencl0",162.672,"3e9563ff4b0f835f","tvmgen_default_fused_nn_relu_5",0.0829928,,,
"float32[1, 168, 28, 28], float32[168, 1, 5, 5], float32[1, 168, 28, 28]",1,"opencl0",2823.25,"4f63a4e3079ec7df","tvmgen_default_fused_nn_conv2d_12",1.44038,"NCHW","OIHW",""
"float32[1, 168, 28, 28], float32[168], float32[1, 168, 28, 28]",1,"opencl0",172.105,"d926c903d64a826b","tvmgen_default_fused_nn_bias_add_8",0.0878054,,,
"float32[1, 168, 28, 28], float32[1, 168, 28, 28]",1,"opencl0",167.377,"3e9563ff4b0f835f","tvmgen_default_fused_nn_relu_5",0.0853933,,,
"float32[1, 168, 28, 28], float32[56, 168, 1, 1], float32[1, 56, 28, 28]",1,"opencl0",1402.88,"ed56056adf37f3c4","tvmgen_default_fused_nn_conv2d_13",0.715729,"NCHW","OIHW",""
"float32[1, 56, 28, 28], float32[56], float32[1, 56, 28, 28]",1,"opencl0",57.141,"e6e1e3fb224b9e04","tvmgen_default_fused_nn_bias_add_7",0.0291525,,,
"float32[1, 56, 28, 28], float32[1, 56, 28, 28], float32[1, 56, 28, 28]",1,"opencl0",83.83,"d5829d6478af7c4c","tvmgen_default_fused_add_1",0.0427688,,,
"float32[1, 56, 28, 28], float32[168, 56, 1, 1], float32[1, 168, 28, 28]",1,"opencl0",1224.22,"81f19dda88913b8d","tvmgen_default_fused_nn_conv2d_11",0.624581,"NCHW","OIHW",""
"float32[1, 168, 28, 28], float32[168], float32[1, 168, 28, 28]",1,"opencl0",169.392,"d926c903d64a826b","tvmgen_default_fused_nn_bias_add_8",0.0864213,,,
"float32[1, 168, 28, 28], float32[1, 168, 28, 28]",1,"opencl0",164.114,"3e9563ff4b0f835f","tvmgen_default_fused_nn_relu_5",0.0837285,,,
"float32[1, 168, 28, 28], float32[168, 1, 5, 5], float32[1, 168, 28, 28]",1,"opencl0",2855.26,"4f63a4e3079ec7df","tvmgen_default_fused_nn_conv2d_12",1.45671,"NCHW","OIHW",""
"float32[1, 168, 28, 28], float32[168], float32[1, 168, 28, 28]",1,"opencl0",173.553,"d926c903d64a826b","tvmgen_default_fused_nn_bias_add_8",0.0885442,,,
"float32[1, 168, 28, 28], float32[1, 168, 28, 28]",1,"opencl0",162.74,"3e9563ff4b0f835f","tvmgen_default_fused_nn_relu_5",0.0830275,,,
"float32[1, 168, 28, 28], float32[56, 168, 1, 1], float32[1, 56, 28, 28]",1,"opencl0",1376.63,"ed56056adf37f3c4","tvmgen_default_fused_nn_conv2d_13",0.702337,"NCHW","OIHW",""
"float32[1, 56, 28, 28], float32[56], float32[1, 56, 28, 28]",1,"opencl0",55.636,"e6e1e3fb224b9e04","tvmgen_default_fused_nn_bias_add_7",0.0283847,,,
"float32[1, 56, 28, 28], float32[1, 56, 28, 28], float32[1, 56, 28, 28]",1,"opencl0",83.484,"d5829d6478af7c4c","tvmgen_default_fused_add_1",0.0425923,,,
"float32[1, 56, 28, 28], float32[336, 56, 1, 1], float32[1, 336, 28, 28]",1,"opencl0",2332.93,"1e0ae7557b9ccb29","tvmgen_default_fused_nn_conv2d_14",1.19023,"NCHW","OIHW",""
"float32[1, 336, 28, 28], float32[336], float32[1, 336, 28, 28]",1,"opencl0",363.116,"963ba2b5bb0618ed","tvmgen_default_fused_nn_bias_add_9",0.185256,,,
"float32[1, 336, 28, 28], float32[1, 336, 28, 28]",1,"opencl0",345.143,"c0d760add8b72af3","tvmgen_default_fused_nn_relu_6",0.176087,,,
"float32[1, 336, 28, 28], float32[336, 1, 5, 5], float32[1, 336, 14, 14]",1,"opencl0",1863.17,"e1f1cbd3cc92698c","tvmgen_default_fused_nn_conv2d_15",0.950563,"NCHW","OIHW",""
