Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 512, 28, 28], float32[1, 512, 14, 14]",1,"opencl0",342.926,"a58460573dd02317","tvmgen_default_fused_nn_max_pool2d_3",0.00712067,,,"NCHW",""
"float32[1, 512, 14, 14], float32[512, 512, 3, 3], float32[1, 512, 14, 14]",1,"opencl0",69483.6,"dcb4a671a8ae35ab","tvmgen_default_fused_nn_conv2d_8",1.44279,"NCHW","OIHW",,""
"float32[1, 512, 14, 14], float32[512], float32[1, 512, 14, 14]",1,"opencl0",151.867,"b2f20ddb1e69950e","tvmgen_default_fused_nn_bias_add_4",0.00315343,,,,
"float32[1, 512, 14, 14], float32[1, 512, 14, 14]",1,"opencl0",145.155,"3ebbf1e0ac63ab24","tvmgen_default_fused_nn_relu_4",0.00301406,,,,
"float32[1, 512, 14, 14], float32[512, 512, 3, 3], float32[1, 512, 14, 14]",1,"opencl0",71778,"dcb4a671a8ae35ab","tvmgen_default_fused_nn_conv2d_8",1.49043,"NCHW","OIHW",,""
"float32[1, 512, 14, 14], float32[512], float32[1, 512, 14, 14]",1,"opencl0",149.604,"b2f20ddb1e69950e","tvmgen_default_fused_nn_bias_add_4",0.00310644,,,,
"float32[1, 512, 14, 14], float32[1, 512, 14, 14]",1,"opencl0",145.614,"3ebbf1e0ac63ab24","tvmgen_default_fused_nn_relu_4",0.00302359,,,,
"float32[1, 512, 14, 14], float32[512, 512, 3, 3], float32[1, 512, 14, 14]",1,"opencl0",72895.1,"dcb4a671a8ae35ab","tvmgen_default_fused_nn_conv2d_8",1.51363,"NCHW","OIHW",,""
"float32[1, 512, 14, 14], float32[512], float32[1, 512, 14, 14]",1,"opencl0",154.904,"b2f20ddb1e69950e","tvmgen_default_fused_nn_bias_add_4",0.0032165,,,,
"float32[1, 512, 14, 14], float32[1, 512, 14, 14]",1,"opencl0",145.253,"3ebbf1e0ac63ab24","tvmgen_default_fused_nn_relu_4",0.0030161,,,,
"float32[1, 512, 14, 14], float32[1, 512, 7, 7]",1,"opencl0",94.417,"87a86a9ad44973a5","tvmgen_default_fused_nn_max_pool2d_4",0.00196052,,,"NCHW",""
"float32[1, 512, 7, 7], float32[1, 512, 7, 7]",1,"opencl0",44.523,"e1e4a3e4139cb89a","tvmgen_default_fused_nn_avg_pool2d",0.000924496,,,"NCHW",""
"float32[1, 512, 7, 7], float32[1, 25088]",1,"opencl0",0,"09bd02bb717a7c68","__nop",0,,,,
"float32[1, 25088], float32[4096, 25088], float32[1, 4096]",1,"opencl0",2.52506e+06,"032fc0d6fe9323d0","tvmgen_default_fused_nn_dense",52.4316,,,,
"float32[1, 4096], float32[4096], float32[1, 4096]",1,"opencl0",10.132,"53e9bd0835ae2e21","tvmgen_default_fused_add",0.000210385,,,,
"float32[1, 4096], float32[1, 4096]",1,"opencl0",5.95,"dcf458679b2083c9","tvmgen_default_fused_nn_relu_5",0.000123548,,,,
"float32[1, 4096], float32[4096, 4096], float32[1, 4096]",1,"opencl0",132252,"758238b671313694","tvmgen_default_fused_nn_dense_1",2.74613,,,,
"float32[1, 4096], float32[4096], float32[1, 4096]",1,"opencl0",9.738,"53e9bd0835ae2e21","tvmgen_default_fused_add",0.000202204,,,,
"float32[1, 4096], float32[1, 4096]",1,"opencl0",6.826,"dcf458679b2083c9","tvmgen_default_fused_nn_relu_5",0.000141738,,,,
"float32[1, 4096], float32[1000, 4096], float32[1, 1000]",1,"opencl0",6100.33,"8a835404ccb3a9f1","tvmgen_default_fused_nn_dense_2",0.12667,,,,
"float32[1, 1000], float32[1000], float32[1, 1000]",1,"opencl0",4.181,"cdf93cc9b3c4974f","tvmgen_default_fused_add_1",8.68162e-05,,,,
