Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,out_layout
"float32[1, 1152, 7, 7], float32[192, 1152, 1, 1], float32[1, 192, 7, 7]",1,"opencl0",2474.26,"a8f1317d97bf109f","tvmgen_default_fused_nn_conv2d_29",2.35047,"NCHW","OIHW",""
"float32[1, 192, 7, 7], float32[192], float32[1, 192, 7, 7]",1,"opencl0",13.357,"fd57c72082828ca5","tvmgen_default_fused_nn_bias_add_16",0.0126888,,,
"float32[1, 192, 7, 7], float32[1, 192, 7, 7], float32[1, 192, 7, 7]",1,"opencl0",17.573,"476016d648b5a0ff","tvmgen_default_fused_add_4",0.0166938,,,
"float32[1, 192, 7, 7], float32[1152, 192, 1, 1], float32[1, 1152, 7, 7]",1,"opencl0",4038.3,"3f7c826e89b83688","tvmgen_default_fused_nn_conv2d_27",3.83626,"NCHW","OIHW",""
"float32[1, 1152, 7, 7], float32[1152], float32[1, 1152, 7, 7]",1,"opencl0",75.839,"c8e9463e056b6b72","tvmgen_default_fused_nn_bias_add_17",0.0720449,,,
"float32[1, 1152, 7, 7], float32[1, 1152, 7, 7]",1,"opencl0",68.101,"740948a1c9a3550b","tvmgen_default_fused_nn_relu_11",0.064694,,,
"float32[1, 1152, 7, 7], float32[1152, 1, 5, 5], float32[1, 1152, 7, 7]",1,"opencl0",761.678,"d9818fa57409e4d1","tvmgen_default_fused_nn_conv2d_28",0.723572,"NCHW","OIHW",""
"float32[1, 1152, 7, 7], float32[1152], float32[1, 1152, 7, 7]",1,"opencl0",74.922,"c8e9463e056b6b72","tvmgen_default_fused_nn_bias_add_17",0.0711737,,,
"float32[1, 1152, 7, 7], float32[1, 1152, 7, 7]",1,"opencl0",69.208,"740948a1c9a3550b","tvmgen_default_fused_nn_relu_11",0.0657456,,,
"float32[1, 1152, 7, 7], float32[192, 1152, 1, 1], float32[1, 192, 7, 7]",1,"opencl0",2481.32,"a8f1317d97bf109f","tvmgen_default_fused_nn_conv2d_29",2.35719,"NCHW","OIHW",""
"float32[1, 192, 7, 7], float32[192], float32[1, 192, 7, 7]",1,"opencl0",12.518,"fd57c72082828ca5","tvmgen_default_fused_nn_bias_add_16",0.0118917,,,
"float32[1, 192, 7, 7], float32[1, 192, 7, 7], float32[1, 192, 7, 7]",1,"opencl0",16.809,"476016d648b5a0ff","tvmgen_default_fused_add_4",0.0159681,,,
"float32[1, 192, 7, 7], float32[1152, 192, 1, 1], float32[1, 1152, 7, 7]",1,"opencl0",4047.49,"3f7c826e89b83688","tvmgen_default_fused_nn_conv2d_27",3.845,"NCHW","OIHW",""
"float32[1, 1152, 7, 7], float32[1152], float32[1, 1152, 7, 7]",1,"opencl0",75.161,"c8e9463e056b6b72","tvmgen_default_fused_nn_bias_add_17",0.0714008,,,
"float32[1, 1152, 7, 7], float32[1, 1152, 7, 7]",1,"opencl0",67.677,"740948a1c9a3550b","tvmgen_default_fused_nn_relu_11",0.0642912,,,
"float32[1, 1152, 7, 7], float32[1152, 1, 3, 3], float32[1, 1152, 7, 7]",1,"opencl0",454.721,"9a6c91d0411a083c","tvmgen_default_fused_nn_conv2d_30",0.431972,"NCHW","OIHW",""
"float32[1, 1152, 7, 7], float32[1152], float32[1, 1152, 7, 7]",1,"opencl0",76.245,"c8e9463e056b6b72","tvmgen_default_fused_nn_bias_add_17",0.0724306,,,
"float32[1, 1152, 7, 7], float32[1, 1152, 7, 7]",1,"opencl0",68.327,"740948a1c9a3550b","tvmgen_default_fused_nn_relu_11",0.0649087,,,
"float32[1, 1152, 7, 7], float32[320, 1152, 1, 1], float32[1, 320, 7, 7]",1,"opencl0",3270.01,"1446b43e53c01ab3","tvmgen_default_fused_nn_conv2d_31",3.10641,"NCHW","OIHW",""
"float32[1, 320, 7, 7], float32[320], float32[1, 320, 7, 7]",1,"opencl0",21.641,"321371f769bfc9b7","tvmgen_default_fused_nn_bias_add_18",0.0205583,,,
"float32[1, 320, 7, 7], float32[1280, 320, 1, 1], float32[1, 1280, 7, 7]",1,"opencl0",3013.83,"2dd4da28153e7b17","tvmgen_default_fused_nn_conv2d_32",2.86305,"NCHW","OIHW",""
"float32[1, 1280, 7, 7], float32[1280], float32[1, 1280, 7, 7]",1,"opencl0",84.092,"712c643f58c3dfa5","tvmgen_default_fused_nn_bias_add_19",0.079885,,,
"float32[1, 1280, 7, 7], float32[1, 1280, 7, 7]",1,"opencl0",75.689,"f2706c79a8bcdbff","tvmgen_default_fused_nn_relu_12",0.0719024,,,
"float32[1, 1280, 7, 7], float32[1, 1280]",1,"opencl0",92.551,"545bb9dc12623f2d","tvmgen_default_fused_mean",0.0879208,,,
"float32[1, 1280], float32[1000, 1280], float32[1, 1000]",1,"opencl0",3428.86,"325e2a891c475351","tvmgen_default_fused_nn_dense",3.25732,,,
"float32[1, 1000], float32[1000], float32[1, 1000]",1,"opencl0",3.972,"cdf93cc9b3c4974f","tvmgen_default_fused_add_5",0.00377329,,,
