Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,out_layout
"float32[1, 3, 224, 224], float32[32, 3, 3, 3], float32[1, 32, 112, 112]",1,"opencl0",3271.73,"a6253b04e6d10a75","tvmgen_default_fused_nn_conv2d",3.10815,"NCHW","OIHW",""
"float32[1, 32, 112, 112], float32[32], float32[1, 32, 112, 112]",1,"opencl0",567.171,"c614191b65dc6e6d","tvmgen_default_fused_nn_bias_add",0.538814,,,
"float32[1, 32, 112, 112], float32[1, 32, 112, 112]",1,"opencl0",549.011,"5c0d333ced61fb05","tvmgen_default_fused_nn_relu",0.521562,,,
"float32[1, 32, 112, 112], float32[32, 1, 3, 3], float32[1, 32, 112, 112]",1,"opencl0",2932.77,"fa3dd60aeda4e612","tvmgen_default_fused_nn_conv2d_1",2.78614,"NCHW","OIHW",""
"float32[1, 32, 112, 112], float32[32], float32[1, 32, 112, 112]",1,"opencl0",562.329,"c614191b65dc6e6d","tvmgen_default_fused_nn_bias_add",0.534214,,,
"float32[1, 32, 112, 112], float32[1, 32, 112, 112]",1,"opencl0",550.402,"5c0d333ced61fb05","tvmgen_default_fused_nn_relu",0.522883,,,
"float32[1, 32, 112, 112], float32[16, 32, 1, 1], float32[1, 16, 112, 112]",1,"opencl0",1832.49,"88a00a0ecafdbee1","tvmgen_default_fused_nn_conv2d_2",1.74087,"NCHW","OIHW",""
"float32[1, 16, 112, 112], float32[16], float32[1, 16, 112, 112]",1,"opencl0",270.07,"8bf39b6a5ae8cde3","tvmgen_default_fused_nn_bias_add_1",0.256567,,,
"float32[1, 16, 112, 112], float32[48, 16, 1, 1], float32[1, 48, 112, 112]",1,"opencl0",2688.96,"4c90dbe22b17a0b2","tvmgen_default_fused_nn_conv2d_3",2.55452,"NCHW","OIHW",""
"float32[1, 48, 112, 112], float32[48], float32[1, 48, 112, 112]",1,"opencl0",856.56,"cfbb483287fb2cc9","tvmgen_default_fused_nn_bias_add_2",0.813734,,,
"float32[1, 48, 112, 112], float32[1, 48, 112, 112]",1,"opencl0",817.267,"74fea7a7c47c989c","tvmgen_default_fused_nn_relu_1",0.776406,,,
"float32[1, 48, 112, 112], float32[48, 1, 3, 3], float32[1, 48, 56, 56]",1,"opencl0",2839.32,"0d6edcd6efdc7c9b","tvmgen_default_fused_nn_conv2d_4",2.69737,"NCHW","OIHW",""
"float32[1, 48, 56, 56], float32[48], float32[1, 48, 56, 56]",1,"opencl0",199.406,"672ae7232e0d9436","tvmgen_default_fused_nn_bias_add_3",0.189436,,,
"float32[1, 48, 56, 56], float32[1, 48, 56, 56]",1,"opencl0",191.441,"8ad9c7c7caa6c0d4","tvmgen_default_fused_nn_relu_2",0.181869,,,
"float32[1, 48, 56, 56], float32[24, 48, 1, 1], float32[1, 24, 56, 56]",1,"opencl0",816.694,"0d31befcf25c50d3","tvmgen_default_fused_nn_conv2d_5",0.775861,"NCHW","OIHW",""
"float32[1, 24, 56, 56], float32[24], float32[1, 24, 56, 56]",1,"opencl0",97.892,"e4acad988f6f3b1d","tvmgen_default_fused_nn_bias_add_4",0.0929976,,,
"float32[1, 24, 56, 56], float32[72, 24, 1, 1], float32[1, 72, 56, 56]",1,"opencl0",1205.77,"08d99171b88f9b5d","tvmgen_default_fused_nn_conv2d_6",1.14549,"NCHW","OIHW",""
"float32[1, 72, 56, 56], float32[72], float32[1, 72, 56, 56]",1,"opencl0",315.668,"3cee3e3dc5e4a5a7","tvmgen_default_fused_nn_bias_add_5",0.299885,,,
"float32[1, 72, 56, 56], float32[1, 72, 56, 56]",1,"opencl0",302.289,"afac2115ffa37772","tvmgen_default_fused_nn_relu_3",0.287175,,,
"float32[1, 72, 56, 56], float32[72, 1, 3, 3], float32[1, 72, 56, 56]",1,"opencl0",1333.55,"ad8128a34fd692ca","tvmgen_default_fused_nn_conv2d_7",1.26687,"NCHW","OIHW",""
"float32[1, 72, 56, 56], float32[72], float32[1, 72, 56, 56]",1,"opencl0",313.968,"3cee3e3dc5e4a5a7","tvmgen_default_fused_nn_bias_add_5",0.29827,,,
"float32[1, 72, 56, 56], float32[1, 72, 56, 56]",1,"opencl0",304.684,"afac2115ffa37772","tvmgen_default_fused_nn_relu_3",0.289451,,,
"float32[1, 72, 56, 56], float32[24, 72, 1, 1], float32[1, 24, 56, 56]",1,"opencl0",1219.11,"aeaddcb949ce4f33","tvmgen_default_fused_nn_conv2d_8",1.15816,"NCHW","OIHW",""
"float32[1, 24, 56, 56], float32[24], float32[1, 24, 56, 56]",1,"opencl0",97.274,"e4acad988f6f3b1d","tvmgen_default_fused_nn_bias_add_4",0.0924105,,,
"float32[1, 24, 56, 56], float32[1, 24, 56, 56], float32[1, 24, 56, 56]",1,"opencl0",146.103,"8c052d6174b00ce0","tvmgen_default_fused_add",0.138798,,,
