Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,out_layout
"float32[1, 3, 224, 224], float32[40, 3, 3, 3], float32[1, 40, 112, 112]",1,"opencl0",15279,"a991296d34593158","tvmgen_default_fused_nn_conv2d",7.75798,"NCHW","OIHW",""
"float32[1, 40, 112, 112], float32[40], float32[1, 40, 112, 112]",1,"opencl0",704.115,"ba6017033fda5ee3","tvmgen_default_fused_nn_bias_add",0.357517,,,
"float32[1, 40, 112, 112], float32[1, 40, 112, 112]",1,"opencl0",693.689,"f6945ce2e927d8e9","tvmgen_default_fused_nn_relu",0.352223,,,
"float32[1, 40, 112, 112], float32[40, 1, 3, 3], float32[1, 40, 112, 112]",1,"opencl0",3710.91,"f3b156bb22fc086e","tvmgen_default_fused_nn_conv2d_1",1.88423,"NCHW","OIHW",""
"float32[1, 40, 112, 112], float32[40], float32[1, 40, 112, 112]",1,"opencl0",707.45,"ba6017033fda5ee3","tvmgen_default_fused_nn_bias_add",0.35921,,,
"float32[1, 40, 112, 112], float32[1, 40, 112, 112]",1,"opencl0",688.994,"f6945ce2e927d8e9","tvmgen_default_fused_nn_relu",0.349839,,,
"float32[1, 40, 112, 112], float32[24, 40, 1, 1], float32[1, 24, 112, 112]",1,"opencl0",3591.6,"0b1b67e817a95fbb","tvmgen_default_fused_nn_conv2d_2",1.82365,"NCHW","OIHW",""
"float32[1, 24, 112, 112], float32[24], float32[1, 24, 112, 112]",1,"opencl0",417.809,"28730b13f53b4620","tvmgen_default_fused_nn_bias_add_1",0.212144,,,
"float32[1, 24, 112, 112], float32[72, 24, 1, 1], float32[1, 72, 112, 112]",1,"opencl0",5263.14,"e92bcb346ee43948","tvmgen_default_fused_nn_conv2d_3",2.67238,"NCHW","OIHW",""
"float32[1, 72, 112, 112], float32[72], float32[1, 72, 112, 112]",1,"opencl0",1294.59,"a507d12213586b39","tvmgen_default_fused_nn_bias_add_2",0.657331,,,
"float32[1, 72, 112, 112], float32[1, 72, 112, 112]",1,"opencl0",1269.02,"c4f1077195e095f3","tvmgen_default_fused_nn_relu_1",0.644346,,,
"float32[1, 72, 112, 112], float32[72, 1, 3, 3], float32[1, 72, 56, 56]",1,"opencl0",4321.2,"4e86aec0ddda81cf","tvmgen_default_fused_nn_conv2d_4",2.19411,"NCHW","OIHW",""
"float32[1, 72, 56, 56], float32[72], float32[1, 72, 56, 56]",1,"opencl0",298.969,"3cee3e3dc5e4a5a7","tvmgen_default_fused_nn_bias_add_3",0.151802,,,
"float32[1, 72, 56, 56], float32[1, 72, 56, 56]",1,"opencl0",297.441,"afac2115ffa37772","tvmgen_default_fused_nn_relu_2",0.151027,,,
"float32[1, 72, 56, 56], float32[32, 72, 1, 1], float32[1, 32, 56, 56]",1,"opencl0",1370.7,"9c54a869607bf344","tvmgen_default_fused_nn_conv2d_5",0.695976,"NCHW","OIHW",""
"float32[1, 32, 56, 56], float32[32], float32[1, 32, 56, 56]",1,"opencl0",129.183,"f29e6a0c51a3d88b","tvmgen_default_fused_nn_bias_add_4",0.0655931,,,
"float32[1, 32, 56, 56], float32[96, 32, 1, 1], float32[1, 96, 56, 56]",1,"opencl0",1932.71,"9b3a99b99513584f","tvmgen_default_fused_nn_conv2d_6",0.981342,"NCHW","OIHW",""
"float32[1, 96, 56, 56], float32[96], float32[1, 96, 56, 56]",1,"opencl0",416.019,"ed732ee6422ed85f","tvmgen_default_fused_nn_bias_add_5",0.211235,,,
"float32[1, 96, 56, 56], float32[1, 96, 56, 56]",1,"opencl0",396.579,"156f41187a63fcb0","tvmgen_default_fused_nn_relu_3",0.201364,,,
"float32[1, 96, 56, 56], float32[96, 1, 3, 3], float32[1, 96, 56, 56]",1,"opencl0",1766.16,"21fef9e6e10b5c3c","tvmgen_default_fused_nn_conv2d_7",0.896772,"NCHW","OIHW",""
"float32[1, 96, 56, 56], float32[96], float32[1, 96, 56, 56]",1,"opencl0",411.888,"ed732ee6422ed85f","tvmgen_default_fused_nn_bias_add_5",0.209137,,,
"float32[1, 96, 56, 56], float32[1, 96, 56, 56]",1,"opencl0",399.88,"156f41187a63fcb0","tvmgen_default_fused_nn_relu_3",0.20304,,,
"float32[1, 96, 56, 56], float32[32, 96, 1, 1], float32[1, 32, 56, 56]",1,"opencl0",1813.18,"719967d386df94b2","tvmgen_default_fused_nn_conv2d_8",0.920647,"NCHW","OIHW",""
"float32[1, 32, 56, 56], float32[32], float32[1, 32, 56, 56]",1,"opencl0",131.671,"f29e6a0c51a3d88b","tvmgen_default_fused_nn_bias_add_4",0.0668564,,,
"float32[1, 32, 56, 56], float32[1, 32, 56, 56], float32[1, 32, 56, 56]",1,"opencl0",196.9,"825bf0ec852631cc","tvmgen_default_fused_add",0.0999766,,,
"float32[1, 32, 56, 56], float32[96, 32, 1, 1], float32[1, 96, 56, 56]",1,"opencl0",1910.82,"9b3a99b99513584f","tvmgen_default_fused_nn_conv2d_6",0.970225,"NCHW","OIHW",""
"float32[1, 96, 56, 56], float32[96], float32[1, 96, 56, 56]",1,"opencl0",416.371,"ed732ee6422ed85f","tvmgen_default_fused_nn_bias_add_5",0.211414,,,
"float32[1, 96, 56, 56], float32[1, 96, 56, 56]",1,"opencl0",400.395,"156f41187a63fcb0","tvmgen_default_fused_nn_relu_3",0.203302,,,
"float32[1, 96, 56, 56], float32[96, 1, 3, 3], float32[1, 96, 56, 56]",1,"opencl0",1764.22,"21fef9e6e10b5c3c","tvmgen_default_fused_nn_conv2d_7",0.895789,"NCHW","OIHW",""
"float32[1, 96, 56, 56], float32[96], float32[1, 96, 56, 56]",1,"opencl0",412.801,"ed732ee6422ed85f","tvmgen_default_fused_nn_bias_add_5",0.209601,,,
"float32[1, 96, 56, 56], float32[1, 96, 56, 56]",1,"opencl0",401.468,"156f41187a63fcb0","tvmgen_default_fused_nn_relu_3",0.203847,,,
