aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
55724.466,81.85894500000002,56.0,68073.77100000001,100.00001351000003,211.0,2791.7429999999995,4.1010575000000005,56.0,1996.1419999999998,2.9323237999999994,37.0,382.92,0.562508,1.0,1234.5410000000002,1.8135352000000002,16.0,1901.2320000000002,2.7928997000000004,16.0,906.182,1.3311773000000002,26.0,81.456,0.119658,1.0,3050.59,4.4813,1.0,4.499,0.00660901,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55737.803000000014,81.68829199999998,56.0,68232.30300000007,100.00000354000007,211.0,2800.8999999999996,4.104948600000001,56.0,2050.891,3.0057488,37.0,386.597,0.56659,1.0,1228.289,1.8001589000000005,16.0,1907.4650000000001,2.7955461999999995,16.0,913.0220000000002,1.3381084999999997,26.0,82.199,0.120469,1.0,3121.39,4.57465,1.0,3.747,0.00549154,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55727.447,81.65692100000001,56.0,68245.855,100.00001729000002,211.0,2804.382,4.109235000000001,56.0,2055.8179999999998,3.0123715000000004,37.0,388.686,0.569538,1.0,1234.2639999999997,1.8085545,16.0,1912.2619999999997,2.8020204000000004,16.0,906.143,1.3277629,26.0,78.688,0.115301,1.0,3135.01,4.59369,1.0,3.155,0.00462299,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55493.756000000016,81.64610700000001,56.0,67968.65299999999,100.00000351999998,211.0,2805.4780000000005,4.127604599999999,56.0,2045.0160000000005,3.0087618,37.0,385.085,0.566562,1.0,1238.902,1.8227540000000002,16.0,1908.134,2.8073726,16.0,915.0130000000003,1.3462273999999999,26.0,72.373,0.10648,1.0,3101.42,4.56302,1.0,3.476,0.00511412,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55823.002000000015,81.70746699999998,56.0,68320.52200000001,99.99994497000009,211.0,2787.942,4.080680100000001,56.0,2054.3820000000005,3.0069768000000003,37.0,383.062,0.560683,1.0,1243.2820000000002,1.8197786,16.0,1912.8,2.7997441999999997,16.0,908.87,1.3303025999999998,26.0,80.893,0.118402,1.0,3122.08,4.56975,1.0,4.209,0.00616067,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
