aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnlrn,aggregated_percentage_nnlrn,aggregated_count_nnlrn,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_nnsoftmax,aggregated_percentage_nnsoftmax,aggregated_count_nnsoftmax,total_duration,total_percentage,total_count,label_model_name
96884.33199999997,83.30910589999995,57,1537.7030000000002,1.3222437,57,1427.4860000000003,1.2274703999999999,57,3980.9679999999994,3.4231628,13,7262.41,6.24483,2,738.208,0.6347716,9,37.379,0.0321415,1,485.153,0.417174,1,2.186,0.0018797,1,10.433,0.00897115,1,112366.25799999993,96.6217507499999,199,googlenet-8.onnx
97425.33199999998,84.29984900000002,57,1402.0760000000002,1.2131836000000003,57,1370.9210000000007,1.1862266000000001,57,3800.9800000000005,3.2888983,13,7502.549999999999,6.49179,2,595.602,0.5153605,9,39.222,0.0339379,1,466.425,0.403587,1,2.465,0.00213291,1,10.021,0.00867094,1,112615.59399999991,97.44363675000008,199,googlenet-8.onnx
84922.25299999997,82.81478299999999,57,1351.9719999999998,1.3184210000000003,57,1295.813,1.2636550999999998,57,3820.017,3.7252176000000006,13,7328.75,7.1468799999999995,2,577.534,0.5632016,9,33.778,0.0329397,1,477.843,0.465985,1,2.959,0.00288557,1,10.988,0.0107153,1,99821.90699999999,97.34468386999997,199,googlenet-8.onnx
89618.06400000001,83.11173500000001,57,1414.4940000000004,1.3117995999999994,57,1371.98,1.2723716,57,3804.0290000000005,3.5278505999999994,13,7590.77,7.039670000000001,2,602.5490000000001,0.5588029999999999,9,38.92,0.0360944,1,467.907,0.433936,1,2.654,0.00246132,1,9.933,0.00921185,1,104921.29999999996,97.30393336999994,199,googlenet-8.onnx
96297.20000000003,83.76202299999999,57,1544.9979999999998,1.3438830999999998,57,1390.4789999999998,1.2094771,57,4139.991,3.6010799000000007,13,7439.130000000001,6.47076,2,670.759,0.5834450999999999,9,36.464,0.0317174,1,473.47,0.411837,1,2.083,0.00181185,1,10.023,0.00871828,1,112004.59700000004,97.42475273,199,googlenet-8.onnx
aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnlrn,aggregated_percentage_nnlrn,aggregated_count_nnlrn,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_nnsoftmax,aggregated_percentage_nnsoftmax,aggregated_count_nnsoftmax,total_duration,total_percentage,total_count,label_model_name
102790.967,82.71929899999998,57,2007.516,1.6155153500000003,57,1405.9800000000002,1.13143904,57,4390.526,3.5332037999999995,13,7259.76,5.84217,2,858.205,0.6906259,9,40.286,0.0324195,1,556.959,0.448204,1,2.314,0.00186215,1,10.547,0.00848752,1,119323.05999999995,96.02322626000003,199,googlenet-8.onnx
119661.90099999997,84.5963416,57,3111.4879999999994,2.1997049700000004,57,1570.354000000001,1.11017971,57,4621.079000000001,3.2669225,13,7892.75,5.57986,2,730.962,0.5167621,9,38.66,0.0273311,1,560.53,0.396273,1,2.302,0.00162742,1,10.406,0.00735664,1,138200.43199999997,97.70235904000003,199,googlenet-8.onnx
139938.99899999998,82.75987380000001,57,7104.266000000001,4.201462199999999,57,2679.622,1.5847256799999998,57,6373.406999999999,3.7692300000000003,13,7782.09,4.60233,2,1057.7640000000001,0.6255615999999999,9,38.506,0.0227724,1,597.942,0.353623,1,2.736,0.00161807,1,11.243,0.0066491,1,165586.57500000004,97.92784585000005,199,googlenet-8.onnx
109699.22900000002,84.49085299999999,57,1908.0519999999997,1.4695891,57,1729.1219999999996,1.3317780400000003,57,4341.025000000001,3.3434773,13,7836.679999999999,6.03584,2,633.3109999999999,0.4877791,9,38.82,0.0298993,1,591.054,0.455232,1,2.516,0.00193783,1,10.538,0.00811641,1,126790.34700000004,97.65450207999994,199,googlenet-8.onnx
102397.325,82.573338,57,2093.592,1.6882737099999998,57,1725.8399999999995,1.3917189699999999,57,4569.677,3.6849921,13,7569.92,6.1043899999999995,2,705.7950000000001,0.5691537,9,62.063,0.0500477,1,1073.7,0.865833,1,2.559,0.00206358,1,62.027,0.0500186,1,120262.498,96.97982935999994,199,googlenet-8.onnx
