aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
1327660.9600000007,89.16481010000004,200.0,1488997.1130000001,100.00003352100013,1428.0,9012.350000000002,0.6052627409999999,99.0,38550.203000000016,2.589004317000003,201.0,1022.75,0.0686873,1.0,41294.71799999998,2.77332449,102.0,31534.651999999987,2.117845214999999,307.0,333.08900000000006,0.02237002299999999,102.0,31292.852,2.1016062830000006,306.0,318.606,0.021397351999999998,102.0,1251.633,0.08405879999999999,3.0,658.683,0.0442366,3.0,141.087,0.0094753,1.0,5925.53,0.397955,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
1326332.786,89.13214729999994,200.0,1488052.0540000023,99.99999353799991,1428.0,9098.524000000009,0.6114384789999997,99.0,38466.87600000002,2.5850482560000043,201.0,1022.17,0.0686919,1.0,41248.57999999999,2.77198378,102.0,31536.926000000014,2.1193420339999984,307.0,331.61199999999997,0.022284968000000002,102.0,31704.437999999995,2.1305992419999997,306.0,332.13700000000017,0.022320248999999993,102.0,1253.847,0.08426099999999999,3.0,662.0709999999999,0.0444925,3.0,140.797,0.00946183,1.0,5921.29,0.397922,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
1327362.44,89.13713240000003,200.0,1489123.8700000045,99.99998939599983,1428.0,8985.374000000005,0.6034002770000007,99.0,38586.282000000014,2.591206303999999,201.0,1020.92,0.0685583,1.0,41274.234999999986,2.771711860000001,102.0,31513.975,2.1162761139999997,307.0,328.6560000000001,0.02207042,102.0,31737.594,2.131292161999999,306.0,328.03999999999985,0.022029059000000007,102.0,1249.1799999999998,0.0838869,3.0,659.6610000000001,0.04429860000000001,3.0,139.933,0.009397,1.0,5937.58,0.39873,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
1325896.5099999998,89.14245769999997,200.0,1487389.7549999997,99.99995479399973,1428.0,9077.193000000005,0.610276866,99.0,38447.02600000002,2.584866595000001,201.0,1024.65,0.0688893,1.0,41275.43299999999,2.7750253499999986,102.0,31659.45499999999,2.1285249539999995,307.0,333.732,0.022437433000000007,102.0,31358.129000000023,2.1082667020000034,306.0,329.5349999999998,0.022155263999999994,102.0,1258.2420000000002,0.084594,3.0,660.355,0.044397,3.0,139.705,0.00939263,1.0,5929.79,0.398671,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
1325578.119999999,89.15459349999998,200.0,1486830.8530000015,99.9999919189998,1428.0,8962.042000000001,0.6027609840000003,99.0,38442.49200000002,2.585532254000001,201.0,1019.8,0.0685889,1.0,41083.70699999998,2.763172590000001,102.0,31452.50899999998,2.1154065970000007,307.0,327.94500000000005,0.022056639999999985,102.0,31663.806000000026,2.129617194999999,306.0,332.5339999999999,0.02236528899999999,102.0,1254.901,0.0844011,3.0,655.257,0.0440707,3.0,141.98,0.00954917,1.0,5915.76,0.397877,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
