aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_concatenatereshapetransposereshape,aggregated_percentage_concatenatereshapetransposereshape,aggregated_count_concatenatereshapetransposereshape,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_stridedsliceconcatenatereshapetransposereshape,aggregated_percentage_stridedsliceconcatenatereshapetransposereshape,aggregated_count_stridedsliceconcatenatereshapetransposereshape,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
181661.97499999995,89.80243300000001,37.0,202290.67099999997,99.99998080000003,88.0,390.891,0.193232,1.0,12342.901000000002,6.101566000000001,19.0,873.8319999999999,0.431968,3.0,968.953,0.4789902999999999,13.0,3658.593999999999,1.8085806,13.0,152.165,0.0752209,1.0,2241.36,1.10799,1.0,shufflenet_v2_x2_0.onnx
182274.255,89.84007500000001,37.0,202887.40699999998,99.99997469999998,88.0,390.765,0.192602,1.0,12350.199999999997,6.08722,19.0,872.982,0.43027960000000004,3.0,956.9439999999998,0.47166280000000005,13.0,3655.5390000000007,1.8017598999999995,13.0,152.562,0.0751954,1.0,2234.16,1.10118,1.0,shufflenet_v2_x2_0.onnx
180948.43300000005,89.814774,37.0,201468.429,99.9999849,88.0,392.948,0.195042,1.0,12333.585,6.121836000000002,19.0,873.139,0.4333873,3.0,968.539,0.4807396,13.0,3655.526,1.8144407999999999,13.0,146.599,0.0727652,1.0,2149.66,1.067,1.0,shufflenet_v2_x2_0.onnx
181943.15400000007,89.83732200000003,37.0,202525.1970000001,100.0000336,88.0,393.101,0.1941,1.0,12299.298999999999,6.072970999999999,19.0,873.45,0.4312802,3.0,967.9179999999999,0.4779247999999999,13.0,3658.022,1.8062070000000003,13.0,150.453,0.0742886,1.0,2239.8,1.10594,1.0,shufflenet_v2_x2_0.onnx
181550.93600000007,89.81748700000001,37.0,202133.20200000008,100.00001569999999,88.0,389.14,0.192517,1.0,12304.601000000002,6.087371,19.0,870.355,0.4305854,3.0,968.2270000000001,0.47900440000000005,13.0,3661.4569999999994,1.8114082,13.0,149.766,0.0740927,1.0,2238.72,1.10755,1.0,shufflenet_v2_x2_0.onnx
182111.56500000003,89.83404999999998,37.0,202719.912,99.99997889999993,88.0,387.011,0.190909,1.0,12336.437000000004,6.085464,19.0,871.196,0.429754,3.0,963.885,0.4754764,13.0,3653.793,1.8023857,13.0,153.945,0.0759398,1.0,2242.08,1.106,1.0,shufflenet_v2_x2_0.onnx
180974.40600000002,89.807992,37.0,201512.63299999994,100.00001969999995,88.0,387.198,0.192146,1.0,12276.076999999997,6.091963,19.0,872.842,0.433145,3.0,962.3720000000001,0.47757429999999995,13.0,3656.959,1.8147536,13.0,146.189,0.0725458,1.0,2236.59,1.1099,1.0,shufflenet_v2_x2_0.onnx
182148.44700000004,89.845531,37.0,202735.12300000002,99.99999260000001,88.0,386.112,0.190451,1.0,12319.689000000006,6.076734,19.0,872.9190000000001,0.4305714,3.0,961.714,0.4743698,13.0,3655.83,1.8032553,13.0,149.862,0.0739201,1.0,2240.55,1.10516,1.0,shufflenet_v2_x2_0.onnx
181789.479,89.82681699999998,37.0,202377.75599999994,100.00001669999999,88.0,393.836,0.194604,1.0,12311.601999999997,6.08348,19.0,870.3800000000001,0.4300764,3.0,972.819,0.48069490000000004,13.0,3654.6220000000003,1.8058436,13.0,151.198,0.0747108,1.0,2233.82,1.10379,1.0,shufflenet_v2_x2_0.onnx
182103.563,89.845115,37.0,202686.18799999997,100.00002960000005,88.0,393.523,0.194154,1.0,12301.351999999995,6.069159999999998,19.0,872.017,0.43023009999999995,3.0,968.831,0.47799540000000007,13.0,3658.9909999999995,1.8052483000000001,13.0,148.441,0.0732368,1.0,2239.47,1.10489,1.0,shufflenet_v2_x2_0.onnx
