aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,label_model_name
976600.0910000004,87.25898280000004,121.0,1119196.4190000042,99.99994197100013,1516.0,49925.0659999999,4.460796921999999,484.0,287.44800000000015,0.025683426999999984,121.0,50232.76599999993,4.488288697,484.0,273.835,0.024467112000000003,121.0,23954.054000000007,2.140291314,121.0,1020.14,0.0911492,1.0,16306.134,1.4569508800000004,58.0,519.765,0.04644096,3.0,72.412,0.00647,1.0,4.708,0.000420659,1.0,densenet-7.onnx
976360.1889999994,87.2547654,121.0,1118977.3230000024,100.00007015699985,1516.0,50079.83899999995,4.475497373999995,484.0,282.73799999999994,0.02526752599999999,121.0,50234.55499999992,4.489326759999999,484.0,267.66999999999996,0.023920937999999996,121.0,23921.030000000013,2.1377573790000013,121.0,1020.48,0.0911977,1.0,16138.312,1.4422366499999997,58.0,587.592,0.052511539999999995,3.0,80.525,0.0071963,1.0,4.393,0.00039259,1.0,densenet-7.onnx
977922.3659999999,87.26713769999992,121.0,1120607.3590000002,99.99996349899997,1516.0,50001.67900000005,4.462015744000003,484.0,282.63800000000003,0.025221854000000002,121.0,50291.590999999986,4.487888345999999,484.0,273.7740000000001,0.02443085300000001,121.0,24055.254000000015,2.1466246700000013,121.0,1019.89,0.0910122,1.0,16084.029000000004,1.4352954099999993,58.0,592.399,0.05286408,3.0,79.245,0.00707161,1.0,4.494,0.000401032,1.0,densenet-7.onnx
982383.7049999998,87.32801620000002,121.0,1124935.6209999998,100.0000200010001,1516.0,50204.765,4.462900568999999,484.0,285.201,0.025352644000000004,121.0,50192.82,4.461837577999998,484.0,268.12,0.023834245,121.0,23672.97400000001,2.1043849370000003,121.0,1022.11,0.090859,1.0,16232.189999999995,1.44294379,58.0,589.7819999999999,0.052428039999999995,3.0,79.45,0.00706262,1.0,4.504,0.000400378,1.0,densenet-7.onnx
977931.5769999996,87.31522900000003,121.0,1120001.387,100.00001350300006,1516.0,49980.72900000001,4.462558245999997,484.0,278.383,0.024855596000000008,121.0,49783.06999999998,4.444908621000007,484.0,266.08900000000006,0.023757907000000012,121.0,24053.265000000018,2.1476104520000003,121.0,1015.84,0.0906997,1.0,16025.456,1.43084248,58.0,584.418,0.052180080000000004,3.0,78.348,0.00699535,1.0,4.212,0.000376071,1.0,densenet-7.onnx
976955.4890000002,87.29558550000002,121.0,1119135.1090000006,100.00001526100004,1516.0,50267.75100000001,4.491665756000005,484.0,278.396,0.024876009000000004,121.0,49897.69300000005,4.458596764999995,484.0,270.1400000000001,0.024138295999999993,121.0,23688.01300000001,2.1166368700000016,121.0,1020.28,0.0911667,1.0,16079.699999999999,1.4367984000000005,58.0,592.4069999999999,0.05293436000000001,3.0,80.568,0.00719914,1.0,4.672,0.000417465,1.0,densenet-7.onnx
983107.8430000007,87.33976810000003,121.0,1125613.6319999986,100.00004258999995,1516.0,49784.91899999999,4.4229140700000045,484.0,287.13,0.025508754000000005,121.0,50218.255999999965,4.461410161999995,484.0,273.441,0.024292611,121.0,23916.687999999995,2.1247692450000013,121.0,1018.36,0.0904715,1.0,16332.603,1.45099482,58.0,590.063,0.0524215,3.0,80.015,0.00710857,1.0,4.314,0.000383258,1.0,densenet-7.onnx
980959.3830000007,87.28224389999991,121.0,1123893.5329999991,100.00000915300002,1516.0,50302.11800000003,4.475701173999999,484.0,289.79499999999996,0.025784910999999997,121.0,50110.92900000009,4.458690373000002,484.0,267.678,0.023817024999999995,121.0,24043.665999999994,2.1393174100000016,121.0,1019.92,0.0907484,1.0,16230.572,1.4441387199999998,58.0,586.978,0.05222722,3.0,78.235,0.00696107,1.0,4.259,0.00037895,1.0,densenet-7.onnx
978785.596,87.26499200000002,121.0,1121624.6479999959,99.99999895300003,1516.0,50174.37599999994,4.473363882999999,484.0,284.9579999999999,0.025405820000000003,121.0,50207.21800000006,4.476292628999997,484.0,275.74899999999985,0.024584774000000007,121.0,23809.995999999985,2.1228110839999994,121.0,1018.34,0.0907917,1.0,16394.860999999994,1.4617054699999998,58.0,589.695,0.05257503,3.0,79.631,0.00709961,1.0,4.228,0.000376953,1.0,densenet-7.onnx
977738.5960000001,87.27071780000001,121.0,1120350.7610000018,99.99996093399982,1516.0,50072.85499999994,4.469390958,484.0,288.56199999999995,0.025756398000000003,121.0,50094.81600000004,4.471351105000006,484.0,271.287,0.024214468,121.0,23865.333,2.130167207999998,121.0,1013.89,0.0904973,1.0,16330.508999999998,1.4576244400000007,58.0,586.037,0.052308379999999995,3.0,84.21,0.0075164,1.0,4.666,0.000416477,1.0,densenet-7.onnx
978281.0250000001,87.2403456,121.0,1121363.399999999,100.00002394200001,1516.0,50195.0650000001,4.476251290999996,484.0,281.26500000000004,0.025082409000000007,121.0,50536.79599999999,4.5067288709999955,484.0,270.32400000000007,0.024106726000000005,121.0,23815.834,2.1238282420000014,121.0,1019.24,0.0908929,1.0,16295.433999999994,1.45318039,58.0,584.13,0.052091040000000005,3.0,80.876,0.00721229,1.0,3.411,0.000304183,1.0,densenet-7.onnx
981158.884,87.30570449999999,121.0,1123819.4129999997,99.99996240199987,1516.0,50003.81799999996,4.449452261999997,484.0,278.49600000000015,0.024781209000000005,121.0,50247.180000000044,4.471107818000006,484.0,268.60400000000004,0.023900997000000007,121.0,23917.767999999996,2.128257886999998,121.0,1016.9,0.0904864,1.0,16257.177999999998,1.4466011699999999,58.0,587.779,0.05230189,3.0,78.079,0.00694765,1.0,4.727,0.000420619,1.0,densenet-7.onnx
981485.554,87.25882100000001,121.0,1124797.7500000007,99.99996773400012,1516.0,50214.23399999998,4.464287532000006,484.0,287.15799999999996,0.025529742999999997,121.0,50432.67000000003,4.483708395000004,484.0,268.8020000000001,0.023897802000000006,121.0,24127.430999999997,2.145045875000001,121.0,1016.6,0.0903802,1.0,16290.384,1.44829376,58.0,591.41,0.05257925,3.0,79.587,0.00707567,1.0,3.92,0.000348507,1.0,densenet-7.onnx
973132.3130000004,87.23910089999994,121.0,1115477.3169999998,100.00000980300001,1516.0,49674.57200000002,4.453213024999995,484.0,282.67900000000003,0.02534152999999999,121.0,50207.685000000005,4.501005663999998,484.0,269.6159999999999,0.024170465999999998,121.0,24055.992,2.1565652169999994,121.0,1018.99,0.0913502,1.0,16198.157000000001,1.4521290999999994,58.0,556.256,0.04986712,3.0,76.717,0.00687751,1.0,4.34,0.000389071,1.0,densenet-7.onnx
977137.1249999998,87.23300260000005,121.0,1120146.1520000019,100.00000795799986,1516.0,50100.190999999984,4.472650551999998,484.0,282.71099999999996,0.025238775,121.0,50138.48899999999,4.476068824999991,484.0,271.0629999999999,0.024198909000000008,121.0,24173.036999999993,2.1580270169999993,121.0,985.375,0.0879685,1.0,16386.398000000005,1.46288165,58.0,588.23,0.05251379,3.0,79.014,0.00705391,1.0,4.519,0.00040343,1.0,densenet-7.onnx
981407.2289999996,87.28782270000002,121.0,1124334.405000001,99.99998106900013,1516.0,50326.45600000006,4.476111997999999,484.0,290.3119999999999,0.02582078600000001,121.0,49988.66799999997,4.446067091999997,484.0,271.34599999999995,0.024133918999999997,121.0,24093.809999999987,2.1429395369999997,121.0,1019.24,0.0906531,1.0,16258.723,1.4460743999999999,58.0,597.089,0.05310596,3.0,77.391,0.00688327,1.0,4.141,0.000368307,1.0,densenet-7.onnx
981420.9330000009,87.37952230000003,121.0,1123169.5549999974,99.99993191200018,1516.0,49559.65899999998,4.412481676000004,484.0,281.4709999999999,0.02506041,121.0,50040.29099999997,4.455274616000005,484.0,268.88599999999985,0.023939922000000002,121.0,23602.210000000003,2.101392391,121.0,1021.59,0.0909563,1.0,16294.734999999997,1.45078094,58.0,591.588,0.052671289999999996,3.0,83.335,0.00741963,1.0,4.857,0.000432437,1.0,densenet-7.onnx
979533.903999999,87.28219510000002,121.0,1122261.0069999995,100.000017771,1516.0,49970.26299999996,4.452644042000002,484.0,283.38400000000007,0.025251176,121.0,50347.033000000025,4.486215766999999,484.0,266.00800000000004,0.02370287,121.0,24008.529000000024,2.1393008990000006,121.0,1017.85,0.0906966,1.0,16166.398000000001,1.4405208299999999,58.0,582.453,0.051899999999999995,3.0,82.084,0.00731417,1.0,3.101,0.000276317,1.0,densenet-7.onnx
981862.3109999999,87.35520800000005,121.0,1123987.6960000014,99.99995272800012,1516.0,49650.66800000004,4.417365557999999,484.0,287.19700000000006,0.025551611999999998,121.0,50184.69299999999,4.464880454000004,484.0,267.34299999999973,0.023785222,121.0,23808.23999999999,2.118193858000002,121.0,1025.59,0.0912454,1.0,16229.993000000004,1.4439656500000002,58.0,588.148,0.05232691,3.0,79.55,0.00707748,1.0,3.963,0.000352584,1.0,densenet-7.onnx
982115.7550000002,87.32943570000008,121.0,1124609.5659999994,99.99994995399993,1516.0,49863.617000000006,4.433860797000009,484.0,287.16400000000004,0.025534551999999995,121.0,50223.91399999997,4.465898052999997,484.0,268.35200000000003,0.023861794000000002,121.0,24012.791,2.1352118980000006,121.0,1022.01,0.0908767,1.0,16140.486999999994,1.4352072500000002,58.0,590.277,0.05248734,3.0,80.487,0.00715688,1.0,4.712,0.00041899,1.0,densenet-7.onnx
