aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
372500.218,94.64293800000002,26.0,393584.71,99.99998275,90.0,7053.8009999999995,1.7921932800000002,26.0,6861.634999999998,1.74337137,26.0,2738.913,0.69589,3.0,4239.849,1.0772411000000002,8.0,190.294,0.048349,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
376640.36400000006,94.684855,26.0,397782.978,99.99996363000004,90.0,6989.442999999999,1.7570979899999997,26.0,6792.291999999999,1.70753564,26.0,2730.504,0.686429,3.0,4437.6089999999995,1.1155859000000001,8.0,192.766,0.0484601,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
374031.583,94.65063699999999,26.0,395170.791,100.00001771999999,90.0,6995.571999999999,1.7702644799999996,26.0,6787.914,1.7177151400000001,26.0,2733.764,0.6917909999999999,3.0,4430.790999999999,1.1212344,8.0,191.167,0.0483757,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
378423.73899999994,94.732045,26.0,399467.51600000006,99.99999932999998,90.0,6884.075,1.7233103500000004,26.0,6844.795999999999,1.71347878,26.0,2697.861,0.675366,3.0,4426.459,1.1080892,8.0,190.586,0.04771,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
371970.426,94.594873,26.0,393224.72200000007,100.00000365999998,90.0,7044.593000000001,1.7914957299999992,26.0,6848.022,1.7415048300000002,26.0,2735.911,0.695762,3.0,4434.983,1.1278495,8.0,190.787,0.0485186,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
377913.998,94.732497,26.0,398927.6180000001,100.00002500999999,90.0,7000.443000000001,1.7548165500000004,26.0,6803.532999999999,1.7054544599999995,26.0,2743.333,0.687676,3.0,4300.927000000001,1.0781238,8.0,165.384,0.0414572,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
373013.353,94.62684300000001,26.0,394194.1429999999,100.00003540999997,90.0,6987.6309999999985,1.7726380500000003,26.0,6823.259999999998,1.7309392599999998,26.0,2742.558,0.69574,3.0,4436.51,1.1254647000000002,8.0,190.831,0.0484104,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
