aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenateaddrsqrtmultiplyexpanddimsmultiplynegativemultiplyadd51edc2bb5499865d,aggregated_percentage_concatenateaddrsqrtmultiplyexpanddimsmultiplynegativemultiplyadd51edc2bb5499865d,aggregated_count_concatenateaddrsqrtmultiplyexpanddimsmultiplynegativemultiplyadd51edc2bb5499865d,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
396225.3740000002,41.10985470000001,59.0,963821.5489999999,100.00002991000004,191.0,1000.53,0.103809,1.0,24089.565,2.4993790600000003,62.0,537348.3759999999,55.75185699999998,61.0,980.4510000000001,0.10172540000000001,3.0,583.946,0.060586459999999995,3.0,72.887,0.00756229,1.0,3520.42,0.365256,1.0,densenet121.onnx
404478.6390000001,39.798512699999996,59.0,1016317.723,100.00004534000003,191.0,1019.49,0.100312,1.0,24096.425999999992,2.3709526900000006,62.0,581474.6699999998,57.213845,61.0,1045.1470000000002,0.1028366,3.0,549.029,0.05402144,3.0,81.772,0.00804591,1.0,3572.55,0.351519,1.0,densenet121.onnx
404077.438,41.645837699999994,59.0,970269.9029999998,99.99997943999995,191.0,1020.14,0.105139,1.0,24141.761999999995,2.4881511099999987,62.0,535787.6380000002,55.22049399999998,61.0,1095.501,0.1129069,3.0,585.224,0.06031553,3.0,81.0,0.0083482,1.0,3481.2,0.358787,1.0,densenet121.onnx
406114.027,39.91555760000002,59.0,1017431.8330000009,99.99994399000002,191.0,1019.92,0.100244,1.0,24165.213,2.3751160199999997,62.0,580905.3160000001,57.09524750000001,61.0,1084.9080000000001,0.106632,3.0,568.075,0.05583424,3.0,79.244,0.00778863,1.0,3495.13,0.343524,1.0,densenet121.onnx
402302.61899999995,41.5193943,59.0,968950.3549999995,100.00002135999999,191.0,992.021,0.102381,1.0,24130.101000000006,2.4903342600000005,62.0,536236.7979999998,55.34208200000001,61.0,1094.69,0.1129769,3.0,580.9549999999999,0.05995723,3.0,77.881,0.00803767,1.0,3535.29,0.364858,1.0,densenet121.onnx
404876.333,39.77880420000002,59.0,1017819.6109999998,100.00004851000006,191.0,1016.89,0.0999084,1.0,24138.75,2.371613939999999,62.0,582518.3739999997,57.23202029999999,61.0,1094.091,0.10749360000000001,3.0,585.031,0.057478930000000004,3.0,79.432,0.00780414,1.0,3510.71,0.344925,1.0,densenet121.onnx
405454.105,41.73878969999999,59.0,971407.7419999999,99.99998892,191.0,1019.57,0.104958,1.0,24079.978999999992,2.47887433,62.0,535595.902,55.13607120000001,61.0,1104.747,0.11372639999999999,3.0,550.531,0.05667355,3.0,80.838,0.00832174,1.0,3522.07,0.362574,1.0,densenet121.onnx
407072.80199999997,39.88493320000001,59.0,1020617.4489999999,99.99998703999998,191.0,1018.3,0.0997725,1.0,24095.030000000006,2.36082795,62.0,583100.9700000002,57.1321866,61.0,1106.761,0.1084403,3.0,587.649,0.05757778,3.0,81.177,0.00795371,1.0,3554.76,0.348295,1.0,densenet121.onnx
389834.9499999999,40.757369699999984,59.0,956476.0829999998,99.99994498999993,191.0,1014.54,0.10607,1.0,24059.990000000005,2.5154809900000004,62.0,536221.0699999997,56.062146999999996,61.0,1091.303,0.1140962,3.0,589.527,0.061635340000000004,3.0,79.653,0.00832776,1.0,3585.05,0.374818,1.0,densenet121.onnx
402342.677,39.6892111,59.0,1013733.014,99.99999597000001,191.0,1023.57,0.100971,1.0,24102.811000000016,2.37763086,62.0,580965.6500000003,57.30952899999998,61.0,1098.438,0.10835580000000002,3.0,590.86,0.05828559,3.0,80.598,0.00795062,1.0,3528.41,0.348062,1.0,densenet121.onnx
405420.7440000002,41.64645480000001,59.0,973481.584999999,99.99996332000006,191.0,1018.19,0.104592,1.0,24081.302,2.473728850000001,62.0,537689.2300000001,55.233615,61.0,1103.791,0.1133859,3.0,555.37,0.05704992,3.0,82.618,0.00848685,1.0,3530.34,0.36265,1.0,densenet121.onnx
406049.91699999984,39.9552808,59.0,1016261.5289999996,100.00003619999991,191.0,1019.82,0.10035,1.0,24094.555000000015,2.370901329999999,62.0,579771.5799999998,57.049461,61.0,1100.261,0.10826549999999999,3.0,556.183,0.05472833,3.0,80.033,0.00787524,1.0,3589.18,0.353174,1.0,densenet121.onnx
392012.6430000002,40.84253210000001,59.0,959814.1760000002,99.99996068999994,191.0,1017.01,0.105959,1.0,24132.76499999999,2.5143191799999998,62.0,537332.3000000002,55.982932,61.0,1105.37,0.1151651,3.0,596.4259999999999,0.06213977,3.0,78.422,0.00817054,1.0,3539.24,0.368743,1.0,densenet121.onnx
404209.44699999987,39.71028249999999,59.0,1017896.4690000002,100.00004634000003,191.0,1023.39,0.100539,1.0,24125.513999999992,2.3701357,62.0,583265.996,57.3011462,61.0,1108.482,0.10889929999999999,3.0,581.663,0.05714362,3.0,83.427,0.00819602,1.0,3498.55,0.343704,1.0,densenet121.onnx
390132.2889999999,40.70245560000001,59.0,958497.5310000003,99.99997223999996,191.0,1017.26,0.10613,1.0,24139.409000000003,2.5184646600000002,62.0,537978.2400000001,56.127241999999995,61.0,1040.7930000000001,0.10858580000000001,3.0,554.834,0.057885870000000006,3.0,78.456,0.00818531,1.0,3556.25,0.371023,1.0,densenet121.onnx
398653.69000000006,39.48275189999999,59.0,1009690.9709999993,99.9999835,191.0,1018.3,0.100853,1.0,24072.433999999994,2.3841369200000004,62.0,580670.7,57.509721,61.0,1099.079,0.108853,3.0,584.999,0.05793837,3.0,79.799,0.00790331,1.0,3511.97,0.347826,1.0,densenet121.onnx
402306.79400000005,41.558788100000015,59.0,968042.646,100.00000276999995,191.0,1020.1,0.105377,1.0,24049.634,2.48435532,62.0,535367.3360000001,55.30411080000001,61.0,1103.749,0.1140186,3.0,584.123,0.06034067,3.0,74.3,0.00767528,1.0,3536.61,0.365337,1.0,densenet121.onnx
400992.806,39.731565600000025,59.0,1009255.8089999993,100.00004509999997,191.0,1015.86,0.100655,1.0,24144.07400000002,2.39226545,62.0,577778.4329999996,57.24797820000001,61.0,1101.934,0.1091829,3.0,587.5550000000001,0.0582167,3.0,80.097,0.00793625,1.0,3555.05,0.352245,1.0,densenet121.onnx
402623.55500000017,41.59521559999997,59.0,967956.5229999996,100.00002937000005,191.0,1021.05,0.105485,1.0,24118.802999999996,2.4917254200000003,62.0,534808.35,55.25130100000001,61.0,1101.657,0.1138127,3.0,583.409,0.060272250000000006,3.0,81.409,0.0084104,1.0,3618.29,0.373807,1.0,densenet121.onnx
405544.14999999997,39.77787349999998,59.0,1019522.0249999997,99.99997499,191.0,1018.39,0.0998886,1.0,24019.685999999998,2.35597374,62.0,583635.95,57.246010000000005,61.0,1102.975,0.1081855,3.0,582.0219999999999,0.05708765,3.0,81.052,0.00795,1.0,3537.8,0.347006,1.0,densenet121.onnx
405730.1819999998,41.644684299999994,59.0,974266.6550000001,100.00004046999996,191.0,1023.53,0.105057,1.0,24163.59200000001,2.480182310000001,62.0,538091.9700000001,55.230492,61.0,1159.049,0.1189663,3.0,601.885,0.0617783,3.0,81.987,0.00841526,1.0,3414.46,0.350465,1.0,densenet121.onnx
404958.89200000005,39.77124379999997,59.0,1018220.3680000001,99.99999683000003,191.0,1017.33,0.0999127,1.0,24108.94499999999,2.3677534999999996,62.0,582823.0189999999,57.23937470000003,61.0,1106.79,0.10869840000000001,3.0,579.9,0.056952270000000006,3.0,81.442,0.00799846,1.0,3544.05,0.348063,1.0,densenet121.onnx
404470.8130000001,41.74619010000001,59.0,968881.1189999998,99.99998456999995,191.0,1016.17,0.10488,1.0,24060.73400000001,2.4833505,62.0,534057.4169999998,55.12102070000001,61.0,1098.747,0.1134036,3.0,584.639,0.06034162999999999,3.0,79.439,0.00819904,1.0,3513.16,0.362599,1.0,densenet121.onnx
406310.27,39.93131009999998,59.0,1017522.7469999997,100.00000500999997,191.0,1019.82,0.100225,1.0,24131.535000000003,2.37159655,62.0,580782.9159999995,57.078141899999984,61.0,1101.135,0.1082173,3.0,585.1899999999999,0.05751128,3.0,80.841,0.00794488,1.0,3511.04,0.345058,1.0,densenet121.onnx
406516.2020000001,41.897457100000025,59.0,970263.9300000005,99.99999384000002,191.0,1024.27,0.105566,1.0,24106.524999999998,2.4845316399999997,62.0,533464.6000000002,54.98141499999999,61.0,1106.036,0.11399340000000001,3.0,581.1949999999999,0.0599007,3.0,81.182,0.008367,1.0,3383.92,0.348763,1.0,densenet121.onnx
407900.13700000005,39.97432870000001,59.0,1020403.3749999992,99.99995071999996,191.0,1022.91,0.100245,1.0,24140.432999999997,2.36577363,62.0,582161.0900000002,57.05207800000001,61.0,1106.408,0.1084286,3.0,590.207,0.05784062999999999,3.0,83.44,0.00817716,1.0,3398.75,0.333079,1.0,densenet121.onnx
403327.75600000005,41.652250499999994,59.0,968321.592,99.99992388999995,191.0,1018.4,0.105172,1.0,24101.175999999996,2.4889620700000004,62.0,534501.8000000003,55.19871699999998,61.0,1105.192,0.11413480000000001,3.0,596.322,0.0615831,3.0,79.116,0.00817042,1.0,3591.83,0.370934,1.0,densenet121.onnx
