aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddadd,aggregated_percentage_nnconv2dnnbiasaddadd,aggregated_count_nnconv2dnnbiasaddadd,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
35504.112,69.991862,35.0,50726.054,100.000005,54.0,5423.155,10.691068999999999,7.0,6163.004,12.149588,10.0,97.103,0.191426,1.0,3538.68,6.97606,1.0,mnasnet0_5.onnx
36758.62899999999,70.82969299999999,35.0,51897.217000000004,100.00003299999999,54.0,5405.602,10.415972,7.0,6065.241,11.687031999999999,10.0,102.905,0.198286,1.0,3564.84,6.86905,1.0,mnasnet0_5.onnx
35621.178,70.279034,35.0,50685.35799999998,99.99998300000004,54.0,5346.11,10.547632,7.0,6081.650000000001,11.998816999999999,10.0,95.04,0.18751,1.0,3541.38,6.98699,1.0,mnasnet0_5.onnx
35613.435,70.005231,35.0,50872.52500000001,99.99997200000001,54.0,5426.0509999999995,10.665966,7.0,6166.6990000000005,12.121860999999999,10.0,98.43,0.193484,1.0,3567.91,7.01343,1.0,mnasnet0_5.onnx
35752.704000000005,70.323105,35.0,50840.583999999995,99.99997000000002,54.0,5303.868,10.432358,7.0,6158.138999999999,12.112654000000001,10.0,102.293,0.201203,1.0,3523.58,6.93065,1.0,mnasnet0_5.onnx
36737.88099999999,70.89450300000001,35.0,51820.431000000004,99.99992299999998,54.0,5280.906,10.190779,7.0,6155.230000000001,11.877996,10.0,97.964,0.189045,1.0,3548.45,6.8476,1.0,mnasnet0_5.onnx
35484.914000000004,70.253561,35.0,50509.78,100.000008,54.0,5233.834999999999,10.362025,7.0,6159.5419999999995,12.194747999999999,10.0,98.789,0.195584,1.0,3532.7,6.99409,1.0,mnasnet0_5.onnx
35513.488,70.034588,35.0,50708.505999999994,100.00000099999997,54.0,5448.445,10.744639,7.0,6106.581000000001,12.042517,10.0,98.652,0.194547,1.0,3541.34,6.98371,1.0,mnasnet0_5.onnx
35499.037,69.92940499999999,35.0,50764.11000000001,100.000006,54.0,5435.624,10.707598,7.0,6181.577,12.177067000000001,10.0,99.922,0.196836,1.0,3547.95,6.9891,1.0,mnasnet0_5.onnx
37040.239,71.01749899999999,35.0,52156.45199999999,99.99995399999999,54.0,5348.7970000000005,10.255291,7.0,6155.302000000001,11.801627,10.0,98.324,0.188517,1.0,3513.79,6.73702,1.0,mnasnet0_5.onnx
35592.249999999985,69.98033500000001,35.0,50860.34899999999,99.99998399999997,54.0,5488.872,10.792034000000001,7.0,6138.603999999999,12.069533,10.0,99.423,0.195482,1.0,3541.2,6.9626,1.0,mnasnet0_5.onnx
35640.27700000001,70.06691799999999,35.0,50866.02800000001,99.999965,54.0,5406.593,10.629083999999999,7.0,6186.027999999999,12.161420999999999,10.0,100.67,0.197912,1.0,3532.46,6.94463,1.0,mnasnet0_5.onnx
35405.849,70.124255,35.0,50490.172,100.00001700000004,54.0,5301.299999999999,10.499668,7.0,6142.0650000000005,12.164874999999999,10.0,98.748,0.195579,1.0,3542.21,7.01564,1.0,mnasnet0_5.onnx
36745.55900000001,70.68366699999999,35.0,51985.95800000001,100.00004200000002,54.0,5453.561,10.490452000000001,7.0,6179.5599999999995,11.886990999999998,10.0,97.558,0.187662,1.0,3509.72,6.75127,1.0,mnasnet0_5.onnx
35549.093,70.10123800000001,35.0,50711.128,100.000061,54.0,5379.068,10.607277,7.0,6142.9,12.113502,10.0,98.407,0.194054,1.0,3541.66,6.98399,1.0,mnasnet0_5.onnx
35622.604,70.29819100000002,35.0,50673.61200000002,100.00004600000003,54.0,5274.389999999999,10.408552,7.0,6162.145,12.160459,10.0,94.853,0.187184,1.0,3519.62,6.94566,1.0,mnasnet0_5.onnx
35472.21900000001,70.05834899999998,35.0,50632.38800000001,99.99999700000001,54.0,5325.469000000001,10.517904,7.0,6204.883999999999,12.254789,10.0,101.146,0.199765,1.0,3528.67,6.96919,1.0,mnasnet0_5.onnx
36822.868999999984,70.85401,35.0,51970.09,100.00001499999999,54.0,5393.995,10.37903,7.0,6113.438,11.763365,10.0,95.578,0.18391,1.0,3544.21,6.8197,1.0,mnasnet0_5.onnx
