aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddaddnnrelu,aggregated_count_nnconv2dnnbiasaddaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
1613848.83,82.47371799999999,67.0,1956804.5149999997,100.00002682000003,107.0,1023.53,0.0523063,1.0,103072.55,5.267390000000001,4.0,236591.40000000002,12.090698999999997,33.0,147.025,0.00751352,1.0,2121.18,0.1084,1.0,resnet101.onnx
1621413.9899999995,82.583602,67.0,1963361.4849999999,100.00001933,107.0,1020.45,0.0519747,1.0,103235.17000000001,5.258078,4.0,235330.69999999998,11.986103,33.0,156.355,0.00796363,1.0,2204.82,0.112298,1.0,resnet101.onnx
1619705.14,82.54708000000001,67.0,1962160.1600000004,100.00003762999995,107.0,1023.5,0.0521617,1.0,102784.70000000001,5.238347,4.0,236274.51,12.041546000000002,33.0,158.6,0.00808293,1.0,2213.71,0.11282,1.0,resnet101.onnx
1623988.6400000001,82.54293000000001,67.0,1967446.7589999994,99.99997049999998,107.0,1020.5,0.051869,1.0,103330.04000000001,5.25198,4.0,236755.12999999998,12.033623,33.0,152.369,0.0077445,1.0,2200.08,0.111824,1.0,resnet101.onnx
1613413.7499999998,82.56185900000001,67.0,1954187.9330000002,100.00001728000002,107.0,1025.53,0.0524786,1.0,101352.1,5.1864099999999995,4.0,236040.73,12.078716999999996,33.0,157.853,0.00807768,1.0,2197.97,0.112475,1.0,resnet101.onnx
1628373.7099999997,82.55794000000002,67.0,1972401.617,100.00001751,107.0,1029.61,0.0522007,1.0,104289.45999999999,5.287437,4.0,236340.7199999999,11.982376999999996,33.0,159.327,0.00807781,1.0,2208.79,0.111985,1.0,resnet101.onnx
1625040.86,82.62598700000001,67.0,1966743.5350000006,100.00001207999999,107.0,1021.88,0.051958,1.0,102482.41,5.210766,4.0,235839.04000000004,11.991338999999998,33.0,153.565,0.00780808,1.0,2205.78,0.112154,1.0,resnet101.onnx
1624558.6400000001,82.57465200000001,67.0,1967381.4259999997,100.00001105000001,107.0,1027.49,0.0522263,1.0,103583.45999999999,5.265053999999999,4.0,235920.17000000004,11.991595999999998,33.0,153.136,0.00778375,1.0,2138.53,0.108699,1.0,resnet101.onnx
1614747.1899999997,82.46892300000002,67.0,1958007.2380000001,100.0000176,107.0,1024.36,0.0523163,1.0,103375.2,5.279614,4.0,236495.11000000002,12.078358999999999,33.0,157.508,0.0080443,1.0,2207.87,0.112761,1.0,resnet101.onnx
1622834.8100000005,82.58335100000001,67.0,1965088.222,100.00003699999998,107.0,1019.52,0.0518814,1.0,102332.08,5.207501,4.0,236534.88999999998,12.036855,33.0,155.922,0.0079346,1.0,2211.0,0.112514,1.0,resnet101.onnx
1628449.7900000003,82.58122600000004,67.0,1971938.103,100.00003852,107.0,1022.4,0.0518477,1.0,103735.10999999999,5.260564,4.0,236368.58000000002,11.986609,33.0,159.053,0.00806582,1.0,2203.17,0.111726,1.0,resnet101.onnx
1621644.1899999992,82.558217,67.0,1964243.4229999995,100.00000887999998,107.0,1022.13,0.0520367,1.0,103563.48000000001,5.272437,4.0,235647.7,11.996869,33.0,158.243,0.00805618,1.0,2207.68,0.112393,1.0,resnet101.onnx
1615379.5599999991,82.51314099999998,67.0,1957724.3809999998,100.00002205999999,107.0,1025.58,0.0523865,1.0,103172.09,5.270006,4.0,235798.09000000003,12.044499,33.0,155.141,0.00792456,1.0,2193.92,0.112065,1.0,resnet101.onnx
1623775.3099999998,82.49397700000003,67.0,1968355.9780000001,99.99999072000003,107.0,1020.17,0.0518284,1.0,104063.29999999999,5.28681,4.0,237134.42999999996,12.047338000000003,33.0,149.188,0.00757932,1.0,2213.58,0.112458,1.0,resnet101.onnx
1624549.5500000003,82.62940900000001,67.0,1966067.6360000002,100.00001325999996,107.0,1017.97,0.051777,1.0,102719.48000000001,5.224608999999999,4.0,235431.26000000004,11.974721999999998,33.0,154.656,0.00786626,1.0,2194.72,0.11163,1.0,resnet101.onnx
1627432.4700000002,82.60206599999998,67.0,1970208.1760000004,100.00000855000002,107.0,1022.8,0.0519134,1.0,103306.48999999999,5.243429,4.0,236158.01999999993,11.986450000000001,33.0,154.546,0.00784415,1.0,2133.85,0.108306,1.0,resnet101.onnx
1599329.1700000002,82.365298,67.0,1941750.873,99.99998207999998,107.0,1026.28,0.0528531,1.0,101975.40000000001,5.251718,4.0,237063.21000000002,12.208736999999998,33.0,152.563,0.00785698,1.0,2204.25,0.113519,1.0,resnet101.onnx
1640508.99,82.79003300000002,67.0,1981529.4389999998,100.00000075000004,107.0,1020.64,0.0515076,1.0,101955.25,5.145284,4.0,235723.42999999993,11.896038000000003,33.0,139.879,0.00705915,1.0,2181.25,0.110079,1.0,resnet101.onnx
1622765.7200000002,82.63903399999998,67.0,1963678.7409999992,99.99997508,107.0,1026.86,0.0522925,1.0,102483.71,5.2189689999999995,4.0,235064.89000000007,11.97064,33.0,155.201,0.00790358,1.0,2182.36,0.111136,1.0,resnet101.onnx
1619350.9699999997,82.63199499999997,67.0,1959714.6460000002,100.00002156999999,107.0,1029.86,0.0525518,1.0,100779.76,5.142573,4.0,236187.45999999993,12.052140000000001,33.0,160.496,0.00818977,1.0,2206.1,0.112572,1.0,resnet101.onnx
1604635.7200000002,82.382693,67.0,1947782.7810000011,100.00000155999996,107.0,1020.42,0.0523886,1.0,103863.40999999999,5.332390999999999,4.0,235898.03000000003,12.111099000000001,33.0,156.231,0.00802096,1.0,2208.97,0.113409,1.0,resnet101.onnx
