aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
159901.86099999998,88.725923,26.0,180220.07699999996,100.00002867999999,90.0,6732.147999999999,3.73551047,26.0,6410.692,3.5571433700000004,26.0,2727.745,1.513564,3.0,4435.073,2.4609197,8.0,12.558,0.00696814,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
159905.726,88.73901999999998,26.0,180197.76199999987,100.00001282,90.0,6687.929000000001,3.7114412499999996,26.0,6534.858000000002,3.6264950199999997,26.0,2738.1009999999997,1.519501,3.0,4317.53,2.3959982999999996,8.0,13.618,0.00755725,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
159631.91999999998,88.699018,26.0,179970.39,100.00003278999996,90.0,6750.854000000002,3.751092960000001,26.0,6415.472999999999,3.5647384099999995,26.0,2733.9390000000003,1.519109,3.0,4425.558,2.4590477,8.0,12.646,0.00702672,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
159749.457,88.71091399999997,26.0,180078.70399999997,100.00000347999996,90.0,6696.361000000001,3.7185778699999994,26.0,6474.374,3.5952970399999997,26.0,2740.013,1.521565,3.0,4405.573,2.4464716,8.0,12.926,0.00717797,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
159775.86800000005,88.65574099999999,26.0,180220.44400000002,99.99995005,90.0,6719.062999999999,3.7282492799999996,26.0,6556.947000000001,3.6382973400000003,26.0,2718.077,1.5081950000000002,3.0,4437.151,2.4620665,8.0,13.338,0.00740093,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
