aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_clip,aggregated_percentage_clip,aggregated_count_clip,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad
80462.83399999999,84.813943,52.0,94869.87599999992,100.00004359999994,152.0,7370.678,7.769244,52.0,6244.524000000001,6.582197999999997,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mnasnet0_75.onnx,0.0,0.0,0.0,140.75,0.148361,1.0,553.191,0.5831046,11.0,97.899,0.103193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80990.34300000001,84.89523399999999,52.0,95400.32500000004,99.99998176000004,152.0,7337.307,7.691070900000001,52.0,6251.074,6.5524637000000014,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mnasnet0_75.onnx,0.0,0.0,0.0,142.988,0.149882,1.0,579.9730000000002,0.60793516,11.0,98.64,0.103396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80876.76799999998,84.80752299999999,52.0,95365.055,99.99996925,152.0,7409.887,7.7700191,52.0,6254.967999999997,6.558975299999998,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mnasnet0_75.onnx,0.0,0.0,0.0,141.347,0.148217,1.0,582.2489999999999,0.6105468500000001,11.0,99.836,0.104688,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80602.251,84.78030799999998,52.0,95071.92999999996,100.00002626999998,152.0,7389.140000000004,7.772155200000001,52.0,6255.916,6.580195799999999,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mnasnet0_75.onnx,0.0,0.0,0.0,143.5,0.150938,1.0,584.5720000000001,0.61487327,11.0,96.551,0.101556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81208.23800000001,84.92313600000001,52.0,95625.547,99.99997343000004,152.0,7377.830999999999,7.715331199999998,52.0,6250.599999999999,6.5365403,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mnasnet0_75.onnx,0.0,0.0,0.0,140.603,0.147035,1.0,549.682,0.57482793,11.0,98.593,0.103103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112541.246,90.74114099999996,26.0,124024.38599999998,99.99991923,90.0,3829.286000000001,3.0875286500000003,26.0,3610.506,2.9111285799999997,26.0,1760.7820000000002,1.419705,3.0,2269.317,1.8297334,8.0,13.249,0.0106826,1.0,squeezenet1_1.onnx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112626.77900000004,90.73441499999996,26.0,124127.9810000001,100.00002091999994,90.0,3816.039999999999,3.0742826500000007,26.0,3673.633,2.95955277,26.0,1722.734,1.38787,3.0,2275.2229999999995,1.8329666,8.0,13.572,0.0109339,1.0,squeezenet1_1.onnx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112716.50099999996,90.73624999999996,26.0,124224.37399999997,100.00004053999994,90.0,3820.964,3.07586445,26.0,3681.266,2.9634016900000004,26.0,1712.019,1.378167,3.0,2280.599,1.8358723,8.0,13.025,0.0104851,1.0,squeezenet1_1.onnx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112546.493,90.699945,26.0,124086.61000000006,99.99999324,90.0,3815.7039999999993,3.0750312500000003,26.0,3686.221000000001,2.97068229,26.0,1751.49,1.411508,3.0,2273.025,1.8318046000000003,8.0,13.677,0.0110221,1.0,squeezenet1_1.onnx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112561.197,90.71313299999998,26.0,124084.797,100.00000969999996,90.0,3828.713,3.08555913,26.0,3683.868,2.96883417,26.0,1723.6219999999998,1.38907,3.0,2273.647,1.8323323,8.0,13.75,0.0110811,1.0,squeezenet1_1.onnx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
