aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
703425.87,97.76670700000001,20.0,719494.7359999999,100.00005965100002,209.0,5790.215999999999,0.8047608129999997,69.0,44.812999999999995,0.006228394999999999,20.0,4117.964999999998,0.5723403199999998,60.0,40.089,0.005571823000000001,20.0,3627.3870000000006,0.5041576400000001,17.0,1021.23,0.141937,1.0,44.966,0.00624966,1.0,1382.2,0.192107,1.0,resnet18-v1-7.onnx
709492.48,97.787396,20.0,725545.4740000002,99.99993584900004,209.0,5830.764000000002,0.8036379040000001,69.0,45.262,0.006238339,20.0,4062.4130000000005,0.5599112359999998,60.0,43.841,0.006042490000000001,20.0,3619.9020000000005,0.49892087,17.0,1013.83,0.139733,1.0,45.782,0.00631001,1.0,1391.2,0.191746,1.0,resnet18-v1-7.onnx
704027.5500000002,97.86102299999999,20.0,719415.8240000004,100.00001752499996,209.0,5642.672999999998,0.784341071,69.0,48.954,0.006804680999999999,20.0,3897.5060000000008,0.5417595300000003,60.0,39.289,0.005461232999999999,20.0,3306.7629999999995,0.4596441499999999,17.0,1017.69,0.141461,1.0,43.869,0.00609786,1.0,1391.53,0.193425,1.0,resnet18-v1-7.onnx
693390.97,97.794443,20.0,709028.6939999994,99.99995674100002,209.0,5582.441999999999,0.7873368319999998,69.0,46.74,0.006592117000000001,20.0,3979.0139999999983,0.5611917649999998,60.0,40.73499999999999,0.005745187,20.0,3517.4900000000007,0.4961003399999999,17.0,1019.08,0.143729,1.0,43.623,0.0061525,1.0,1408.6,0.198666,1.0,resnet18-v1-7.onnx
695440.63,97.72568499999998,20.0,711624.574,99.99990983199991,209.0,5773.3409999999985,0.8112902239999998,69.0,45.18000000000001,0.006348853999999999,20.0,4046.9979999999987,0.56869868,60.0,39.511,0.005552224,20.0,3625.4049999999993,0.50945367,17.0,1017.46,0.142977,1.0,44.919,0.00631218,1.0,1591.13,0.223592,1.0,resnet18-v1-7.onnx
703280.5800000001,97.77825900000002,20.0,719260.5740000001,99.9999846800001,209.0,5717.728999999998,0.7949454400000001,69.0,48.24600000000001,0.0067077230000000005,20.0,3989.2590000000005,0.554633814,60.0,42.86499999999999,0.005959593,20.0,3508.0190000000007,0.48772524,17.0,1014.44,0.14104,1.0,44.586,0.00619887,1.0,1614.85,0.224515,1.0,resnet18-v1-7.onnx
694748.72,97.70876599999998,20.0,711039.9999999997,99.99995622899996,209.0,5827.217999999999,0.819534673,69.0,47.357000000000006,0.006660244,20.0,4106.893999999999,0.5775897320000001,60.0,40.104,0.005640189999999999,20.0,3637.001,0.5115047399999999,17.0,1017.67,0.143124,1.0,48.526,0.00682465,1.0,1566.51,0.220312,1.0,resnet18-v1-7.onnx
695042.6900000001,97.76161699999999,20.0,710956.5600000004,99.99998920799995,209.0,5756.1810000000005,0.8096376880000002,69.0,47.288999999999994,0.006651454999999998,20.0,3989.1459999999997,0.561095274,60.0,39.775,0.0055945710000000004,20.0,3406.0989999999997,0.4790868399999999,17.0,1018.78,0.143297,1.0,47.26,0.00664738,1.0,1609.34,0.226362,1.0,resnet18-v1-7.onnx
704631.5800000002,97.77883700000002,20.0,720638.1650000005,100.00000430199992,209.0,5784.016000000002,0.802624373,69.0,47.662000000000006,0.00661386,20.0,3921.1059999999998,0.544116041,60.0,40.623000000000005,0.005637088,20.0,3561.296,0.4941856899999999,17.0,1020.46,0.141605,1.0,47.182,0.00654725,1.0,1584.24,0.219838,1.0,resnet18-v1-7.onnx
708017.8300000001,97.80585699999999,20.0,723901.8080000003,100.000074796,209.0,5676.9980000000005,0.7842223420000002,69.0,50.61100000000001,0.006991418000000002,20.0,4000.7170000000006,0.5526598269999999,60.0,41.31699999999999,0.005707539000000001,20.0,3486.3810000000003,0.4816101299999999,17.0,1015.1,0.140226,1.0,45.284,0.00625554,1.0,1567.57,0.216545,1.0,resnet18-v1-7.onnx
697544.6000000001,97.73526199999998,20.0,713708.7390000004,100.00007289699995,209.0,5637.450999999997,0.7898823059999999,69.0,44.573,0.006245267999999999,20.0,4111.316000000001,0.5760493409999999,60.0,41.694,0.0058418820000000005,20.0,3644.5200000000004,0.51064526,17.0,1017.16,0.142518,1.0,47.175,0.00660984,1.0,1620.25,0.227019,1.0,resnet18-v1-7.onnx
694010.5599999999,97.74896000000001,20.0,709993.1619999998,100.00005206599997,209.0,5823.216,0.8201801119999996,69.0,46.72400000000001,0.006580911,20.0,4077.449999999997,0.574294362,60.0,41.583,0.005856821000000001,20.0,3629.897,0.5112574400000002,17.0,1001.76,0.141094,1.0,46.472,0.00654542,1.0,1315.5,0.185283,1.0,resnet18-v1-7.onnx
