aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_clip,aggregated_percentage_clip,aggregated_count_clip,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
27994.667999999994,67.86361349999997,52.0,41251.399999999994,100.00006076999996,250.0,2078.5720000000006,5.03879295,52.0,3214.533,7.792548239999996,56.0,1284.794,3.1145468700000003,36.0,1135.961,2.7537515900000002,28.0,692.755,1.6793491200000004,14.0,484.617,1.1747885,10.0,4365.5,10.58267,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
27951.504000000004,67.8756061,52.0,41180.47400000002,99.99998287,250.0,2080.295,5.0516558499999995,52.0,3234.548,7.8545679900000005,56.0,1274.7230000000006,3.09545426,36.0,1132.997,2.7512957399999993,28.0,672.8240000000001,1.63384273,14.0,482.29299999999995,1.1711702000000002,10.0,4351.29,10.56639,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
28078.119999999988,67.8766313,52.0,41366.38899999998,99.99998303999995,250.0,2066.83,4.996399219999997,52.0,3248.0750000000007,7.851972510000002,56.0,1284.8830000000003,3.1061058800000008,36.0,1146.1470000000004,2.770721500000001,28.0,706.46,1.7078113300000002,14.0,477.534,1.1544013,10.0,4358.34,10.53594,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
28167.505999999998,68.1376566,52.0,41339.10900000002,99.99998536999998,250.0,2024.7089999999996,4.897808060000002,52.0,3203.2219999999998,7.748646539999997,56.0,1270.5680000000002,3.0735256000000017,36.0,1133.8990000000001,2.7429211099999997,28.0,689.2120000000001,1.66721586,14.0,480.1629999999999,1.1615216,10.0,4369.83,10.57069,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
27936.807999999997,68.0344046,52.0,41062.73499999999,99.99994695999999,250.0,2084.0039999999995,5.075172680000001,52.0,3243.6679999999983,7.8992972,56.0,1263.6000000000001,3.0772411900000005,36.0,1123.5730000000003,2.73623277,28.0,665.613,1.62096652,14.0,481.199,1.1718619999999997,10.0,4264.27,10.38477,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
28067.339000000004,67.79750760000002,52.0,41398.76000000003,99.99996566000007,250.0,2071.4979999999996,5.00377095,52.0,3236.098,7.81689305,56.0,1279.168,3.0898714399999996,36.0,1148.123,2.7733273200000004,28.0,703.3720000000001,1.6990175999999997,14.0,486.082,1.1741476999999998,10.0,4407.08,10.64543,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
28119.00699999999,68.02014840000001,52.0,41339.21699999999,99.99996883000007,250.0,2021.9869999999999,4.89120567,52.0,3233.156000000001,7.821034759999998,56.0,1268.1489999999997,3.067664919999999,36.0,1140.1589999999999,2.7580536200000005,28.0,698.616,1.6899600600000004,14.0,484.34299999999996,1.1716313999999999,10.0,4373.8,10.580269999999999,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
27979.643000000004,67.93322819999999,52.0,41186.96899999999,99.99998689999998,250.0,2074.541,5.036887100000002,52.0,3258.711,7.911995480000001,56.0,1282.956,3.114955169999999,36.0,1131.5690000000002,2.747397080000001,28.0,688.9500000000002,1.6727380699999999,14.0,468.47900000000004,1.1374457999999998,10.0,4302.12,10.44534,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
28034.096999999998,67.8777169,52.0,41300.89399999999,99.99999621000002,250.0,2080.1880000000006,5.036665829999999,52.0,3249.7460000000015,7.868461990000001,56.0,1271.5619999999994,3.07877753,36.0,1129.4439999999997,2.73467215,28.0,693.1940000000001,1.67839991,14.0,486.75300000000004,1.1785519,10.0,4355.91,10.54675,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
27953.977999999996,67.96198500000001,52.0,41131.81100000001,100.00003796999995,250.0,2086.6009999999997,5.072961729999998,52.0,3250.618,7.902928409999999,56.0,1281.0779999999997,3.114569579999999,36.0,1124.5949999999998,2.734124949999999,28.0,692.7809999999998,1.6842953999999997,14.0,465.21000000000004,1.1310229,10.0,4276.95,10.39815,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
28061.591999999997,67.9446501,52.0,41300.66800000004,100.00001817000005,250.0,2087.2819999999997,5.05386994,52.0,3223.5920000000006,7.80518578,56.0,1280.5599999999997,3.10057891,36.0,1136.7549999999997,2.7523874300000006,28.0,685.391,1.65951641,14.0,481.5160000000001,1.1658796000000002,10.0,4343.9800000000005,10.51795,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
28077.641000000003,67.83796,52.0,41389.28600000004,99.99999213000004,250.0,2076.734999999999,5.017565759999999,52.0,3237.573999999999,7.82225397,56.0,1276.1250000000002,3.08322566,36.0,1141.1539999999998,2.7571245900000005,28.0,699.1039999999999,1.6890943499999997,14.0,490.843,1.1859178,10.0,4390.110000000001,10.60685,2.0,mobilenet_v3_small.onnx
0.0,nan,52.0,0.0,nan,250.0,0.0,nan,52.0,0.0,nan,56.0,0.0,nan,36.0,0.0,nan,28.0,0.0,nan,14.0,0.0,nan,10.0,0.0,nan,2.0,mobilenet_v3_small.onnx
