aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasaddaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddaddnnrelu,aggregated_count_nnconv2dnnbiasaddaddnnrelu,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
591515.3899999999,59.015686,17.0,1002301.466,99.99994601,39.0,984.081,0.0981821,1.0,403528.1,40.260130000000004,16.0,4924.84,0.491352,3.0,41.755,0.00416591,1.0,1307.3,0.13043,1.0,resnet34.onnx
679267.3999999999,62.489776,17.0,1087005.2929999998,99.99996090000002,39.0,974.87,0.089684,1.0,400563.5,36.85017,16.0,4857.24,0.44684599999999997,3.0,42.153,0.0038779,1.0,1300.13,0.119607,1.0,resnet34.onnx
680178.6,62.429066000000006,17.0,1089523.0930000003,100.00008024,39.0,977.929,0.0897576,1.0,402112.3999999999,36.90723,16.0,4911.299999999999,0.45077500000000004,3.0,43.784,0.00401864,1.0,1299.08,0.119233,1.0,resnet34.onnx
680312.4,62.592792999999986,17.0,1086885.0730000003,99.99994361000002,39.0,978.357,0.0900148,1.0,399233.89999999997,36.731939999999994,16.0,5018.66,0.461746,3.0,42.756,0.00393381,1.0,1299.0,0.119516,1.0,resnet34.onnx
590514.1000000002,58.995864000000005,17.0,1000940.8110000003,99.99994425999999,39.0,975.745,0.0974827,1.0,403173.2,40.279410000000006,16.0,4952.900000000001,0.49482499999999996,3.0,42.946,0.00429056,1.0,1281.92,0.128072,1.0,resnet34.onnx
679142.0000000001,62.43276899999999,17.0,1087798.2889999999,100.00005574000001,39.0,972.192,0.0893725,1.0,401544.4,36.9135,16.0,4783.67,0.439756,3.0,41.687,0.00383224,1.0,1314.34,0.120826,1.0,resnet34.onnx
679879.2000000001,62.40359,17.0,1089487.593,100.00002792000004,39.0,975.789,0.0895641,1.0,402251.1,36.921139999999994,16.0,5035.5599999999995,0.462195,3.0,43.534,0.00399582,1.0,1302.41,0.119543,1.0,resnet34.onnx
681246.7999999999,62.59273299999999,17.0,1088379.1420000002,99.99998586999999,39.0,980.432,0.0900819,1.0,400081.8,36.75945,16.0,4734.27,0.43498400000000004,3.0,40.52,0.00372297,1.0,1295.32,0.119014,1.0,resnet34.onnx
592165.8000000002,59.115249999999996,17.0,1001714.0459999999,100.00001484,39.0,978.313,0.0976639,1.0,402419.39999999997,40.173100000000005,16.0,4806.88,0.479865,3.0,43.043,0.00429694,1.0,1300.61,0.129839,1.0,resnet34.onnx
680239.8000000002,62.56530099999999,17.0,1087247.9100000004,100.00002002999997,39.0,978.958,0.09004,1.0,399596.89999999997,36.75307,16.0,5088.110000000001,0.467981,3.0,43.512,0.00400203,1.0,1300.63,0.119626,1.0,resnet34.onnx
681023.1999999998,62.40297899999999,17.0,1091331.4490000003,100.00002095999999,39.0,979.494,0.0897522,1.0,402954.39999999997,36.9232,16.0,5045.3099999999995,0.462307,3.0,40.955,0.00375276,1.0,1288.09,0.11803,1.0,resnet34.onnx
678830.8000000002,62.478947000000005,17.0,1086495.652,100.00005372999999,39.0,980.853,0.0902768,1.0,400436.10000000003,36.85578,16.0,4920.48,0.45287599999999995,3.0,41.449,0.00381493,1.0,1285.97,0.118359,1.0,resnet34.onnx
593305.7,59.09294,17.0,1004022.496,100.00005353,39.0,982.094,0.0978159,1.0,403664.60000000003,40.204719999999995,16.0,4706.68,0.468781,3.0,41.362,0.00411963,1.0,1322.06,0.131677,1.0,resnet34.onnx
683236.5000000001,62.636728999999995,17.0,1090792.666,100.00001911000001,39.0,977.915,0.0896517,1.0,400419.0,36.70898,16.0,4808.71,0.44084599999999996,3.0,41.651,0.00381841,1.0,1308.89,0.119994,1.0,resnet34.onnx
679573.1999999998,62.356955,17.0,1089810.8409999998,99.99994414,39.0,979.651,0.0898918,1.0,402949.20000000007,36.97421,16.0,4974.960000000001,0.456496,3.0,42.55,0.00390434,1.0,1291.28,0.118487,1.0,resnet34.onnx
679642.0999999999,62.569230999999995,17.0,1086223.288,99.99993841999998,39.0,984.593,0.0906437,1.0,399605.6,36.788520000000005,16.0,4654.74,0.42852500000000004,3.0,42.175,0.00388272,1.0,1294.08,0.119136,1.0,resnet34.onnx
592048.5,59.03189000000001,17.0,1002929.9339999997,99.99999001000002,39.0,979.748,0.0976885,1.0,403778.8,40.259910000000005,16.0,4786.120000000001,0.47721500000000006,3.0,41.376,0.00412551,1.0,1295.39,0.129161,1.0,resnet34.onnx
679161.8999999999,62.524101,17.0,1086239.622,99.99998437000004,39.0,979.429,0.0901669,1.0,399795.10000000003,36.805440000000004,16.0,4974.95,0.45799700000000004,3.0,42.803,0.00394047,1.0,1285.44,0.118339,1.0,resnet34.onnx
681337.5,62.47668000000001,17.0,1090547.019,99.99999988000005,39.0,981.911,0.0900384,1.0,402076.9,36.869279999999996,16.0,4815.32,0.44155,3.0,41.108,0.00376948,1.0,1294.28,0.118682,1.0,resnet34.onnx
681505.82,62.654757000000004,17.0,1087715.94,99.99999343000002,39.0,978.298,0.0899406,1.0,399013.5,36.68361,16.0,4885.59,0.44916,3.0,42.952,0.00394883,1.0,1289.78,0.118577,1.0,resnet34.onnx
590272.3999999999,58.988600000000005,17.0,1000655.9879999997,100.00004354000002,39.0,983.882,0.0983237,1.0,403261.80000000005,40.299730000000004,16.0,4798.6,0.479547,3.0,42.056,0.00420284,1.0,1297.25,0.12964,1.0,resnet34.onnx
