aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddadd,aggregated_percentage_nnconv2dnnbiasaddadd,aggregated_count_nnconv2dnnbiasaddadd,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
128503.39499999997,69.402044,35.0,185157.944,100.00002160000001,54.0,21256.406000000003,11.480156999999998,7.0,31840.58,17.196459,10.0,92.693,0.0500616,1.0,3464.87,1.8713,1.0,mnasnet1_3.onnx
128568.88999999994,69.510615,35.0,184962.80299999999,99.99993979999998,54.0,20892.151,11.295324,7.0,31949.21,17.273312,10.0,93.182,0.0503788,1.0,3459.37,1.87031,1.0,mnasnet1_3.onnx
127747.5,69.640444,35.0,183438.733,100.00001889999999,54.0,20843.856,11.362839000000001,7.0,31299.199999999997,17.062485,10.0,93.427,0.0509309,1.0,3454.75,1.88332,1.0,mnasnet1_3.onnx
123566.02599999998,68.29984499999999,35.0,180917.086,100.00003600000002,54.0,22071.309999999998,12.199672999999999,7.0,31720.590000000004,17.533233,10.0,92.53,0.051145,1.0,3466.63,1.91614,1.0,mnasnet1_3.onnx
127960.82400000004,69.45151300000002,35.0,184244.78199999992,99.99997720000003,54.0,21309.909,11.566084,7.0,31423.17,17.055118,10.0,89.289,0.0484622,1.0,3461.59,1.8788,1.0,mnasnet1_3.onnx
128455.57400000001,69.25365400000001,35.0,185485.62000000005,100.0000097,54.0,21556.568,11.621692,7.0,31926.740000000005,17.212525,10.0,91.238,0.0491887,1.0,3455.5,1.86295,1.0,mnasnet1_3.onnx
128045.259,69.50153399999999,35.0,184233.81100000005,100.00005669999996,54.0,21088.631,11.446669,7.0,31546.420000000002,17.123053,10.0,92.671,0.0503007,1.0,3460.83,1.8785,1.0,mnasnet1_3.onnx
123539.51100000001,68.550479,35.0,180216.81400000004,100.00001919999998,54.0,21507.506,11.934258,7.0,31612.3,17.541275,10.0,91.527,0.0507872,1.0,3465.97,1.92322,1.0,mnasnet1_3.onnx
127971.10800000002,69.410857,35.0,184367.55,100.00000339999998,54.0,21060.256,11.422983000000002,7.0,31760.9,17.226952,10.0,91.836,0.0498114,1.0,3483.45,1.8894,1.0,mnasnet1_3.onnx
128384.07,69.415392,35.0,184950.51600000003,100.0000515,54.0,21267.213,11.498881,7.0,31745.399999999998,17.164276,10.0,91.703,0.0495825,1.0,3462.13,1.87192,1.0,mnasnet1_3.onnx
128552.96300000002,69.27469599999999,35.0,185569.78900000002,99.99996329999999,54.0,21593.14,11.636129,7.0,31868.329999999998,17.173223,10.0,92.906,0.0500653,1.0,3462.45,1.86585,1.0,mnasnet1_3.onnx
123446.98400000001,68.785221,35.0,179467.23899999994,99.99995890000001,54.0,20944.0,11.670097,7.0,31512.98,17.559167999999996,10.0,90.995,0.0507029,1.0,3472.28,1.93477,1.0,mnasnet1_3.onnx
127390.642,69.25572799999999,35.0,183942.44700000004,100.0000325,54.0,21236.974000000002,11.545456999999999,7.0,31778.609999999997,17.276381,10.0,88.801,0.0482765,1.0,3447.42,1.87419,1.0,mnasnet1_3.onnx
127845.15500000001,69.025137,35.0,185215.393,100.00001689999998,54.0,22081.941,11.922313,7.0,31726.83,17.129688,10.0,88.957,0.0480289,1.0,3472.51,1.87485,1.0,mnasnet1_3.onnx
127236.44200000001,69.28110499999998,35.0,183652.267,99.999924,54.0,21279.382,11.586766,7.0,31578.95,17.19497,10.0,88.783,0.048343,1.0,3468.71,1.88874,1.0,mnasnet1_3.onnx
122996.237,68.692701,35.0,179052.80299999999,99.99998469999997,54.0,20965.146,11.708912999999999,7.0,31543.760000000002,17.617022,10.0,89.9,0.0502087,1.0,3457.76,1.93114,1.0,mnasnet1_3.onnx
127739.25899999998,69.36509899999999,35.0,184154.89099999992,99.9999753,54.0,21048.308,11.429675,7.0,31813.6,17.275452,10.0,90.474,0.0491293,1.0,3463.25,1.88062,1.0,mnasnet1_3.onnx
128280.328,69.24875699999998,35.0,185245.63000000003,99.99996239999996,54.0,21700.126000000004,11.714239,7.0,31703.66,17.114378,10.0,93.546,0.0504984,1.0,3467.97,1.87209,1.0,mnasnet1_3.onnx
128400.47199999998,69.65657999999999,35.0,184333.798,100.00008989999999,54.0,20872.412,11.323163000000001,7.0,31513.649999999998,17.095978,10.0,90.174,0.0489189,1.0,3457.09,1.87545,1.0,mnasnet1_3.onnx
123747.30499999996,68.703191,35.0,180118.71,100.0000103,54.0,20991.451999999997,11.654236000000001,7.0,31815.58,17.663680999999997,10.0,92.333,0.0512623,1.0,3472.04,1.92764,1.0,mnasnet1_3.onnx
