aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
463394.1019999999,42.591738699999986,83.0,1087990.9310000006,100.00000134000013,263.0,980.198,0.0900925,1.0,27542.603000000003,2.5315103700000003,86.0,589741.8990000003,54.20465750000002,85.0,936.287,0.0860565,3.0,508.5489999999999,0.04674197,3.0,115.173,0.0105858,1.0,4772.12,0.438618,1.0,densenet169.onnx
463838.62499999994,42.26412450000001,83.0,1097476.1630000006,100.00002081,263.0,979.071,0.0892112,1.0,27495.854999999992,2.5053725300000007,86.0,598833.429,54.56460910000003,85.0,935.325,0.0852252,3.0,506.61500000000007,0.04616178,3.0,114.823,0.0104625,1.0,4772.42,0.434854,1.0,densenet169.onnx
463293.3680000002,42.60059170000001,83.0,1087527.1429999995,99.99999694999985,263.0,986.751,0.0907335,1.0,27507.258000000005,2.5293406999999997,86.0,589428.283,54.19897990000001,85.0,911.923,0.0838529,3.0,511.22,0.047007549999999995,3.0,115.96,0.0106627,1.0,4772.38,0.438828,1.0,densenet169.onnx
458672.0849999998,41.994074799999986,83.0,1092231.3710000005,100.00001290000002,263.0,981.557,0.0898671,1.0,27532.392000000014,2.5207463000000003,86.0,598709.1990000001,54.81521550000001,85.0,938.8389999999999,0.085956,3.0,508.11400000000003,0.0465207,3.0,117.475,0.0107555,1.0,4771.71,0.436877,1.0,densenet169.onnx
463272.6440000001,42.60929349999998,83.0,1087257.9520000005,99.99999274999999,263.0,982.681,0.0903816,1.0,27533.492000000002,2.532378549999999,86.0,589135.4520000002,54.18540180000001,85.0,938.7470000000001,0.0863408,3.0,509.152,0.046828999999999996,3.0,115.494,0.0106225,1.0,4770.29,0.438745,1.0,densenet169.onnx
463673.95599999995,42.281080300000006,83.0,1096646.3450000002,100.0000495200001,263.0,979.815,0.0893465,1.0,27548.65599999999,2.5120828900000007,86.0,598136.6460000003,54.54239769999999,85.0,933.5550000000001,0.0851282,3.0,492.199,0.04488223,3.0,118.818,0.0108347,1.0,4762.7,0.434297,1.0,densenet169.onnx
463614.70800000016,42.660040499999994,83.0,1086765.698000001,100.00002778999998,263.0,982.63,0.0904179,1.0,27509.822000000004,2.5313488800000004,86.0,588329.0610000002,54.135805500000004,85.0,937.385,0.0862546,3.0,506.438,0.04660041000000001,3.0,116.414,0.010712,1.0,4769.24,0.438848,1.0,densenet169.onnx
458950.09500000003,41.9722591,83.0,1093461.1359999992,100.00002855,263.0,980.82,0.0896987,1.0,27515.70699999999,2.5163874399999995,86.0,599684.614,54.84279620000001,85.0,939.982,0.085964,3.0,510.723,0.04670701,3.0,117.985,0.0107901,1.0,4761.21,0.435426,1.0,densenet169.onnx
464222.0989999999,42.680505300000014,83.0,1087667.1860000002,99.99995758,263.0,980.775,0.0901723,1.0,27508.92299999999,2.529166020000001,86.0,588630.021,54.11856020000003,85.0,936.2630000000001,0.0860799,3.0,511.281,0.047007059999999996,3.0,111.114,0.0102158,1.0,4766.71,0.438251,1.0,densenet169.onnx
463574.78700000007,42.20963280000002,83.0,1098268.5220000008,100.0000455399999,263.0,980.825,0.0893065,1.0,27503.861,2.5042938500000003,86.0,599868.3910000002,54.619479800000015,85.0,937.2950000000001,0.08534299999999999,3.0,508.183,0.04627129,3.0,113.18,0.0103053,1.0,4782.0,0.435413,1.0,densenet169.onnx
