aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
296792.249,98.77169900000001,26.0,300483.236,100.00005080000003,38.0,1669.732,0.5556828,3.0,1853.1130000000003,0.6167117000000001,8.0,168.142,0.0559573,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
286487.354,98.73001300000001,26.0,290172.46599999996,99.99998440000003,38.0,1660.7269999999999,0.5723233000000001,3.0,1855.6070000000002,0.6394833999999999,8.0,168.778,0.0581647,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
294683.337,98.770578,26.0,298351.34500000003,100.0000023,38.0,1665.443,0.5582148,3.0,1831.0219999999997,0.6137125999999999,8.0,171.543,0.0574969,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
285872.279,98.72718499999999,26.0,289557.808,99.99999960000001,38.0,1666.893,0.5756695,3.0,1849.081,0.6385885,8.0,169.555,0.0585566,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
295218.971,98.765466,26.0,298908.983,99.99996220000001,38.0,1670.9479999999999,0.5590163,3.0,1849.9569999999999,0.6189051000000001,8.0,169.107,0.0565748,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
286197.4149999999,98.73162199999999,26.0,289874.22699999996,100.00003919999999,38.0,1667.057,0.5750966,3.0,1842.467,0.6356099999999999,8.0,167.288,0.0577106,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
296839.003,98.776171,26.0,300516.66199999995,99.9999531,38.0,1666.348,0.5544959,3.0,1842.4959999999999,0.6131112,8.0,168.815,0.056175,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
286637.306,98.728814,26.0,290328.032,100.00004259999999,38.0,1668.127,0.5745674000000001,3.0,1853.141,0.6382933000000001,8.0,169.458,0.0583679,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
303733.808,98.80187699999999,26.0,307416.969,99.99997599999999,38.0,1670.4170000000001,0.5433716,3.0,1840.3719999999998,0.5986563,8.0,172.372,0.0560711,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
285612.947,98.72470799999999,26.0,289302.362,99.9999864,38.0,1667.494,0.5763836,3.0,1853.1180000000002,0.6405466000000001,8.0,168.803,0.0583482,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
295591.541,98.77004299999999,26.0,299272.53900000005,100.00002609999999,38.0,1669.2250000000001,0.5577608000000001,3.0,1842.6770000000001,0.6157199,8.0,169.096,0.0565024,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
286062.23699999996,98.72579399999998,26.0,289754.39999999997,100.00003509999999,38.0,1665.809,0.5749046999999999,3.0,1857.178,0.6409502999999999,8.0,169.176,0.0583861,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
295902.507,98.769819,26.0,299588.06899999996,100.00002789999999,38.0,1663.028,0.5551049,3.0,1851.8480000000002,0.6181305,8.0,170.686,0.0569735,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
287491.127,98.733927,26.0,291177.53500000003,99.99995979999998,38.0,1660.357,0.5702204,3.0,1857.25,0.6378406000000001,8.0,168.801,0.0579718,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
297675.228,98.777061,26.0,301360.776,100.00003070000001,38.0,1659.796,0.5507675,3.0,1856.026,0.6158822999999999,8.0,169.726,0.0563199,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
287683.772,98.73352700000001,26.0,291373.89100000006,99.99998430000001,38.0,1672.4630000000002,0.5739934,3.0,1853.1090000000004,0.6359910000000001,8.0,164.547,0.0564729,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
294289.66000000003,98.762789,26.0,297976.166,99.99997209999998,38.0,1669.9009999999998,0.5604152,3.0,1846.9319999999998,0.6198260000000001,8.0,169.673,0.0569419,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
286227.29000000004,98.72583999999999,26.0,289921.28500000003,99.99997439999997,38.0,1671.47,0.5765239,3.0,1853.004,0.6391392,8.0,169.521,0.0584713,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
296331.81200000003,98.76911799999999,26.0,300024.92100000003,100.0000536,38.0,1669.42,0.5564285,3.0,1854.0219999999997,0.6179560999999999,8.0,169.667,0.056551,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
287285.653,98.73295999999999,26.0,290972.429,100.00001149999999,38.0,1668.941,0.5735729,3.0,1850.6060000000002,0.6360062,8.0,167.229,0.0574724,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
