aggregated_duration_nnconv2dnnbiasaddmultiplyaddclipmultiply,aggregated_percentage_nnconv2dnnbiasaddmultiplyaddclipmultiply,aggregated_count_nnconv2dnnbiasaddmultiplyaddclipmultiply,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,aggregated_duration_nnconv2dnnbiasaddadd,aggregated_percentage_nnconv2dnnbiasaddadd,aggregated_count_nnconv2dnnbiasaddadd,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nnconv2dnnbiasaddmultiplyaddclip,aggregated_percentage_nnconv2dnnbiasaddmultiplyaddclip,aggregated_count_nnconv2dnnbiasaddmultiplyaddclip,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_nndenseaddmultiplyaddclipmultiply,aggregated_percentage_nndenseaddmultiplyaddclipmultiply,aggregated_count_nndenseaddmultiplyaddclipmultiply,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
28376.66,32.820311000000004,20.0,86460.71900000003,100.00000290000003,81.0,22489.309000000005,26.010989599999995,19.0,20367.566,23.55701,10.0,5196.876,6.0106969999999995,5.0,721.071,0.8339863,9.0,2018.3729999999998,2.3344391,8.0,788.5740000000001,0.9120598999999999,8.0,3045.62,3.52255,1.0,3456.67,3.99796,1.0,mobilenet_v3_large.onnx
28197.209,32.746204000000006,20.0,86108.30299999999,100.0000176,81.0,22479.192000000003,26.105715000000007,19.0,20230.048000000003,23.49374,10.0,5193.764,6.03167,5.0,717.543,0.8333024999999998,9.0,2009.5629999999999,2.333762,8.0,789.884,0.9173141,8.0,3041.51,3.5322,1.0,3449.59,4.00611,1.0,mobilenet_v3_large.onnx
28356.930999999997,32.701691,20.0,86713.939,99.99997470000001,81.0,22479.252000000004,25.923453000000002,19.0,20596.074999999997,23.751732,10.0,5237.301,6.039745,5.0,718.5680000000001,0.8286638000000001,9.0,2017.8980000000001,2.3270751,8.0,792.414,0.9138248,8.0,3050.17,3.51751,1.0,3465.33,3.99628,1.0,mobilenet_v3_large.onnx
29311.014000000003,33.635566000000004,20.0,87142.86399999999,99.99998950000001,81.0,22519.946999999996,25.842565,19.0,20057.403,23.016692999999997,10.0,5213.74,5.982978,5.0,718.027,0.8239664,9.0,2028.443,2.32772,8.0,788.06,0.9043311,8.0,3048.62,3.49842,1.0,3457.61,3.96775,1.0,mobilenet_v3_large.onnx
28496.419000000005,32.909835,20.0,86589.32099999998,99.99997090000001,81.0,22474.143,25.9548689,19.0,20394.538,23.55319,10.0,5206.9580000000005,6.0133779999999994,5.0,720.375,0.8319435999999999,9.0,2001.972,2.3120315000000002,8.0,788.616,0.9107539,8.0,3038.34,3.50891,1.0,3467.96,4.00506,1.0,mobilenet_v3_large.onnx
28279.767999999996,32.83424600000001,20.0,86128.814,99.9999884,81.0,22364.585,25.966425099999995,19.0,20286.251,23.553385999999996,10.0,5205.974,6.044421,5.0,725.231,0.8420305,9.0,2011.287,2.3352082,8.0,785.178,0.9116316,8.0,3029.17,3.51703,1.0,3441.37,3.99561,1.0,mobilenet_v3_large.onnx
28351.720999999998,32.918505,20.0,86126.99100000002,100.00001360000002,81.0,22480.778000000002,26.101911400000006,19.0,20093.92,23.330565,10.0,5178.539000000001,6.012687,5.0,723.275,0.8397768,9.0,2018.763,2.343937,8.0,791.595,0.9191014000000001,8.0,3040.7,3.53049,1.0,3447.7,4.00304,1.0,mobilenet_v3_large.onnx
29347.612999999998,33.681385,20.0,87133.00700000004,100.00000640000002,81.0,22439.617,25.7532903,19.0,20127.314,23.09954,10.0,5193.048,5.959919999999999,5.0,723.578,0.8304286999999999,9.0,2015.98,2.3136822,8.0,785.897,0.9019501999999998,8.0,3044.0,3.49351,1.0,3455.96,3.9663,1.0,mobilenet_v3_large.onnx
28325.800999999996,32.88683400000001,20.0,86131.143,99.99999950000002,81.0,22493.563000000006,26.115465699999994,19.0,20062.990999999998,23.29354,10.0,5211.29,6.050427000000001,5.0,715.8830000000002,0.8311544,9.0,2028.71,2.3553734,8.0,787.285,0.914055,8.0,3046.33,3.53685,1.0,3459.29,4.0163,1.0,mobilenet_v3_large.onnx
28253.269999999997,32.842467,20.0,86026.578,100.00001460000004,81.0,22419.409,26.0610622,19.0,20128.226,23.397681000000002,10.0,5196.6720000000005,6.040776,5.0,722.9069999999999,0.8403303,9.0,2022.094,2.3505436,8.0,787.1300000000001,0.9149845000000001,8.0,3040.16,3.53398,1.0,3456.71,4.01819,1.0,mobilenet_v3_large.onnx
28401.374,32.925824,20.0,86258.66999999997,100.0000195,81.0,22407.936,25.9776072,19.0,20233.252,23.456487,10.0,5189.161,6.015817,5.0,722.321,0.8373903,9.0,2015.646,2.3367472,8.0,787.85,0.9133568000000001,8.0,3048.04,3.5336,1.0,3453.09,4.00319,1.0,mobilenet_v3_large.onnx
29314.692000000003,33.613816,20.0,87210.12,99.99997950000001,81.0,22527.217999999997,25.83097900000001,19.0,20142.686999999998,23.096733999999998,10.0,5220.514,5.986137,5.0,720.3810000000001,0.8260285,9.0,2008.465,2.3030182000000003,8.0,786.2930000000001,0.9016068000000002,8.0,3031.62,3.47623,1.0,3458.25,3.96543,1.0,mobilenet_v3_large.onnx
28321.477000000003,32.843706000000005,20.0,86231.04100000001,99.9999901,81.0,22401.257,25.978167700000007,19.0,20270.809,23.507569,10.0,5213.382,6.04584,5.0,723.3969999999999,0.8389059999999999,9.0,2015.797,2.3376713000000002,8.0,785.832,0.9113101,8.0,3057.01,3.54513,1.0,3442.08,3.99169,1.0,mobilenet_v3_large.onnx
28276.560999999994,32.911902,20.0,85915.89699999997,100.00000140000002,81.0,22498.003000000004,26.1860846,19.0,19899.745000000003,23.161896,10.0,5206.887,6.060445,5.0,723.832,0.8424887,9.0,2008.896,2.3382123999999997,8.0,786.803,0.9157827000000001,8.0,3060.84,3.56259,1.0,3454.33,4.0206,1.0,mobilenet_v3_large.onnx
28458.454999999998,32.961975,20.0,86337.25200000001,99.9999783,81.0,22399.975000000006,25.944710399999998,19.0,20283.122,23.492895,10.0,5183.21,6.003446,5.0,725.433,0.8402315000000001,9.0,2017.953,2.3372916999999998,8.0,789.2240000000002,0.9141187,8.0,3035.37,3.51571,1.0,3444.51,3.9896,1.0,mobilenet_v3_large.onnx
29341.605000000003,33.656996,20.0,87178.39,100.00003120000001,81.0,22437.855000000003,25.737870899999997,19.0,20144.758,23.107514000000002,10.0,5211.895,5.978413,5.0,730.2009999999999,0.837594,9.0,2012.7060000000001,2.3087218,8.0,791.8000000000001,0.9082515,8.0,3045.49,3.49341,1.0,3462.08,3.97126,1.0,mobilenet_v3_large.onnx
28257.476000000002,32.815945,20.0,86108.98,100.0000097,81.0,22455.922000000002,26.078490699999996,19.0,20191.561999999998,23.448845999999996,10.0,5177.357,6.012571,5.0,712.945,0.8279571,9.0,2017.432,2.3428814,8.0,785.6659999999999,0.9124085,8.0,3050.0,3.54202,1.0,3460.62,4.01889,1.0,mobilenet_v3_large.onnx
28270.336,32.849312,20.0,86060.69299999998,99.99999900000002,81.0,22429.431000000004,26.062335700000006,19.0,20123.989999999998,23.383476,10.0,5207.86,6.051382,5.0,715.9680000000001,0.8319339,9.0,2019.879,2.3470393,8.0,787.069,0.9145501000000001,8.0,3042.37,3.53515,1.0,3463.79,4.02482,1.0,mobilenet_v3_large.onnx
28341.245000000003,32.870866,20.0,86219.95799999996,100.00000660000002,81.0,22427.889000000003,26.012411900000004,19.0,20235.559,23.469689,10.0,5194.4529999999995,6.024661,5.0,725.4399999999999,0.8413814,9.0,2008.7069999999999,2.3297464,8.0,779.5849999999999,0.9041808999999998,8.0,3048.88,3.53616,1.0,3458.2,4.01091,1.0,mobilenet_v3_large.onnx
29236.703999999998,33.559335,20.0,87119.50400000004,100.00005960000003,81.0,22509.094,25.837054100000003,19.0,20167.353,23.149076,10.0,5187.818,5.954832,5.0,726.8860000000001,0.8343554999999999,9.0,2005.9809999999998,2.3025626999999997,8.0,786.048,0.9022643000000001,8.0,3051.13,3.50223,1.0,3448.49,3.95835,1.0,mobilenet_v3_large.onnx
28312.507999999998,32.799523,20.0,86319.90800000004,100.0000199,81.0,22476.025,26.038065099999997,19.0,20321.064,23.541581,10.0,5214.102,6.0404409999999995,5.0,718.238,0.8320649999999999,9.0,2010.017,2.3285663999999997,8.0,791.1039999999999,0.9164783999999999,8.0,3033.72,3.5145,1.0,3443.13,3.9888,1.0,mobilenet_v3_large.onnx
28164.467,32.669022000000005,20.0,86211.46099999998,99.9999594,81.0,22522.887,26.125164499999993,19.0,20311.397,23.559981,10.0,5195.191,6.026097,5.0,720.735,0.8360083,9.0,2014.88,2.3371367,8.0,791.0239999999999,0.9175399,8.0,3037.84,3.5237,1.0,3453.04,4.00531,1.0,mobilenet_v3_large.onnx
28454.576999999997,32.941255000000005,20.0,86379.75800000002,100.0000196,81.0,22416.938000000002,25.951600999999993,19.0,20267.139,23.462865,10.0,5207.871999999999,6.029046,5.0,725.8220000000001,0.8402684,9.0,2019.7199999999998,2.3381851,8.0,787.86,0.9120891,8.0,3057.38,3.53946,1.0,3442.45,3.98525,1.0,mobilenet_v3_large.onnx
29329.859999999997,33.648128,20.0,87166.29599999999,99.99997779999998,81.0,22451.90000000001,25.757568399999997,19.0,20177.08,23.147808,10.0,5184.4,5.947694,5.0,724.5539999999999,0.8312326999999999,9.0,2020.907,2.3184500999999997,8.0,793.385,0.9101966,8.0,3034.88,3.48172,1.0,3449.33,3.95718,1.0,mobilenet_v3_large.onnx
28478.277000000006,32.93922800000001,20.0,86457.06699999998,100.0000006,81.0,22487.335999999996,26.009804699999997,19.0,20270.191,23.445387999999998,10.0,5204.921,6.020246,5.0,716.573,0.8288194,9.0,2015.8259999999998,2.331591,8.0,789.563,0.9132434999999999,8.0,3040.18,3.5164,1.0,3454.2,3.99528,1.0,mobilenet_v3_large.onnx
28349.766,32.937401,20.0,86071.574,99.99999129999998,81.0,22509.403,26.151947,19.0,20005.127,23.242447,10.0,5190.417,6.030367,5.0,720.642,0.8372588999999999,9.0,2010.542,2.3358952,8.0,785.717,0.9128651999999999,8.0,3042.54,3.5349,1.0,3457.42,4.01691,1.0,mobilenet_v3_large.onnx
28313.74,32.85644,20.0,86174.07499999998,99.99999760000003,81.0,22443.930999999993,26.044878899999997,19.0,20213.428,23.456521000000002,10.0,5176.991,6.007606,5.0,717.3290000000001,0.8324181,9.0,2017.0720000000001,2.3406938,8.0,790.234,0.9170197999999999,8.0,3050.26,3.53964,1.0,3451.09,4.00478,1.0,mobilenet_v3_large.onnx
29272.597,33.68105099999999,20.0,86911.16699999999,99.99998880000001,81.0,22468.642999999993,25.852411399999998,19.0,19962.703,22.969078000000003,10.0,5183.5380000000005,5.964181,5.0,730.412,0.840413,9.0,2019.139,2.3232216,8.0,787.565,0.9061728,8.0,3042.91,3.50118,1.0,3443.66,3.96228,1.0,mobilenet_v3_large.onnx
