aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddaddnnrelu,aggregated_count_nnconv2dnnbiasaddaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
2054568.26,81.75381869999994,101.0,2513116.1180000002,100.00001161999995,158.0,981.351,0.0390492,1.0,106945.72,4.2555060000000005,4.0,348287.7699999999,13.858803999999997,50.0,136.307,0.00542382,1.0,2196.71,0.0874099,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2050187.5099999995,81.7058595,101.0,2509229.3899999997,99.99998992000002,158.0,979.121,0.0390208,1.0,106889.20999999999,4.259835,4.0,348832.1200000001,13.901961999999996,50.0,141.659,0.00564552,1.0,2199.77,0.0876671,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2045905.9599999995,81.8198383,101.0,2500500.4869999997,99.99998215000004,158.0,976.83,0.0390654,1.0,104362.26000000001,4.173659,4.0,346933.04000000004,13.874542,50.0,141.067,0.00564155,1.0,2181.33,0.0872359,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2048410.06,81.88395949999997,101.0,2501601.0939999996,99.99999418,158.0,979.273,0.0391459,1.0,103914.73999999999,4.153923,4.0,345963.46,13.829683,50.0,139.281,0.00556768,1.0,2194.28,0.0877151,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2058728.5899999994,81.89507879999998,101.0,2513860.3830000004,99.99997863999995,158.0,982.127,0.0390685,1.0,105111.58,4.181280999999999,4.0,346703.62999999995,13.791686999999998,50.0,140.576,0.00559204,1.0,2193.88,0.0872713,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2051304.1299999992,81.8206951,101.0,2507071.773999999,99.99998161999999,158.0,978.774,0.0390405,1.0,105720.66999999998,4.216899,4.0,346734.18999999994,13.83025,50.0,139.89,0.00557982,1.0,2194.12,0.0875172,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2047197.8,81.7277099,101.0,2504900.3389999997,99.99999347999999,158.0,982.496,0.039223,1.0,106644.17,4.257419,4.0,347725.20999999996,13.881798999999999,50.0,139.763,0.00557958,1.0,2210.9,0.088263,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
