aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
366738.8139999998,39.7137447,59.0,923456.5239999999,100.00003766000003,191.0,977.508,0.105853,1.0,19247.751999999997,2.0843171799999998,62.0,531751.0899999999,57.582685999999995,61.0,897.931,0.0972359,3.0,479.393,0.05191292,3.0,77.256,0.00836596,1.0,3286.78,0.355922,1.0,densenet121.onnx
372957.3329999999,40.23957600000001,59.0,926841.4589999992,100.00000112999999,191.0,982.308,0.105984,1.0,19325.187000000005,2.08505856,62.0,528786.694,57.05258000000002,61.0,912.192,0.0984195,3.0,492.9,0.05318070999999999,3.0,73.715,0.00795336,1.0,3311.13,0.357249,1.0,densenet121.onnx
365427.103,39.62159310000001,59.0,922293.4829999999,100.00002554999996,191.0,982.425,0.10652,1.0,19287.640000000003,2.0912685600000005,62.0,531777.1769999999,57.658127000000015,61.0,913.322,0.09902729999999998,3.0,486.86299999999994,0.05278824,3.0,74.543,0.00808235,1.0,3344.41,0.362619,1.0,densenet121.onnx
364608.595,39.6008948,59.0,920707.2530000003,99.99997686000002,191.0,976.076,0.106014,1.0,19288.327,2.0949474800000005,62.0,531055.5670000003,57.679097000000006,61.0,909.2750000000001,0.0987584,3.0,489.068,0.05311874999999999,3.0,74.885,0.00813343,1.0,3305.46,0.359013,1.0,densenet121.onnx
364719.57,39.4328609,59.0,924912.7919999991,99.9999996999999,191.0,977.964,0.105736,1.0,19285.239,2.0850870799999996,62.0,535141.1779999997,57.85855499999999,61.0,903.789,0.0977161,3.0,472.61,0.051097830000000004,3.0,74.472,0.00805179,1.0,3337.97,0.360895,1.0,densenet121.onnx
370878.481,40.161736200000014,59.0,923461.9810000004,99.99997052,191.0,979.489,0.106067,1.0,19310.166000000012,2.091062920000001,62.0,527498.7759999998,57.121855000000004,61.0,913.062,0.0988739,3.0,492.462,0.05332781,3.0,72.415,0.00784169,1.0,3317.13,0.359206,1.0,densenet121.onnx
364875.7230000001,39.5778873,59.0,921918.6330000001,100.00000918999999,191.0,973.806,0.105628,1.0,19285.158999999996,2.0918498999999997,62.0,531987.3670000002,57.704361999999996,61.0,906.838,0.09836420000000001,3.0,491.865,0.05335221999999999,3.0,75.575,0.00819757,1.0,3322.3,0.360368,1.0,densenet121.onnx
365608.0119999998,39.756393700000025,59.0,919620.278999999,100.00002355000005,191.0,978.99,0.106456,1.0,19279.909999999996,2.0965079399999986,62.0,528952.813,57.51865100000001,61.0,911.857,0.0991558,3.0,486.70799999999997,0.0529249,3.0,73.829,0.00802821,1.0,3328.16,0.361906,1.0,densenet121.onnx
365502.04399999976,39.541088499999994,59.0,924360.3099999997,100.00002394000005,191.0,979.886,0.106007,1.0,19289.116000000005,2.0867533000000007,62.0,533767.2670000001,57.744516999999995,61.0,910.873,0.0985409,3.0,491.16200000000003,0.0531353,3.0,74.392,0.00804794,1.0,3345.57,0.361934,1.0,densenet121.onnx
371203.34400000004,40.132328900000005,59.0,924949.4660000008,100.00001414999998,191.0,977.427,0.105674,1.0,19270.177000000007,2.0833752900000007,62.0,528705.3779999999,57.16042999999998,61.0,912.038,0.0986041,3.0,493.22800000000007,0.05332476,3.0,72.924,0.0078841,1.0,3314.95,0.358393,1.0,densenet121.onnx
