aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_concatenatereshapetransposereshape,aggregated_percentage_concatenatereshapetransposereshape,aggregated_count_concatenatereshapetransposereshape,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_stridedsliceconcatenatereshapetransposereshape,aggregated_percentage_stridedsliceconcatenatereshapetransposereshape,aggregated_count_stridedsliceconcatenatereshapetransposereshape,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
49716.06599999999,80.62756300000001,37.0,61661.371,99.99998649999998,88.0,369.787,0.599706,1.0,5893.601,9.558008,19.0,434.472,0.7046089999999999,3.0,411.68700000000007,0.6676575,13.0,1788.0380000000002,2.899768,13.0,75.76,0.122865,1.0,2971.96,4.81981,1.0,shufflenet_v2_x1_0.onnx
49491.34299999999,80.56002299999999,37.0,61434.14699999998,100.00004889999992,88.0,372.941,0.607058,1.0,5913.658,9.626024000000001,19.0,432.21099999999996,0.7035350000000001,3.0,412.7389999999999,0.6718399,13.0,1789.9120000000003,2.9135459999999997,13.0,73.723,0.120003,1.0,2947.62,4.79802,1.0,shufflenet_v2_x1_0.onnx
47118.56000000001,79.780759,37.0,59060.089000000014,100.00004080000001,88.0,371.195,0.628504,1.0,5905.6449999999995,9.999374,19.0,433.742,0.734408,3.0,411.89500000000004,0.6974168,13.0,1789.6570000000004,3.0302299999999995,13.0,74.185,0.125609,1.0,2955.21,5.00374,1.0,shufflenet_v2_x1_0.onnx
49918.20199999998,80.701464,37.0,61855.41699999998,100.00001739999999,88.0,368.638,0.595967,1.0,5872.182999999999,9.493394999999998,19.0,432.904,0.699864,3.0,415.119,0.6711114,13.0,1790.3239999999998,2.8943679999999996,13.0,77.157,0.124738,1.0,2980.89,4.81911,1.0,shufflenet_v2_x1_0.onnx
49658.06800000001,80.661723,37.0,61563.348,99.99999120000001,88.0,372.75,0.605474,1.0,5878.892000000001,9.549344,19.0,432.705,0.702862,3.0,412.504,0.6700481999999999,13.0,1790.3449999999998,2.908137,13.0,73.964,0.120143,1.0,2944.12,4.78226,1.0,shufflenet_v2_x1_0.onnx
49771.96999999999,80.64785700000002,37.0,61715.145000000026,99.99997080000001,88.0,374.53,0.606869,1.0,5879.5109999999995,9.526861000000002,19.0,433.568,0.702531,3.0,417.78900000000004,0.6769638,13.0,1788.958,2.898737,13.0,73.399,0.118932,1.0,2975.42,4.82122,1.0,shufflenet_v2_x1_0.onnx
47064.87899999999,79.77614200000002,37.0,58996.20399999997,100.0000385,88.0,372.81,0.631922,1.0,5888.294999999998,9.980811,19.0,431.925,0.732124,3.0,409.8779999999999,0.6947535,13.0,1790.571,3.0350609999999993,13.0,74.816,0.126815,1.0,2963.03,5.02241,1.0,shufflenet_v2_x1_0.onnx
49735.491999999984,80.63611,37.0,61678.91799999999,100.00000099999997,88.0,366.723,0.594568,1.0,5882.0160000000005,9.536516,19.0,431.91,0.700256,3.0,417.774,0.6773369999999999,13.0,1792.8849999999998,2.906805,13.0,74.958,0.121529,1.0,2977.16,4.82688,1.0,shufflenet_v2_x1_0.onnx
49687.42000000002,80.67841399999998,37.0,61586.99900000002,99.99999679999999,88.0,366.412,0.594951,1.0,5878.630999999999,9.545244999999998,19.0,434.311,0.705199,3.0,412.21500000000003,0.6693218000000001,13.0,1789.0960000000002,2.904991,13.0,72.614,0.117905,1.0,2946.3,4.78397,1.0,shufflenet_v2_x1_0.onnx
49547.24500000001,80.61763400000001,37.0,61459.588,100.00003360000001,88.0,367.553,0.59804,1.0,5881.118000000001,9.569080000000001,19.0,433.225,0.704894,3.0,410.305,0.6676015999999999,13.0,1788.769,2.910479999999999,13.0,72.703,0.118294,1.0,2958.67,4.81401,1.0,shufflenet_v2_x1_0.onnx
47080.58600000001,79.801744,37.0,58996.962000000014,100.0000338,88.0,373.102,0.632409,1.0,5877.332999999999,9.962088,19.0,433.93499999999995,0.735521,3.0,413.899,0.7015598,13.0,1789.699,3.033546,13.0,73.738,0.124986,1.0,2954.67,5.00818,1.0,shufflenet_v2_x1_0.onnx
49677.853,80.62655200000002,37.0,61614.759999999995,100.00002179999997,88.0,371.926,0.603631,1.0,5871.358,9.529149,19.0,433.504,0.7035710000000001,3.0,411.663,0.6681237999999999,13.0,1790.629,2.9061679999999996,13.0,75.877,0.123147,1.0,2981.95,4.83968,1.0,shufflenet_v2_x1_0.onnx
49626.769,80.62235500000001,37.0,61554.58099999998,99.99997379999998,88.0,369.601,0.600444,1.0,5883.198000000001,9.557694,19.0,432.168,0.7020890000000001,3.0,412.53799999999995,0.6701987999999999,13.0,1787.277,2.9035640000000003,13.0,73.28,0.119049,1.0,2969.75,4.82458,1.0,shufflenet_v2_x1_0.onnx
49638.96600000001,80.60689500000001,37.0,61581.566,100.0000326,88.0,370.527,0.601685,1.0,5888.153,9.561553000000002,19.0,430.85200000000003,0.699644,3.0,414.409,0.6729436000000001,13.0,1787.753,2.903067,13.0,73.236,0.118925,1.0,2977.67,4.83532,1.0,shufflenet_v2_x1_0.onnx
47077.622,79.763004,37.0,59021.85700000002,99.99996719999999,88.0,370.659,0.628003,1.0,5888.333000000001,9.976521999999997,19.0,433.801,0.734984,3.0,414.00999999999993,0.7014522,13.0,1789.6399999999996,3.0321659999999997,13.0,75.292,0.127566,1.0,2972.5,5.03627,1.0,shufflenet_v2_x1_0.onnx
49725.208999999995,80.65690400000001,37.0,61650.289,100.00001960000002,88.0,370.746,0.601369,1.0,5886.202000000001,9.547735,19.0,434.272,0.704412,3.0,411.3379999999999,0.6672115999999999,13.0,1793.2350000000001,2.908721,13.0,73.257,0.118827,1.0,2956.03,4.79484,1.0,shufflenet_v2_x1_0.onnx
49512.549999999996,80.54159400000002,37.0,61474.518,100.00001310000003,88.0,369.544,0.601133,1.0,5904.602000000002,9.604963,19.0,433.269,0.704795,3.0,416.32099999999997,0.6772251,13.0,1793.4570000000003,2.9173989999999996,13.0,73.575,0.119684,1.0,2971.2,4.83322,1.0,shufflenet_v2_x1_0.onnx
49678.26600000001,80.66576699999997,37.0,61585.34200000003,100.00003149999996,88.0,370.087,0.600934,1.0,5874.433000000001,9.538694000000001,19.0,434.092,0.704862,3.0,414.4180000000001,0.6729164999999999,13.0,1789.204,2.9052429999999996,13.0,75.082,0.121915,1.0,2949.76,4.7897,1.0,shufflenet_v2_x1_0.onnx
47151.90600000002,79.80176,37.0,59086.27700000002,99.99996839999997,88.0,369.148,0.624761,1.0,5908.718000000002,10.000153,19.0,432.629,0.732199,3.0,414.05199999999996,0.7007584,13.0,1791.3760000000002,3.0317979999999998,13.0,75.228,0.127319,1.0,2943.22,4.98122,1.0,shufflenet_v2_x1_0.onnx
49640.59,80.628702,37.0,61566.89399999999,99.9999824,88.0,372.085,0.604358,1.0,5883.129999999999,9.555657,19.0,432.198,0.701997,3.0,415.06,0.6741604,13.0,1792.288,2.9111230000000003,13.0,76.303,0.123935,1.0,2955.24,4.80005,1.0,shufflenet_v2_x1_0.onnx
49659.057,80.62249499999999,37.0,61594.562999999995,100.00002220000002,88.0,373.303,0.606065,1.0,5887.923000000002,9.559148999999998,19.0,433.36,0.7035690000000001,3.0,414.45399999999995,0.6728742,13.0,1791.619,2.9087289999999992,13.0,72.097,0.117051,1.0,2962.75,4.81009,1.0,shufflenet_v2_x1_0.onnx
49581.82999999999,80.624444,37.0,61497.30099999998,100.00004340000002,88.0,368.54,0.599278,1.0,5879.1590000000015,9.560031000000002,19.0,433.773,0.705352,3.0,413.28000000000003,0.6720294,13.0,1788.896,2.908900000000001,13.0,73.913,0.120189,1.0,2957.91,4.80982,1.0,shufflenet_v2_x1_0.onnx
47220.397999999994,79.83751099999999,37.0,59145.602,99.99995700000002,88.0,373.032,0.630701,1.0,5877.223999999998,9.936868,19.0,432.824,0.731793,3.0,409.60999999999996,0.692545,13.0,1789.7589999999998,3.0260209999999996,13.0,74.055,0.125208,1.0,2968.7,5.01931,1.0,shufflenet_v2_x1_0.onnx
49581.71599999999,80.573033,37.0,61536.37899999997,100.00001980000003,88.0,369.318,0.600162,1.0,5896.261,9.581745000000002,19.0,433.72499999999997,0.704828,3.0,414.87000000000006,0.6741868,13.0,1791.6299999999999,2.9114989999999996,13.0,74.069,0.120366,1.0,2974.79,4.8342,1.0,shufflenet_v2_x1_0.onnx
49734.937999999995,80.66129099999999,37.0,61658.99200000001,99.99999179999998,88.0,372.568,0.604239,1.0,5886.205,9.546381,19.0,432.745,0.7018350000000001,3.0,418.523,0.6787697999999999,13.0,1790.3090000000004,2.9035620000000004,13.0,72.914,0.118254,1.0,2950.79,4.78566,1.0,shufflenet_v2_x1_0.onnx
49568.123,80.62611100000001,37.0,61479.00899999999,100.00002660000003,88.0,367.732,0.598143,1.0,5894.807,9.588325999999999,19.0,433.64199999999994,0.7053499999999999,3.0,417.02700000000004,0.6783245999999999,13.0,1788.976,2.9099,13.0,75.362,0.122582,1.0,2933.34,4.77129,1.0,shufflenet_v2_x1_0.onnx
47053.933,79.78163400000003,37.0,58978.40099999998,100.00000629999998,88.0,367.738,0.623513,1.0,5886.198999999999,9.980258999999998,19.0,432.872,0.7339500000000001,3.0,413.4839999999999,0.7010773000000001,13.0,1791.476,3.037513,13.0,75.699,0.12835,1.0,2957.0,5.01371,1.0,shufflenet_v2_x1_0.onnx
