aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
2125472.419999999,92.78848900000004,155.0,2290663.858999999,100.00000017210013,1700.0,68254.31800000003,2.9796749165999987,516.0,380.46400000000006,0.016609333600000005,155.0,35642.937,1.5560096130999999,465.0,377.9289999999998,0.016498668799999994,155.0,31080.457000000002,1.3568324100000007,151.0,1030.21,0.0449743,1.0,26097.94200000002,1.1393178600000007,100.0,153.192,0.00668767,1.0,2173.99,0.0949064,1.0,resnet152-v1-7.onnx
2126827.9,92.82523899999994,155.0,2291217.1580000008,99.99999652089981,1700.0,67645.28100000006,2.9523732737999957,516.0,376.191,0.016418826500000004,155.0,35513.38900000003,1.5499800749000003,465.0,364.9870000000001,0.015929825699999997,155.0,31134.488000000023,1.358862790000001,151.0,1023.34,0.0446636,1.0,26063.368000000002,1.1375329499999995,100.0,153.014,0.00667828,1.0,2115.2,0.0923179,1.0,resnet152-v1-7.onnx
2122425.1499999994,92.72278299999998,155.0,2289000.9890000033,100.00001174189994,1700.0,68794.888,3.005454601899999,516.0,372.4989999999999,0.0162734304,155.0,35894.11099999998,1.5681118327000008,465.0,365.6969999999999,0.015976266900000004,155.0,31540.815,1.3779299699999996,151.0,1026.92,0.0448635,1.0,26214.097999999998,1.1452196800000007,100.0,149.551,0.00653346,1.0,2217.26,0.096866,1.0,resnet152-v1-7.onnx
2122811.830000001,92.78691789999999,155.0,2287835.7010000013,100.0000176879,1700.0,68553.20700000001,2.9964217871999974,516.0,379.5679999999998,0.016590705699999993,155.0,35108.95000000001,1.5345920790000003,465.0,369.14399999999995,0.016135075999999995,155.0,31222.18300000001,1.3647039999999997,151.0,1028.63,0.0449609,1.0,26029.503000000004,1.1377348999999992,100.0,151.156,0.00660694,1.0,2181.53,0.0953534,1.0,resnet152-v1-7.onnx
2129678.549999999,92.87247400000005,155.0,2293121.3479999993,99.99999713210029,1700.0,67268.20900000002,2.933477228199997,516.0,374.408,0.016327436999999993,155.0,35168.73000000004,1.5336619421000004,465.0,373.4620000000001,0.0162861848,155.0,31036.942,1.3534797499999995,151.0,1025.95,0.0447403,1.0,25846.44399999999,1.1271288300000002,100.0,151.563,0.00660946,1.0,2197.09,0.095812,1.0,resnet152-v1-7.onnx
2131345.7499999995,92.96341300000002,155.0,2292671.863999996,100.00001053069995,1700.0,66580.308,2.904048457999999,516.0,374.117,0.016317947100000008,155.0,34949.91400000004,1.5244179797999993,465.0,366.75800000000004,0.015996965799999995,155.0,30281.617000000002,1.3208000599999994,151.0,1023.96,0.0446625,1.0,25410.045,1.1083158500000005,100.0,150.025,0.00654367,1.0,2189.37,0.0954941,1.0,resnet152-v1-7.onnx
2125670.4000000013,92.88907000000003,155.0,2288396.9490000024,100.000009758,1700.0,67014.75200000004,2.9284575363,516.0,376.1480000000002,0.0164371886,155.0,35157.58199999998,1.536341160799999,465.0,371.1960000000001,0.016220782299999993,155.0,30733.705000000013,1.3430231800000008,151.0,1022.43,0.044679,1.0,25719.01599999999,1.1238876300000005,100.0,152.13,0.00664788,1.0,2179.59,0.0952454,1.0,resnet152-v1-7.onnx
2137429.3600000003,92.79046199999998,155.0,2303501.1190000013,99.99999643850006,1700.0,68661.27499999995,2.980734285399999,516.0,383.56200000000007,0.016651256400000005,155.0,35829.575999999994,1.5554395722000005,465.0,369.85900000000015,0.016056374499999995,155.0,31319.069000000007,1.3596286500000003,151.0,1018.63,0.044221,1.0,26163.163,1.1357995899999995,100.0,152.985,0.00664141,1.0,2173.64,0.0943623,1.0,resnet152-v1-7.onnx
2129364.49,92.89968,155.0,2292112.003000002,100.00001044110022,1700.0,67222.195,2.9327629695999975,516.0,379.6460000000002,0.01656314959999999,155.0,35148.64600000003,1.5334612937999992,465.0,372.21900000000016,0.016239128100000007,155.0,30585.499999999975,1.33438049,151.0,1026.89,0.0448011,1.0,25660.298000000003,1.1195042999999998,100.0,152.609,0.00665801,1.0,2199.51,0.09596,1.0,resnet152-v1-7.onnx
2128045.2100000004,92.91598399999991,155.0,2290289.477000001,99.9999912030998,1700.0,67440.01999999996,2.9446072910999987,516.0,380.75999999999993,0.016624967699999993,155.0,34999.80499999997,1.5281825209999995,465.0,373.29599999999976,0.016299073300000005,155.0,30306.074,1.3232419900000003,151.0,1018.61,0.0444751,1.0,25438.82399999999,1.11072518,100.0,152.668,0.00666588,1.0,2134.21,0.0931852,1.0,resnet152-v1-7.onnx
