aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
2544299.6999999997,48.24453,16.0,5273758.868,99.99997511260001,61.0,28301.328,0.5366455099999999,16.0,27796.594,0.5270736199999999,18.0,5146.321000000001,0.0975836,5.0,2668189.96,50.593669,3.0,24.965000000000003,0.00047338259999999994,3.0,vgg19-7.onnx
2534927.9,48.91552999999999,16.0,5182252.241,99.9999787589,61.0,26663.977000000003,0.5145245199999999,16.0,26432.436999999998,0.510056763,18.0,5261.034000000001,0.10152023,5.0,2588942.42,49.957875,3.0,24.473,0.0004722459,3.0,vgg19-7.onnx
2551931.8999999994,49.04393,16.0,5203353.3330000015,100.00000175880001,61.0,26195.885000000002,0.5034421599999999,16.0,26358.013999999996,0.5065585869999999,18.0,5257.932000000001,0.10104885000000001,5.0,2593585.45,49.844558000000006,3.0,24.152,0.0004641618,3.0,vgg19-7.onnx
2551988.1,49.05934,16.0,5201838.150999999,99.99996833449998,61.0,26897.398000000005,0.51707475,16.0,26459.995999999996,0.5086665730000001,18.0,5076.041,0.09758187000000001,5.0,2591392.16,49.816835,3.0,24.456,0.00047014149999999994,3.0,vgg19-7.onnx
2550554.1,49.06922000000001,16.0,5197868.874,99.9999765634,61.0,26540.055,0.5105941999999999,16.0,26386.513000000003,0.5076404219999998,18.0,5207.172,0.10017890999999998,5.0,2589157.59,49.811892,3.0,23.444,0.0004510314,3.0,vgg19-7.onnx
2532926.9000000004,48.981249999999996,16.0,5171217.338000002,100.00002794890001,61.0,26654.42500000001,0.5154381100000002,16.0,26718.311,0.5166731569999999,18.0,5235.101,0.10123529,5.0,2579659.0,49.884975,3.0,23.601,0.0004563919,3.0,vgg19-7.onnx
2537184.3,49.045469999999995,16.0,5173130.777999999,100.0000241278,61.0,26654.877999999993,0.51525694,16.0,26171.816999999992,0.505918925,18.0,5014.58,0.09693508,5.0,2578082.38,49.836002,3.0,22.823,0.00044118280000000003,3.0,vgg19-7.onnx
2553444.0000000005,49.06314999999999,16.0,5204403.023000001,100.0000498225,61.0,26885.8,0.5165974600000002,16.0,26116.020999999993,0.501806138,18.0,5238.17,0.10064889,5.0,2592694.71,49.81738,3.0,24.322000000000003,0.0004673345,3.0,vgg19-7.onnx
2545065.2,48.88003,16.0,5206753.964000002,100.00002642879998,61.0,26497.101,0.50889887,16.0,26198.187999999995,0.5031575962,18.0,5282.353,0.10145172000000001,5.0,2603686.95,50.006024000000004,3.0,24.172,0.0004642426,3.0,vgg19-7.onnx
2547737.0,48.91946000000001,16.0,5208028.057000001,99.99998993520003,61.0,26462.625000000004,0.50811249,16.0,26421.171000000002,0.507316694,18.0,5233.142999999999,0.10048229,5.0,2602149.46,49.964144999999995,3.0,24.658,0.0004734612,3.0,vgg19-7.onnx
2545300.1,48.91469,16.0,5203554.587000002,100.00003365390002,61.0,26251.346,0.50448868,16.0,26275.126999999997,0.504946208,18.0,5103.351,0.09807441,5.0,2600600.5,49.97737,3.0,24.163,0.0004643559,3.0,vgg19-7.onnx
2549209.8,48.93101,16.0,5209808.832999999,100.0000392743,61.0,26567.765000000003,0.50995745,16.0,26805.614,0.5145227800000001,18.0,5191.46,0.09964779,5.0,2602009.33,49.944424,3.0,24.863999999999997,0.00047725430000000003,3.0,vgg19-7.onnx
2509461.1,48.82663999999999,16.0,5139539.877,100.000022992,61.0,26377.499999999996,0.5132274,16.0,26371.125999999997,0.5131025840000001,18.0,5097.769,0.09918735,5.0,2572207.37,50.047379,3.0,25.012,0.00048665800000000006,3.0,vgg19-7.onnx
2550892.8000000003,48.89967999999999,16.0,5216583.922000001,99.9999725001,61.0,26800.648,0.5137589,16.0,26235.551000000007,0.5029264410000001,18.0,5238.715,0.10042440000000001,5.0,2607392.12,49.982721,3.0,24.088,0.0004617591,3.0,vgg19-7.onnx
2547174.1,49.01140000000001,16.0,5197106.052000001,99.99997418980001,61.0,26411.887,0.5082033199999999,16.0,26187.47,0.5038863779999999,18.0,5273.577000000001,0.10147134999999999,5.0,2592035.0,49.874551,3.0,24.017999999999997,0.00046214179999999995,3.0,vgg19-7.onnx
2550975.7,48.99778,16.0,5206306.538000002,99.99997464799999,61.0,26854.153999999995,0.51580089,16.0,26362.582999999995,0.506357887,18.0,5045.5689999999995,0.09691264000000001,5.0,2597043.79,49.882647999999996,3.0,24.742,0.000475231,3.0,vgg19-7.onnx
2549729.7,49.12546000000001,16.0,5190242.579,99.99994961560004,61.0,26418.952999999994,0.50901249,16.0,26170.763000000003,0.5042310739999999,18.0,5242.427,0.10100540999999999,5.0,2582656.62,49.759775999999995,3.0,24.116000000000003,0.00046464160000000005,3.0,vgg19-7.onnx
2535734.6,48.840320000000006,16.0,5191888.229000001,99.99998291370002,61.0,26782.458000000002,0.5158525,16.0,27244.053,0.5247437050000001,18.0,5171.981000000001,0.09961658000000001,5.0,2596931.04,50.018986,3.0,24.097,0.0004641287,3.0,vgg19-7.onnx
