aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
1098238.8900000001,97.95559500000002,36.0,1121160.1459999997,100.00001717200001,377.0,9046.228000000001,0.8068622570000002,125.0,84.98300000000003,0.007579910999999999,36.0,5917.376999999999,0.5277899260000002,108.0,74.112,0.006610288,36.0,5309.166,0.47354220999999996,33.0,1019.88,0.0909668,1.0,45.64,0.00407078,1.0,1423.87,0.127,1.0,resnet34-v1-7.onnx
1107357.48,97.95088799999998,36.0,1130522.7889999996,99.99996949800003,377.0,9249.315000000002,0.8181457799999999,125.0,83.93599999999999,0.007424532,36.0,5905.598999999997,0.5223780149999998,108.0,75.52600000000001,0.0066806309999999985,36.0,5387.5419999999995,0.47655390000000003,33.0,1017.99,0.0900462,1.0,43.711,0.00386644,1.0,1401.69,0.123986,1.0,resnet34-v1-7.onnx
1101633.11,97.958006,36.0,1124597.2280000004,99.99999149700014,377.0,9118.937999999998,0.8108626190000006,125.0,82.73799999999997,0.0073571209999999995,36.0,5909.652000000004,0.5254901429999999,108.0,71.86800000000001,0.0063905540000000005,36.0,5313.396000000002,0.4724716499999999,33.0,1017.59,0.0904848,1.0,44.316,0.00394061,1.0,1405.62,0.124988,1.0,resnet34-v1-7.onnx
1085809.6100000003,97.95204000000001,36.0,1108511.7370000002,100.00002293399996,377.0,8899.794000000002,0.8028598680000002,125.0,80.71999999999998,0.007281832999999999,36.0,5872.902000000004,0.529800988,108.0,72.924,0.006578544999999999,36.0,5279.707000000001,0.4762882400000001,33.0,1017.91,0.0918267,1.0,47.22,0.00425976,1.0,1430.95,0.129087,1.0,resnet34-v1-7.onnx
1095495.4500000002,97.97038100000002,36.0,1118190.7929999998,100.00002913600001,377.0,8983.885000000007,0.8034303480000005,125.0,85.38900000000001,0.0076363529999999985,36.0,5857.044999999999,0.52379652,108.0,75.35099999999998,0.006738655000000002,36.0,5229.7919999999995,0.46770106000000006,33.0,1012.84,0.0905788,1.0,44.911,0.0040164,1.0,1406.13,0.12575,1.0,resnet34-v1-7.onnx
1105909.31,97.97833299999999,36.0,1128728.6580000005,100.00002010200002,377.0,9131.111999999996,0.8089733320000003,125.0,84.406,0.007477977999999999,36.0,5804.626000000004,0.5142622439999996,108.0,74.22,0.006575548,36.0,5246.114000000001,0.4647815799999999,33.0,1013.09,0.0897554,1.0,43.84,0.00388402,1.0,1421.94,0.125977,1.0,resnet34-v1-7.onnx
1100331.4699999997,97.97501400000002,36.0,1123073.760000001,100.00001889499998,377.0,9077.68,0.808289366,125.0,84.755,0.007546699999999998,36.0,5842.950000000001,0.5202646449999998,108.0,74.372,0.006622184000000002,36.0,5272.618000000002,0.46948045999999993,33.0,1016.46,0.0905068,1.0,45.695,0.00406874,1.0,1327.76,0.118226,1.0,resnet34-v1-7.onnx
1088674.3800000001,97.95799599999998,36.0,1111368.0609999995,99.99995582499999,377.0,8980.576,0.808065051,125.0,83.35399999999998,0.0075001289999999995,36.0,5810.943999999997,0.522864099,108.0,72.016,0.006479945999999999,36.0,5264.293999999998,0.4736769900000001,33.0,1022.37,0.091992,1.0,44.217,0.00397861,1.0,1415.91,0.127403,1.0,resnet34-v1-7.onnx
1099099.67,97.95757699999999,36.0,1122015.4089999998,99.99995104100002,377.0,9207.565999999995,0.8206274629999999,125.0,85.71600000000001,0.00763947,36.0,5908.176999999995,0.5265681420000002,108.0,74.472,0.006637346,36.0,5240.841000000001,0.4670925100000002,33.0,1015.35,0.0904936,1.0,43.697,0.00389451,1.0,1339.92,0.119421,1.0,resnet34-v1-7.onnx
1105240.0799999998,97.99238299999999,36.0,1127884.0080000001,100.00002839100001,377.0,9079.002000000002,0.8049577210000001,125.0,84.18700000000001,0.007464146999999999,36.0,5761.647999999999,0.5108364669999998,108.0,74.461,0.006601825999999997,36.0,5176.107000000002,0.45892222000000005,33.0,1014.37,0.0899355,1.0,43.903,0.00389251,1.0,1410.25,0.125035,1.0,resnet34-v1-7.onnx
